BuildTree = 1,092000
FN : Point ID = 1, Mean = 0,0001000000012572854700000, var = 0,0000002899999933224187500
FN : Point ID = 2, Mean = 0,0000550000008661299900000, var = 0,0000001519749971666390000
FN : Point ID = 3, Mean = 0,0000433333342274030030000, var = 0,0000001081222209526432100
FN : Point ID = 4, Mean = 0,0000400000010267831400000, var = 0,0000000883999997362503400
FN : Point ID = 5, Mean = 0,0007640000160317868000000, var = 0,0000044883041662792735000
FN : Point ID = 6, Mean = 0,0006383333467723180000000, var = 0,0000038208640308699840000
FN : Point ID = 7, Mean = 0,0005485714401584119000000, var = 0,0000033247837972966250000
FN : Point ID = 8, Mean = 0,0004812500101979822000000, var = 0,0000029421485472756167000
FN : Point ID = 9, Mean = 0,0004277777868426508300000, var = 0,0000026381173824982980000
FN : Point ID = 10, Mean = 0,0007830000160029158000000, var = 0,0000040759111512183930000
FN : Point ID = 11, Mean = 0,0007118181963662871000000, var = 0,0000037560422883027035000
FN : Point ID = 12, Mean = 0,0006525000133357631000000, var = 0,0000034817438794959310000
FN : Point ID = 13, Mean = 0,0006030769354233948000000, var = 0,0000032439906533248253000
FN : Point ID = 14, Mean = 0,0005600000114645809000000, var = 0,0000030364001131410773000
FN : Point ID = 15, Mean = 0,0005233333440652738000000, var = 0,0000028534556619686010000
FN : Point ID = 16, Mean = 0,0006762500140030169000000, var = 0,0000033751860607122530000
FN : Point ID = 17, Mean = 0,0009482353062177187000000, var = 0,0000395314364352229140000
FN : Point ID = 18, Mean = 0,0008955555669834009000000, var = 0,0000373824231558934050000
FN : Point ID = 19, Mean = 0,0008484210634579588000000, var = 0,0000354549171059272140000
FN : Point ID = 20, Mean = 0,0008060000102850609000000, var = 0,0000337163626199240500000
FN : Point ID = 21, Mean = 0,0007676190574143437000000, var = 0,0000321402834936493700000
FN : Point ID = 22, Mean = 0,0007331818275534632000000, var = 0,0000307047158955207700000
FN : Point ID = 23, Mean = 0,0007013043567902692000000, var = 0,0000293920840570160330000
FN : Point ID = 24, Mean = 0,0006720833419240080000000, var = 0,0000281870528453008140000
FN : Point ID = 25, Mean = 0,0006452000082470476000000, var = 0,0000270769158585988220000
FN : Point ID = 26, Mean = 0,0007873077014944731000000, var = 0,0000319697606912492200000
FN : Point ID = 27, Mean = 0,0007581481569946778000000, var = 0,0000308078027353852700000
FN : Point ID = 28, Mean = 0,0008857142981391267000000, var = 0,0000304055090460619570000
FN : Point ID = 29, Mean = 0,0008551724257895016000000, var = 0,0000293831617839553420000
FN : Point ID = 30, Mean = 0,0009673333488171920000000, var = 0,0000290122651818849270000
FN : Point ID = 31, Mean = 0,0009361290472424439000000, var = 0,0000281055969129922330000
FN : Point ID = 32, Mean = 0,0009071875145309604000000, var = 0,0000272535723662777900000
FN : Point ID = 33, Mean = 0,0009496969847841132000000, var = 0,0000266083777526416980000
FN : Point ID = 34, Mean = 0,0010188235460972305000000, var = 0,0000261302330045486380000
FN : Point ID = 35, Mean = 0,0009900000162223089000000, var = 0,0000254121848356049350000
FN : Point ID = 36, Mean = 0,0009627777935626606000000, var = 0,0000247325025416509180000
FN : Point ID = 37, Mean = 0,0009367567721150212000000, var = 0,0000240884318950689980000
FN : Point ID = 38, Mean = 0,0009121052781119942000000, var = 0,0000234770105503619270000
FN : Point ID = 39, Mean = 0,0009474359128254060000000, var = 0,0000230277490498388260000
FN : Point ID = 40, Mean = 0,0009237500150047708000000, var = 0,0000224739351720589080000
FN : Point ID = 41, Mean = 0,0009012195268339227000000, var = 0,0000219460953276520830000
FN : Point ID = 42, Mean = 0,0008797619190521627000000, var = 0,0000214424468346210000000
FN : Point ID = 43, Mean = 0,0009148837358225137000000, var = 0,0000211006614872862970000
FN : Point ID = 44, Mean = 0,0009704545610690151000000, var = 0,0000208500354680579460000
FN : Point ID = 45, Mean = 0,0009488889041563703000000, var = 0,0000204071647591004970000
FN : Point ID = 46, Mean = 0,0010047826257220510000000, var = 0,0000202530199639532650000
FN : Point ID = 47, Mean = 0,0009834042719832840000000, var = 0,0000198431282099721500000
FN : Point ID = 48, Mean = 0,0009629166829836322000000, var = 0,0000194494575468344280000
FN : Point ID = 49, Mean = 0,0010179592009956892000000, var = 0,0000193049829979253850000
