BuildTree = 1,091000
FN : Point ID = 1, Mean = 0,0001200000022072345000000, var = 0,0000003055999949440357000
FN : Point ID = 2, Mean = 0,0000900000025285407900000, var = 0,0000001819000001315974000
FN : Point ID = 3, Mean = 0,0000900000031106174000000, var = 0,0000001485666693477593300
FN : Point ID = 4, Mean = 0,0000800000029266811900000, var = 0,0000001236000031499178200
FN : Point ID = 5, Mean = 0,0009640000010840595000000, var = 0,0000059867038763090195000
FN : Point ID = 6, Mean = 0,0008066666677283744000000, var = 0,0000051159554528252260000
FN : Point ID = 7, Mean = 0,0006942857153314565000000, var = 0,0000044636815448859730000
FN : Point ID = 8, Mean = 0,0006087500009743963000000, var = 0,0000039581733609068880000
FN : Point ID = 9, Mean = 0,0005411111119772411000000, var = 0,0000035549764752442320000
FN : Point ID = 10, Mean = 0,0013819999963743611000000, var = 0,0000750220710621970000000
FN : Point ID = 11, Mean = 0,0012563636330676010000000, var = 0,0000683597277416655400000
FN : Point ID = 12, Mean = 0,0011516666636453010000000, var = 0,0000627836597726615400000
FN : Point ID = 13, Mean = 0,0010630769202879702000000, var = 0,0000580483251939950700000
FN : Point ID = 14, Mean = 0,0009871428545531152000000, var = 0,0000539769740219731000000
FN : Point ID = 15, Mean = 0,0009219999976145724000000, var = 0,0000504385793725783900000
FN : Point ID = 16, Mean = 0,0010937499989813660000000, var = 0,0000561099576614026530000
FN : Point ID = 17, Mean = 0,0011723529423504850000000, var = 0,0000531532325613333340000
FN : Point ID = 18, Mean = 0,0011072222233310136000000, var = 0,0000502723893763364200000
FN : Point ID = 19, Mean = 0,0010489473694714866000000, var = 0,0000476876014006643000000
FN : Point ID = 20, Mean = 0,0009970000010216610000000, var = 0,0000453549883833669040000
FN : Point ID = 21, Mean = 0,0009495238104968199000000, var = 0,0000432403068051122800000
FN : Point ID = 22, Mean = 0,0009068181827685542000000, var = 0,0000413135874974442600000
FN : Point ID = 23, Mean = 0,0008678260878862246000000, var = 0,0000395512234337934950000
FN : Point ID = 24, Mean = 0,0008320833342440892000000, var = 0,0000379330518128259300000
FN : Point ID = 25, Mean = 0,0007992000008933246000000, var = 0,0000364420772670491700000
FN : Point ID = 26, Mean = 0,0008723076947409516000000, var = 0,0000353429234371918900000
FN : Point ID = 27, Mean = 0,0008400000023431386000000, var = 0,0000340610647345454540000
FN : Point ID = 28, Mean = 0,0009496428623346479000000, var = 0,0000333799623215375950000
FN : Point ID = 29, Mean = 0,0009168965567369014000000, var = 0,0000322589541128899340000
FN : Point ID = 30, Mean = 0,0010063333403086290000000, var = 0,0000315996248546955470000
FN : Point ID = 31, Mean = 0,0009741935551527047000000, var = 0,0000306115904460131100000
FN : Point ID = 32, Mean = 0,0009437500065541826000000, var = 0,0000296837093437638460000
FN : Point ID = 33, Mean = 0,0009712121289957202000000, var = 0,0000288922000191061100000
FN : Point ID = 34, Mean = 0,0010302941264201174000000, var = 0,0000282829043021392620000
FN : Point ID = 35, Mean = 0,0010008571513795428000000, var = 0,0000275042835290682580000
FN : Point ID = 36, Mean = 0,0009730555638412221000000, var = 0,0000267673281426971130000
FN : Point ID = 37, Mean = 0,0009470270351015937000000, var = 0,0000260685438442351000000
FN : Point ID = 38, Mean = 0,0009223684289272090000000, var = 0,0000254052877926452800000
FN : Point ID = 39, Mean = 0,0009515384700185118000000, var = 0,0000248676501788894270000
FN : Point ID = 40, Mean = 0,0009277500082680490000000, var = 0,0000242680286699996200000
FN : Point ID = 41, Mean = 0,0009051219592859014000000, var = 0,0000236966066757433350000
FN : Point ID = 42, Mean = 0,0008835714364457609000000, var = 0,0000231514431813111300000
FN : Point ID = 43, Mean = 0,0009148837294602810000000, var = 0,0000227578703216439560000
FN : Point ID = 44, Mean = 0,0009681818276559087000000, var = 0,0000224521682761851560000
FN : Point ID = 45, Mean = 0,0009468888981629991000000, var = 0,0000219734003126392360000
FN : Point ID = 46, Mean = 0,0009952174017772725000000, var = 0,0000217208456050990570000
FN : Point ID = 47, Mean = 0,0009742553294091387000000, var = 0,0000212791233822273500000
FN : Point ID = 48, Mean = 0,0009539583433797816000000, var = 0,0000208551707909327230000
