BuildTree = 1,243000
FN : Point ID = 1, Mean = 0,0001000000012572854700000, var = 0,0000002899999933224187500
FN : Point ID = 2, Mean = 0,0000850000022910535300000, var = 0,0000001777749997222792700
FN : Point ID = 3, Mean = 0,0000900000031106174000000, var = 0,0000001485666693477590000
FN : Point ID = 4, Mean = 0,0000775000028079375600000, var = 0,0000001214937529454692600
FN : Point ID = 5, Mean = 0,0007040000152774155000000, var = 0,0000032603840884897706000
FN : Point ID = 6, Mean = 0,0005900000128895044000000, var = 0,0000027852334101073610000
FN : Point ID = 7, Mean = 0,0005071428682588573000000, var = 0,0000024299490472958504000
FN : Point ID = 8, Mean = 0,0004450000097858719600000, var = 0,0000021544750605157664000
FN : Point ID = 9, Mean = 0,0003955555642541084000000, var = 0,0000019346469682322490000
FN : Point ID = 10, Mean = 0,0006860000130254775000000, var = 0,0000028634040706680135000
FN : Point ID = 11, Mean = 0,0006236363754777069000000, var = 0,0000026419868425801106000
FN : Point ID = 12, Mean = 0,0005716666775212313000000, var = 0,0000024515306169276707000
FN : Point ID = 13, Mean = 0,0005276923177119058000000, var = 0,0000022861562705501100000
FN : Point ID = 14, Mean = 0,0004900000093039126000000, var = 0,0000021413286255529246000
FN : Point ID = 15, Mean = 0,0004580000087153166300000, var = 0,0000020135693844394760000
FN : Point ID = 16, Mean = 0,0005987500108312815000000, var = 0,0000024614984939270770000
FN : Point ID = 17, Mean = 0,0007182353076881126000000, var = 0,0000028341381320273470000
FN : Point ID = 18, Mean = 0,0006783333461498842000000, var = 0,0000027037528446695500000
FN : Point ID = 19, Mean = 0,0006426315910893639000000, var = 0,0000025843931390302945000
FN : Point ID = 20, Mean = 0,0006110000115586444000000, var = 0,0000024746790617744316000
FN : Point ID = 21, Mean = 0,0005819047729129947000000, var = 0,0000023737678599267714000
FN : Point ID = 22, Mean = 0,0005554545559624041000000, var = 0,0000022805612143506093000
FN : Point ID = 23, Mean = 0,0005317391405064289000000, var = 0,0000021942100742330565000
FN : Point ID = 24, Mean = 0,0005095833429853276000000, var = 0,0000021140748798406750000
FN : Point ID = 25, Mean = 0,0004892000092659146000000, var = 0,0000020394834116914154000
FN : Point ID = 26, Mean = 0,0005838461651896628000000, var = 0,0000023760468093397293000
FN : Point ID = 27, Mean = 0,0005622222331456013000000, var = 0,0000023002025310236730000
FN : Point ID = 28, Mean = 0,0007646428730056089000000, var = 0,0000172835363967287180000
FN : Point ID = 29, Mean = 0,0007386207049873112000000, var = 0,0000167068540527856900000
FN : Point ID = 30, Mean = 0,0008513333516893908000000, var = 0,0000167465656801408900000
FN : Point ID = 31, Mean = 0,0008241935661663451000000, var = 0,0000162287702776231670000
FN : Point ID = 32, Mean = 0,0007984375172236469000000, var = 0,0000157421858022192350000
FN : Point ID = 33, Mean = 0,0008424242599655620000000, var = 0,0000154406251467868770000
FN : Point ID = 34, Mean = 0,0009220588426379596000000, var = 0,0000153671611799413600000
FN : Point ID = 35, Mean = 0,0008960000185761600000000, var = 0,0000149514704077030690000
FN : Point ID = 36, Mean = 0,0008711111291712667000000, var = 0,0000145578327738198820000
FN : Point ID = 37, Mean = 0,0008475675851396108000000, var = 0,0000141843325787474380000
FN : Point ID = 38, Mean = 0,0008255263329115942000000, var = 0,0000138292964167134820000
FN : Point ID = 39, Mean = 0,0008679487358014553000000, var = 0,0000136643579590673980000
FN : Point ID = 40, Mean = 0,0008462500174064190000000, var = 0,0000133411115509097950000
FN : Point ID = 41, Mean = 0,0008256097730794331000000, var = 0,0000130327593736893250000
FN : Point ID = 42, Mean = 0,0008061904927793269000000, var = 0,0000127381527397284690000
FN : Point ID = 43, Mean = 0,0008723255988145464000000, var = 0,0000154164904875761080000
FN : Point ID = 44, Mean = 0,0009270454728076320000000, var = 0,0000152971781737461320000
FN : Point ID = 45, Mean = 0,0009064444623007957000000, var = 0,0000149759145528890280000
FN : Point ID = 46, Mean = 0,0009573913234255641000000, var = 0,0000148881850254392720000
FN : Point ID = 47, Mean = 0,0009370212952675734000000, var = 0,0000145905022814511310000
FN : Point ID = 48, Mean = 0,0009175000182828323000000, var = 0,0000143044442559111220000
FN : Point ID = 49, Mean = 0,0009661224677598066000000, var = 0,0000142078324008545100000
FN : Point ID = 50, Mean = 0,0009470000184141099000000, var = 0,0000139417914882358690000
FN : Point ID = 51, Mean = 0,0009286274690427543000000, var = 0,0000136854946738671800000
FN : Point ID = 52, Mean = 0,0009107692484842399000000, var = 0,0000134385768021032790000
FN : Point ID = 53, Mean = 0,0008937736022953858000000, var = 0,0000132002258451514290000
FN : Point ID = 54, Mean = 0,0009301852031947217000000, var = 0,0000131197559790194800000
FN : Point ID = 55, Mean = 0,0009132727449548177000000, var = 0,0000128966606483793540000
FN : Point ID = 56, Mean = 0,0008969643030806245000000, var = 0,0000126809912270011540000
FN : Point ID = 57, Mean = 0,0008812280872371048000000, var = 0,0000124723848920905350000
FN : Point ID = 58, Mean = 0,0009436207083013744000000, var = 0,0000126066494043926330000
FN : Point ID = 59, Mean = 0,0009277966285077065000000, var = 0,0000124076684642927200000
FN : Point ID = 60, Mean = 0,0009746666856420537000000, var = 0,0000124163586583754850000
FN : Point ID = 61, Mean = 0,0010265573961316745000000, var = 0,0000125301148029149170000
FN : Point ID = 62, Mean = 0,0010100000187747120000000, var = 0,0000123447391285030030000
FN : Point ID = 63, Mean = 0,0009939682724449546000000, var = 0,0000121647259355701220000
FN : Point ID = 64, Mean = 0,0009785937681954238000000, var = 0,0000119896984293396230000
FN : Point ID = 65, Mean = 0,0009636923256151091000000, var = 0,0000118196052295555470000
FN : Point ID = 66, Mean = 0,0009948485029797833000000, var = 0,0000117705799174399750000
FN : Point ID = 67, Mean = 0,0009800000178606819000000, var = 0,0000116094511358469740000
FN : Point ID = 68, Mean = 0,0009657353117226568000000, var = 0,0000114525027848695800000
FN : Point ID = 69, Mean = 0,0009517391477846473000000, var = 0,0000112998451807785800000
FN : Point ID = 70, Mean = 0,0009382857313945092000000, var = 0,0000111510488641051740000
FN : Point ID = 71, Mean = 0,0009250704394030371000000, var = 0,0000110062169138194560000
FN : Point ID = 72, Mean = 0,0009122222388557728000000, var = 0,0000108650732042827460000
FN : Point ID = 73, Mean = 0,0008997260438029540000000, var = 0,0000107274797371863230000
FN : Point ID = 74, Mean = 0,0008875675837515626000000, var = 0,0000105933052498025480000
FN : Point ID = 75, Mean = 0,0008757333493015419000000, var = 0,0000104624248135755550000
FN : Point ID = 76, Mean = 0,0009082894899888503000000, var = 0,0000104609316327883000000
FN : Point ID = 77, Mean = 0,0008966233927224363000000, var = 0,0000103355473839881380000
FN : Point ID = 78, Mean = 0,0008852564261551612000000, var = 0,0000102131162998623170000
FN : Point ID = 79, Mean = 0,0008740506486088934000000, var = 0,0000100936307638350600000
FN : Point ID = 80, Mean = 0,0008942500159755582000000, var = 0,0000100475672697087990000
FN : Point ID = 81, Mean = 0,0008832098923215390000000, var = 0,0000099332739757668150000
FN : Point ID = 82, Mean = 0,0008724390399761544000000, var = 0,0000098215334003375480000
FN : Point ID = 83, Mean = 0,0008619277262415019000000, var = 0,0000097122616653688850000
FN : Point ID = 84, Mean = 0,0008516666818814840000000, var = 0,0000096053784922908830000
FN : Point ID = 85, Mean = 0,0008849411922068718000000, var = 0,0000096491147270395550000
FN : Point ID = 86, Mean = 0,0008746511783440013000000, var = 0,0000095459158913399860000
FN : Point ID = 87, Mean = 0,0009035632344519441000000, var = 0,0000095703554351296100000
FN : Point ID = 88, Mean = 0,0009535227438556666000000, var = 0,0000098404538156657180000
FN : Point ID = 89, Mean = 0,0009428090051606591000000, var = 0,0000097399879281820030000
FN : Point ID = 90, Mean = 0,0009664444611278466000000, var = 0,0000097208743349556460000
FN : Point ID = 91, Mean = 0,0009942857315507973000000, var = 0,0000097461215045718780000
FN : Point ID = 92, Mean = 0,0009835869736043210000000, var = 0,0000096507091813325460000
FN : Point ID = 93, Mean = 0,0010003225979024685000000, var = 0,0000096132260074556240000
FN : Point ID = 94, Mean = 0,0010147872514666078000000, var = 0,0000095722284481119600000
FN : Point ID = 95, Mean = 0,0010041052803985383000000, var = 0,0000094821939722124970000
FN : Point ID = 96, Mean = 0,0009936458503943869000000, var = 0,0000093938140875535480000
FN : Point ID = 97, Mean = 0,0010144330072456720000000, var = 0,0000094018538419146290000
FN : Point ID = 98, Mean = 0,0010040816500288794000000, var = 0,0000093163101656475570000
FN : Point ID = 99, Mean = 0,0010212121388258770000000, var = 0,0000092985402374794780000
FN : Point ID = 100, Mean = 0,0010110000174376182000000, var = 0,0000092158792900047740000
