BuildTree = 1,093000
FN : Point ID = 1, Mean = 0,0001200000056996941500000, var = 0,0000002256000214308493800
FN : Point ID = 2, Mean = 0,0000950000045122578700000, var = 0,0000001459750138668827400
FN : Point ID = 3, Mean = 0,0000800000037997961100000, var = 0,0000001136000107914206800
FN : Point ID = 4, Mean = 0,0000625000029685907000000, var = 0,0000000885937584159548700
FN : Point ID = 5, Mean = 0,0015219999896362423000000, var = 0,0001372575070778568700000
FN : Point ID = 6, Mean = 0,0012699999914426976000000, var = 0,0001147004258938196200000
FN : Point ID = 7, Mean = 0,0010885714212365980000000, var = 0,0000985121487226510200000
FN : Point ID = 8, Mean = 0,0009524999935820233000000, var = 0,0000863277381662891200000
FN : Point ID = 9, Mean = 0,0008477777721256845000000, var = 0,0000768246012083595300000
FN : Point ID = 10, Mean = 0,0013109999942826106000000, var = 0,0000923942733525729400000
FN : Point ID = 11, Mean = 0,0011927272675728256000000, var = 0,0000841355783358051200000
FN : Point ID = 12, Mean = 0,0010933333286084234000000, var = 0,0000772329508472885000000
FN : Point ID = 13, Mean = 0,0010092307648693140000000, var = 0,0000713768335229936700000
FN : Point ID = 14, Mean = 0,0009371428530929344000000, var = 0,0000663460449426684700000
FN : Point ID = 15, Mean = 0,0008753333295850704000000, var = 0,0000619771211206296700000
FN : Point ID = 16, Mean = 0,0009681249986169860000000, var = 0,0000584383554540492000000
FN : Point ID = 17, Mean = 0,0010511764707317685000000, var = 0,0000553414952930199740000
FN : Point ID = 18, Mean = 0,0009933333334952800000000, var = 0,0000523243968617235940000
FN : Point ID = 19, Mean = 0,0009410526317323705000000, var = 0,0000496196801294076200000
FN : Point ID = 20, Mean = 0,0008945000001695007000000, var = 0,0000471803669255891750000
FN : Point ID = 21, Mean = 0,0008519047620661912000000, var = 0,0000449699698724574800000
FN : Point ID = 22, Mean = 0,0008131818183359097000000, var = 0,0000429573691265937340000
FN : Point ID = 23, Mean = 0,0007778260871039136000000, var = 0,0000411171580355166660000
FN : Point ID = 24, Mean = 0,0007454166668079173000000, var = 0,0000394281016394171750000
FN : Point ID = 25, Mean = 0,0007156000001356006000000, var = 0,0000378723143805143000000
FN : Point ID = 26, Mean = 0,0007892307706732447000000, var = 0,0000367163433913490930000
FN : Point ID = 27, Mean = 0,0007600000013890504000000, var = 0,0000353786942059874260000
FN : Point ID = 28, Mean = 0,0008564285746459583000000, var = 0,0000345415280977720350000
FN : Point ID = 29, Mean = 0,0008268965548305804000000, var = 0,0000333748608474300040000
FN : Point ID = 30, Mean = 0,0009116666720947250000000, var = 0,0000326345287002421550000
FN : Point ID = 31, Mean = 0,0008825806504295719000000, var = 0,0000316075012225293800000
FN : Point ID = 32, Mean = 0,0008550000051036477000000, var = 0,0000306433482612196240000
FN : Point ID = 33, Mean = 0,0008866666729745427000000, var = 0,0000298289720542712800000
FN : Point ID = 34, Mean = 0,0009523529490551856000000, var = 0,0000292189046025680540000
FN : Point ID = 35, Mean = 0,0009254285790957510000000, var = 0,0000284090089516645300000
FN : Point ID = 36, Mean = 0,0009000000074673961000000, var = 0,0000276427762430726150000
FN : Point ID = 37, Mean = 0,0008759459532243577000000, var = 0,0000269167712609647970000
FN : Point ID = 38, Mean = 0,0008531579018362161000000, var = 0,0000262279096270742570000
FN : Point ID = 39, Mean = 0,0008882051359754629000000, var = 0,0000257064748506714020000
FN : Point ID = 40, Mean = 0,0008662500075879507000000, var = 0,0000250828595582673750000
FN : Point ID = 41, Mean = 0,0008453658610730001000000, var = 0,0000244887698623350820000
FN : Point ID = 42, Mean = 0,0008257142929748322000000, var = 0,0000239220041292259300000
FN : Point ID = 43, Mean = 0,0008539534961469038000000, var = 0,0000234847156461345540000
FN : Point ID = 44, Mean = 0,0009004545538284054000000, var = 0,0000231219076325736430000
FN : Point ID = 45, Mean = 0,0008804444526322186000000, var = 0,0000226257052455548540000
FN : Point ID = 46, Mean = 0,0009239130525384099000000, var = 0,0000223202965387650160000
FN : Point ID = 47, Mean = 0,0009042553280163160000000, var = 0,0000218631722145474060000
FN : Point ID = 48, Mean = 0,0008854166753493094000000, var = 0,0000214243695172930020000
FN : Point ID = 49, Mean = 0,0009271428666590732000000, var = 0,0000211336703119652620000
FN : Point ID = 50, Mean = 0,0009088000093353913000000, var = 0,0000207276814660662800000
FN : Point ID = 51, Mean = 0,0008909804013092071000000, var = 0,0000203371332607893480000
FN : Point ID = 52, Mean = 0,0008738461628224916000000, var = 0,0000199610072327883600000
FN : Point ID = 53, Mean = 0,0008573584993730106000000, var = 0,0000195985202932096470000
FN : Point ID = 54, Mean = 0,0008888888982322964000000, var = 0,0000193569125692303560000
FN : Point ID = 55, Mean = 0,0008729091000912541000000, var = 0,0000190189378175826180000
FN : Point ID = 56, Mean = 0,0008573214375896247000000, var = 0,0000186926775652065600000
FN : Point ID = 57, Mean = 0,0008424561492191921000000, var = 0,0000183772842384648070000
FN : Point ID = 58, Mean = 0,0008937931131242357000000, var = 0,0000183038915759443200000
FN : Point ID = 59, Mean = 0,0008786440773085707000000, var = 0,0000180069667361067000000
FN : Point ID = 60, Mean = 0,0009193333434717109000000, var = 0,0000178688253231669200000
FN : Point ID = 61, Mean = 0,0009640983720195526000000, var = 0,0000178119888862784000000
FN : Point ID = 62, Mean = 0,0009485483982773017000000, var = 0,0000175394486456406540000
FN : Point ID = 63, Mean = 0,0009334920744951223000000, var = 0,0000172750996578001020000
FN : Point ID = 64, Mean = 0,0009189062608311360000000, var = 0,0000170185792211480770000
FN : Point ID = 65, Mean = 0,0009049230875948874000000, var = 0,0000167694210977049930000
FN : Point ID = 66, Mean = 0,0009318181926165848000000, var = 0,0000166201989162252650000
FN : Point ID = 67, Mean = 0,0009180597121368593000000, var = 0,0000163847775288615440000
FN : Point ID = 68, Mean = 0,0009045588340171997000000, var = 0,0000161560372567115460000
FN : Point ID = 69, Mean = 0,0008914492856981098000000, var = 0,0000159335782867044160000
FN : Point ID = 70, Mean = 0,0008787142959024225000000, var = 0,0000157171461573433750000
FN : Point ID = 71, Mean = 0,0008663380382136560000000, var = 0,0000155064999244159720000
FN : Point ID = 72, Mean = 0,0008543055654606886000000, var = 0,0000153014112783476260000
FN : Point ID = 73, Mean = 0,0008426027494954736000000, var = 0,0000151016637295826510000
FN : Point ID = 74, Mean = 0,0008313513609951967000000, var = 0,0000149069623197444450000
FN : Point ID = 75, Mean = 0,0008202666761819273000000, var = 0,0000147172952197191300000
FN : Point ID = 76, Mean = 0,0008486842204767622000000, var = 0,0000146307870436267560000
FN : Point ID = 77, Mean = 0,0008377922176195961000000, var = 0,0000144499217089076800000
FN : Point ID = 78, Mean = 0,0008271794968869728000000, var = 0,0000142734657232632030000
FN : Point ID = 79, Mean = 0,0008167088703440997000000, var = 0,0000141013403955323040000
FN : Point ID = 80, Mean = 0,0008337500100024045000000, var = 0,0000139858602753177800000
FN : Point ID = 81, Mean = 0,0008234568000023748000000, var = 0,0000138216713474230630000
FN : Point ID = 82, Mean = 0,0008134146439047848000000, var = 0,0000136612828165908610000
FN : Point ID = 83, Mean = 0,0008036144674721970000000, var = 0,0000135045646112797150000
FN : Point ID = 84, Mean = 0,0007940476285737186000000, var = 0,0000133513925106988260000
FN : Point ID = 85, Mean = 0,0008236470689504024000000, var = 0,0000133188990210998050000
FN : Point ID = 86, Mean = 0,0008140697774509791000000, var = 0,0000131718246858065650000
FN : Point ID = 87, Mean = 0,0008395402404030079000000, var = 0,0000131243670022895140000
FN : Point ID = 88, Mean = 0,0008838636469789146000000, var = 0,0000132771935646151700000
FN : Point ID = 89, Mean = 0,0008739325947656684000000, var = 0,0000131366906846817630000
FN : Point ID = 90, Mean = 0,0008945555664185021000000, var = 0,0000130609919959493740000
FN : Point ID = 91, Mean = 0,0009187912201549817000000, var = 0,0000130205474141005800000
FN : Point ID = 92, Mean = 0,0009088043590663406000000, var = 0,0000128880958277059420000
FN : Point ID = 93, Mean = 0,0009236559254537908000000, var = 0,0000128064290824741840000
FN : Point ID = 94, Mean = 0,0009371276712664304000000, var = 0,0000127265784273978300000
FN : Point ID = 95, Mean = 0,0009272631694636259000000, var = 0,0000126017614331563520000
FN : Point ID = 96, Mean = 0,0009176041781150464000000, var = 0,0000124793562157133630000
FN : Point ID = 97, Mean = 0,0009355670219700130000000, var = 0,0000124264664082205230000
FN : Point ID = 98, Mean = 0,0009261224605261861000000, var = 0,0000123084191258647140000
FN : Point ID = 99, Mean = 0,0009407070824862316000000, var = 0,0000122418373567334140000
FN : Point ID = 100, Mean = 0,0009313000116613694000000, var = 0,0000121281797883345200000
