BuildTree = 1,148000
FN : Point ID = 1, Mean = 0,0001200000022072345000000, var = 0,0000003055999949440357000
FN : Point ID = 2, Mean = 0,0001000000030035153000000, var = 0,0000001900000009359801000
FN : Point ID = 3, Mean = 0,0000933333366022755800000, var = 0,0000001512888918363410000
FN : Point ID = 4, Mean = 0,0000800000029266811900000, var = 0,0000001236000031499178200
FN : Point ID = 5, Mean = 0,0009440000085160136000000, var = 0,0000059448640391231320000
FN : Point ID = 6, Mean = 0,0007883333405091738000000, var = 0,0000050768639237344250000
FN : Point ID = 7, Mean = 0,0006771428633614310000000, var = 0,0000044271918680138910000
FN : Point ID = 8, Mean = 0,0005925000054412522000000, var = 0,0000039239437782904350000
FN : Point ID = 9, Mean = 0,0005277777826672213000000, var = 0,0000035225617542180097000
FN : Point ID = 10, Mean = 0,0011400000090943650000000, var = 0,0000627003975603872900000
FN : Point ID = 11, Mean = 0,0010363636446312410000000, var = 0,0000571077663789246840000
FN : Point ID = 12, Mean = 0,0009508333409515520000000, var = 0,0000524300806087502100000
FN : Point ID = 13, Mean = 0,0008776923147245095000000, var = 0,0000484611928016115860000
FN : Point ID = 14, Mean = 0,0008150000065299017000000, var = 0,0000450507732616552700000
FN : Point ID = 15, Mean = 0,0007606666727612416000000, var = 0,0000420887179337620960000
FN : Point ID = 16, Mean = 0,0009393750094022834000000, var = 0,0000477169482883918900000
FN : Point ID = 17, Mean = 0,0010258823637302745000000, var = 0,0000452722700393151040000
FN : Point ID = 18, Mean = 0,0009688888990785926000000, var = 0,0000428123642612412500000
FN : Point ID = 19, Mean = 0,0009184210623099812000000, var = 0,0000406054490302461070000
FN : Point ID = 20, Mean = 0,0008730000092182309000000, var = 0,0000386148699479968660000
FN : Point ID = 21, Mean = 0,0008319047707066472000000, var = 0,0000368103144183232300000
FN : Point ID = 22, Mean = 0,0007945454629688439000000, var = 0,0000351668783838117940000
FN : Point ID = 23, Mean = 0,0007600000080571550000000, var = 0,0000336641382174839960000
FN : Point ID = 24, Mean = 0,0007283333410547736000000, var = 0,0000322845296811334200000
FN : Point ID = 25, Mean = 0,0006992000074125827000000, var = 0,0000310135185209847900000
FN : Point ID = 26, Mean = 0,0007750000087812973000000, var = 0,0000301197588130328420000
FN : Point ID = 27, Mean = 0,0007466666751403223000000, var = 0,0000290254510797041700000
FN : Point ID = 28, Mean = 0,0008567857250039066000000, var = 0,0000285284175164924470000
FN : Point ID = 29, Mean = 0,0008275862172615297000000, var = 0,0000275688934758501000000
FN : Point ID = 30, Mean = 0,0009220000123993183000000, var = 0,0000270959153432882580000
FN : Point ID = 31, Mean = 0,0008925806571759524000000, var = 0,0000262481378667410240000
FN : Point ID = 32, Mean = 0,0008650000116540469000000, var = 0,0000254517743856649440000
FN : Point ID = 33, Mean = 0,0008945454673305379000000, var = 0,0000247919090501363280000
FN : Point ID = 34, Mean = 0,0009535294255885460000000, var = 0,0000242907810897406870000
FN : Point ID = 35, Mean = 0,0009262857277145875000000, var = 0,0000236219942214012620000
FN : Point ID = 36, Mean = 0,0009005555686114045000000, var = 0,0000229889991533142700000
FN : Point ID = 37, Mean = 0,0008762162289192044000000, var = 0,0000223890013763158520000
FN : Point ID = 38, Mean = 0,0008534210650127773000000, var = 0,0000218193035773142460000
FN : Point ID = 39, Mean = 0,0008835897568422250000000, var = 0,0000213756789284870970000
FN : Point ID = 40, Mean = 0,0008615000129211694000000, var = 0,0000208603172699501530000
