BuildTree = 1,109000
FN : Point ID = 1, Mean = 0,0001200000022072345000000, var = 0,0000003055999949440357000
FN : Point ID = 2, Mean = 0,0000900000025285407900000, var = 0,0000001819000001315974000
FN : Point ID = 3, Mean = 0,0000900000031106174000000, var = 0,0000001485666693477592500
FN : Point ID = 4, Mean = 0,0000825000030454248200000, var = 0,0000001256937533531816800
FN : Point ID = 5, Mean = 0,0015960000178311020000000, var = 0,0002023967919131444000000
FN : Point ID = 6, Mean = 0,0013316666816050808000000, var = 0,0001690150038243120800000
FN : Point ID = 7, Mean = 0,0011442857272257762000000, var = 0,0001450834730106340000000
FN : Point ID = 8, Mean = 0,0010025000113819260000000, var = 0,0001270899987089399500000
FN : Point ID = 9, Mean = 0,0008911111212283787000000, var = 0,0001130681476200797700000
FN : Point ID = 10, Mean = 0,0012870000136317686000000, var = 0,0001178226352926340000000
FN : Point ID = 11, Mean = 0,0011709091033447873000000, var = 0,0001072471576242648800000
FN : Point ID = 12, Mean = 0,0010733333447327216000000, var = 0,0000984146258042688000000
FN : Point ID = 13, Mean = 0,0009907692412917432000000, var = 0,0000909260719472919300000
FN : Point ID = 14, Mean = 0,0009207142955191168000000, var = 0,0000844958597059634800000
FN : Point ID = 15, Mean = 0,0008600000091828406000000, var = 0,0000789150695362147600000
FN : Point ID = 16, Mean = 0,0009575000102631748000000, var = 0,0000743319464373477100000
FN : Point ID = 17, Mean = 0,0010429411883438554000000, var = 0,0000703105115290517000000
FN : Point ID = 18, Mean = 0,0009850000112136410000000, var = 0,0000664614440597795700000
FN : Point ID = 19, Mean = 0,0009331579053602916000000, var = 0,0000630118501906981800000
FN : Point ID = 20, Mean = 0,0008870000101160258000000, var = 0,0000599022331557891000000
FN : Point ID = 21, Mean = 0,0008452381048950233000000, var = 0,0000570850984258199170000
FN : Point ID = 22, Mean = 0,0008068181910361586000000, var = 0,0000545213191100498760000
FN : Point ID = 23, Mean = 0,0007717391392519778000000, var = 0,0000521778988520621560000
FN : Point ID = 24, Mean = 0,0007395833417831454000000, var = 0,0000500276016253694850000
FN : Point ID = 25, Mean = 0,0007100000081118196000000, var = 0,0000480475017275101800000
FN : Point ID = 26, Mean = 0,0007850000094353723000000, var = 0,0000464980074353408640000
FN : Point ID = 27, Mean = 0,0007559259350118399000000, var = 0,0000447978368587097560000
FN : Point ID = 28, Mean = 0,0008564285826703001000000, var = 0,0000436508173805394840000
FN : Point ID = 29, Mean = 0,0008268965625782208000000, var = 0,0000421700367071120000000
FN : Point ID = 30, Mean = 0,0009143333457565556000000, var = 0,0000411523293600663150000
FN : Point ID = 31, Mean = 0,0008848387216998925000000, var = 0,0000398509328500285940000
FN : Point ID = 32, Mean = 0,0008571875116467709000000, var = 0,0000386292934704060360000
FN : Point ID = 33, Mean = 0,0008915151635918654000000, var = 0,0000375930808599494200000
FN : Point ID = 34, Mean = 0,0009600000133436612000000, var = 0,0000367848718936090000000
FN : Point ID = 35, Mean = 0,0009328571558331273000000, var = 0,0000357592073912379460000
FN : Point ID = 36, Mean = 0,0009069444570599848000000, var = 0,0000347893974533336400000
FN : Point ID = 37, Mean = 0,0008827027149901197000000, var = 0,0000338705668698062560000
FN : Point ID = 38, Mean = 0,0008597368540818264000000, var = 0,0000329990116274390840000
FN : Point ID = 39, Mean = 0,0008933333458844572000000, var = 0,0000322937515684034900000
FN : Point ID = 40, Mean = 0,0008710000122373458000000, var = 0,0000315058601130738530000
FN : Point ID = 41, Mean = 0,0008497561094998495000000, var = 0,0000307554766366985130000
FN : Point ID = 42, Mean = 0,0008295238211784246000000, var = 0,0000300399865485643730000
FN : Point ID = 43, Mean = 0,0008630232677556747000000, var = 0,0000294986802660857600000
FN : Point ID = 44, Mean = 0,0009102272853752683000000, var = 0,0000290030782338123300000
FN : Point ID = 45, Mean = 0,0008900000123669289000000, var = 0,0000283765676574013950000
FN : Point ID = 46, Mean = 0,0009358695785909810000000, var = 0,0000279565404357999470000
FN : Point ID = 47, Mean = 0,0009161702258651085000000, var = 0,0000273797820317466500000
FN : Point ID = 48, Mean = 0,0008970833461595854000000, var = 0,0000268264924279959970000
FN : Point ID = 49, Mean = 0,0009391836868836640000000, var = 0,0000264338533121309200000
FN : Point ID = 50, Mean = 0,0009204000131459906000000, var = 0,0000259224647394408870000
FN : Point ID = 51, Mean = 0,0009025490325053825000000, var = 0,0000254303081102521880000
FN : Point ID = 52, Mean = 0,0008851923203418174000000, var = 0,0000249566277518326420000
FN : Point ID = 53, Mean = 0,0008684905784485756000000, var = 0,0000245002532884073540000
FN : Point ID = 54, Mean = 0,0009016666793764603000000, var = 0,0000241831091674175230000
FN : Point ID = 55, Mean = 0,0008854545579418878000000, var = 0,0000237577892490856660000
FN : Point ID = 56, Mean = 0,0008696428694072113000000, var = 0,0000233472935346809220000
FN : Point ID = 57, Mean = 0,0008543859769614707000000, var = 0,0000229507271686768900000
FN : Point ID = 58, Mean = 0,0009113793238066137000000, var = 0,0000228504230280005580000
FN : Point ID = 59, Mean = 0,0008961017081569249000000, var = 0,0000224768330403826400000
FN : Point ID = 60, Mean = 0,0009373333472370481000000, var = 0,0000222727403255618300000
FN : Point ID = 61, Mean = 0,0009860655880861411000000, var = 0,0000221924295403464920000
FN : Point ID = 62, Mean = 0,0009701613044073324000000, var = 0,0000218499168490058460000
FN : Point ID = 63, Mean = 0,0009547619186230891000000, var = 0,0000215177955191535120000
FN : Point ID = 64, Mean = 0,0009398437636446033000000, var = 0,0000211956006990826520000
FN : Point ID = 65, Mean = 0,0009253846288193018000000, var = 0,0000208828947956005580000
FN : Point ID = 66, Mean = 0,0009527272864237823000000, var = 0,0000206714023546051650000
FN : Point ID = 67, Mean = 0,0009385074761786512000000, var = 0,0000203762193594832850000
FN : Point ID = 68, Mean = 0,0009247058956466122000000, var = 0,0000200893314776733740000
FN : Point ID = 69, Mean = 0,0009113043609270961000000, var = 0,0000198103946231467500000
FN : Point ID = 70, Mean = 0,0008982857271995662000000, var = 0,0000195390834385311060000
FN : Point ID = 71, Mean = 0,0008856338155488681000000, var = 0,0000192750900410382520000
FN : Point ID = 72, Mean = 0,0008733333458884671000000, var = 0,0000190181228674509850000
FN : Point ID = 73, Mean = 0,0008613698753968443000000, var = 0,0000187679056094795560000
FN : Point ID = 74, Mean = 0,0008498648770870892000000, var = 0,0000185240816911921860000
FN : Point ID = 75, Mean = 0,0008385333453925948000000, var = 0,0000182865958024841350000
FN : Point ID = 76, Mean = 0,0008677631700993515000000, var = 0,0000181600140290182550000
FN : Point ID = 77, Mean = 0,0008566233886756583000000, var = 0,0000179337294619129400000
FN : Point ID = 78, Mean = 0,0008457692426730855000000, var = 0,0000177130083378978550000
FN : Point ID = 79, Mean = 0,0008350633028924136000000, var = 0,0000174977331799110900000
FN : Point ID = 80, Mean = 0,0008531250119121978000000, var = 0,0000173490533154746340000
FN : Point ID = 81, Mean = 0,0008425926043577263000000, var = 0,0000171437420007929400000
FN : Point ID = 82, Mean = 0,0008323170847923881000000, var = 0,0000169432244668817340000
FN : Point ID = 83, Mean = 0,0008224096500415759000000, var = 0,0000167472574050532900000
FN : Point ID = 84, Mean = 0,0008126190589696524000000, var = 0,0000165558413139922440000
FN : Point ID = 85, Mean = 0,0008428235412712263000000, var = 0,0000164927078726294340000
FN : Point ID = 86, Mean = 0,0008330232675355145000000, var = 0,0000163090960557409730000
FN : Point ID = 87, Mean = 0,0008594252994476721000000, var = 0,0000162329979107725360000
FN : Point ID = 88, Mean = 0,0009050000121880492000000, var = 0,0000163712028028916030000
