BuildTree = 1,132000
FN : Point ID = 1, Mean = 0,0001100000052247196400000, var = 0,0000002179000206993883000
FN : Point ID = 2, Mean = 0,0000900000042747706200000, var = 0,0000001419000134797773700
FN : Point ID = 3, Mean = 0,0001033333382414033000000, var = 0,0000001326555681571561300
FN : Point ID = 4, Mean = 0,0000925000043935142500000, var = 0,0000001139437608240767600
FN : Point ID = 5, Mean = 0,0009540000017732382000000, var = 0,0000057518838820863470000
FN : Point ID = 6, Mean = 0,0008000000017151858000000, var = 0,0000049199999026054140000
FN : Point ID = 7, Mean = 0,0006885714301772947000000, var = 0,0000042944407332575400000
FN : Point ID = 8, Mean = 0,0006025000014051329000000, var = 0,0000038094936775566330000
FN : Point ID = 9, Mean = 0,0005366666679684487000000, var = 0,0000034219888247080400000
FN : Point ID = 10, Mean = 0,0011240000026300550000000, var = 0,0000074606239217685170000
FN : Point ID = 11, Mean = 0,0010218181842091409000000, var = 0,0000068867966235840995000
FN : Point ID = 12, Mean = 0,0009366666688583791000000, var = 0,0000063926554911838555000
FN : Point ID = 13, Mean = 0,0008653846174442710000000, var = 0,0000059626478698724140000
FN : Point ID = 14, Mean = 0,0008035714304839660000000, var = 0,0000055864157616641826000
FN : Point ID = 15, Mean = 0,0007500000017850349000000, var = 0,0000052541666158396600000
FN : Point ID = 16, Mean = 0,0009993750017747516000000, var = 0,0000066906245327224960000
FN : Point ID = 17, Mean = 0,0011258823584135184000000, var = 0,0000069818006439443500000
FN : Point ID = 18, Mean = 0,0010633333385016562000000, var = 0,0000066604332885547730000
FN : Point ID = 19, Mean = 0,0010073684259489374000000, var = 0,0000063662614539712050000
FN : Point ID = 20, Mean = 0,0009570000046514906000000, var = 0,0000060961509606886060000
FN : Point ID = 21, Mean = 0,0009114285758585625000000, var = 0,0000058473931602430830000
FN : Point ID = 22, Mean = 0,0008700000042286279000000, var = 0,0000056176454195435080000
FN : Point ID = 23, Mean = 0,0008326086997175994000000, var = 0,0000054045888137100270000
FN : Point ID = 24, Mean = 0,0007979166705626994000000, var = 0,0000052070789615371360000
FN : Point ID = 25, Mean = 0,0007660000037401915000000, var = 0,0000050232439699813550000
FN : Point ID = 26, Mean = 0,0009476923140643451000000, var = 0,0000268272644989736260000
FN : Point ID = 27, Mean = 0,0009125925987286286000000, var = 0,0000258656938505552760000
FN : Point ID = 28, Mean = 0,0010739285788232728000000, var = 0,0000307770349098544540000
FN : Point ID = 29, Mean = 0,0010368965588638496000000, var = 0,0000297541562180612800000
FN : Point ID = 30, Mean = 0,0011373333435039967000000, var = 0,0000292898065751866930000
FN : Point ID = 31, Mean = 0,0011009677517933832000000, var = 0,0000283849671477022270000
FN : Point ID = 32, Mean = 0,0010665625095498399000000, var = 0,0000275346322658460980000
FN : Point ID = 33, Mean = 0,0011003030401259435000000, var = 0,0000268484244704477300000
FN : Point ID = 34, Mean = 0,0011688235409639995000000, var = 0,0000263779695267098970000
FN : Point ID = 35, Mean = 0,0011357142969500274000000, var = 0,0000256618676610204650000
FN : Point ID = 36, Mean = 0,0011041666775903044000000, var = 0,0000249838718338234550000
FN : Point ID = 37, Mean = 0,0010745946052358360000000, var = 0,0000243403818908053120000
FN : Point ID = 38, Mean = 0,0010463157998348930000000, var = 0,0000237294340861504940000
FN : Point ID = 39, Mean = 0,0010817948827305092000000, var = 0,0000232966432165999500000
FN : Point ID = 40, Mean = 0,0010550000106741208000000, var = 0,0000227424752777814700000
FN : Point ID = 41, Mean = 0,0010292683030967032000000, var = 0,0000222142655898045580000
FN : Point ID = 42, Mean = 0,0010047619149277341000000, var = 0,0000217099775898364000000
FN : Point ID = 43, Mean = 0,0010339534991193390000000, var = 0,0000213407078864181050000
FN : Point ID = 44, Mean = 0,0010829545570198785000000, var = 0,0000210456188013075200000
FN : Point ID = 45, Mean = 0,0010588889001972145000000, var = 0,0000206034212403867040000
FN : Point ID = 46, Mean = 0,0011041304474423193000000, var = 0,0000203680701526731860000
FN : Point ID = 47, Mean = 0,0010808510762302483000000, var = 0,0000199598463359592480000
FN : Point ID = 48, Mean = 0,0010583333454754515000000, var = 0,0000195678474692827730000
FN : Point ID = 49, Mean = 0,0011014285844237524000000, var = 0,0000193372635105345900000
FN : Point ID = 50, Mean = 0,0010796000127447768000000, var = 0,0000189740640808796120000
FN : Point ID = 51, Mean = 0,0010584313850438990000000, var = 0,0000186244291486429930000
FN : Point ID = 52, Mean = 0,0010380769353315162000000, var = 0,0000182873965344079530000
FN : Point ID = 53, Mean = 0,0010184905780611102000000, var = 0,0000179622998371159630000
FN : Point ID = 54, Mean = 0,0010550000128784665000000, var = 0,0000177945678222312330000
FN : Point ID = 55, Mean = 0,0010360000126529486000000, var = 0,0000174907042259456080000
FN : Point ID = 56, Mean = 0,0010176785838640560000000, var = 0,0000171970091190479900000
FN : Point ID = 57, Mean = 0,0009998245736208271000000, var = 0,0000169131580828585260000
FN : Point ID = 58, Mean = 0,0010560344967083877000000, var = 0,0000169177224391450340000
FN : Point ID = 59, Mean = 0,0010383050984671435000000, var = 0,0000166493804080769350000
FN : Point ID = 60, Mean = 0,0010771666809644860000000, var = 0,0000165295455342307900000
FN : Point ID = 61, Mean = 0,0011242623097209840000000, var = 0,0000165301328762042000000
FN : Point ID = 62, Mean = 0,0011061290466609680000000, var = 0,0000162835755587946700000
FN : Point ID = 63, Mean = 0,0010885714427457146000000, var = 0,0000160442188117077670000
FN : Point ID = 64, Mean = 0,0010715625139528130000000, var = 0,0000158117540232720550000
FN : Point ID = 65, Mean = 0,0010552307829762308000000, var = 0,0000155857190047206200000
FN : Point ID = 66, Mean = 0,0010833333473948931000000, var = 0,0000154606315217273700000
FN : Point ID = 67, Mean = 0,0010671641929561634000000, var = 0,0000152471309700224010000
FN : Point ID = 68, Mean = 0,0010514706018832786000000, var = 0,0000150394098054079680000
FN : Point ID = 69, Mean = 0,0010362318975081586000000, var = 0,0000148372381760108340000
FN : Point ID = 70, Mean = 0,0010214285846866136000000, var = 0,0000146403981575026600000
FN : Point ID = 71, Mean = 0,0010071831116695482000000, var = 0,0000144485401482909930000
FN : Point ID = 72, Mean = 0,0009931944573408045000000, var = 0,0000142617594335091560000
