BuildTree = 1,106000
FN : Point ID = 1, Mean = 0,0001200000022072345000000, var = 0,0000003055999949440356000
FN : Point ID = 2, Mean = 0,0000900000025285407900000, var = 0,0000001819000001315974000
FN : Point ID = 3, Mean = 0,0000866666696189592300000, var = 0,0000001458222246348445400
FN : Point ID = 4, Mean = 0,0000750000026891939400000, var = 0,0000001193750027398337000
FN : Point ID = 5, Mean = 0,0010140000025276096000000, var = 0,0000067898039198429360000
FN : Point ID = 6, Mean = 0,0008466666688521703000000, var = 0,0000057998221561538530000
FN : Point ID = 7, Mean = 0,0007257142875875745000000, var = 0,0000050590530050476080000
FN : Point ID = 8, Mean = 0,0006362500016984995000000, var = 0,0000044839358886817690000
FN : Point ID = 9, Mean = 0,0005655555570653329000000, var = 0,0000040257024259552220000
FN : Point ID = 10, Mean = 0,0010520000066608190000000, var = 0,0000066692960000970880000
FN : Point ID = 11, Mean = 0,0009563636424189264000000, var = 0,0000061544595053787100000
FN : Point ID = 12, Mean = 0,0008766666722173492000000, var = 0,0000057114555575829010000
FN : Point ID = 13, Mean = 0,0008100000051602435000000, var = 0,0000053262076948762010000
FN : Point ID = 14, Mean = 0,0007521428619345117000000, var = 0,0000049892811253884440000
FN : Point ID = 15, Mean = 0,0007020000044722111000000, var = 0,0000046918626698584960000
FN : Point ID = 16, Mean = 0,0009768750055081910000000, var = 0,0000435113396294818800000
FN : Point ID = 17, Mean = 0,0011247058875639650000000, var = 0,0000481809181294134760000
FN : Point ID = 18, Mean = 0,0010627777827256876000000, var = 0,0000455699469884801300000
FN : Point ID = 19, Mean = 0,0010068421099506514000000, var = 0,0000432278471167259300000
FN : Point ID = 20, Mean = 0,0009570000044768676000000, var = 0,0000411141502350193640000
FN : Point ID = 21, Mean = 0,0009119047661910632000000, var = 0,0000391974765960997340000
FN : Point ID = 22, Mean = 0,0008704545495460148000000, var = 0,0000374518536441179200000
FN : Point ID = 23, Mean = 0,0008326086995657533000000, var = 0,0000358550229652654260000
FN : Point ID = 24, Mean = 0,0007979166704171803000000, var = 0,0000343887450234324600000
FN : Point ID = 25, Mean = 0,0007660000036004930000000, var = 0,0000330376433893943400000
FN : Point ID = 26, Mean = 0,0008403846201522706000000, var = 0,0000320702915756175150000
FN : Point ID = 27, Mean = 0,0008096296342382966000000, var = 0,0000309074622635645250000
FN : Point ID = 28, Mean = 0,0009203571500256657000000, var = 0,0000303597279275722500000
FN : Point ID = 29, Mean = 0,0008886206965765048000000, var = 0,0000293410424270253100000
FN : Point ID = 30, Mean = 0,0009856666763080283000000, var = 0,0000288341274323275230000
FN : Point ID = 31, Mean = 0,0009541935577327686000000, var = 0,0000279340303600024300000
FN : Point ID = 32, Mean = 0,0009243750090536196000000, var = 0,0000270886554324572460000
FN : Point ID = 33, Mean = 0,0009572727372869849000000, var = 0,0000264027194218000500000
FN : Point ID = 34, Mean = 0,0010173529524164385000000, var = 0,0000258670514209037600000
FN : Point ID = 35, Mean = 0,0009882857252045400000000, var = 0,0000251567195346043000000
FN : Point ID = 36, Mean = 0,0009608333439488585000000, var = 0,0000244842989330356040000
FN : Point ID = 37, Mean = 0,0009348648751934840000000, var = 0,0000238468381333323720000
FN : Point ID = 38, Mean = 0,0009105263258587863000000, var = 0,0000232414677921453250000
FN : Point ID = 39, Mean = 0,0009400000104991098000000, var = 0,0000227702458104121970000
FN : Point ID = 40, Mean = 0,0009167500102485064000000, var = 0,0000222223191031330450000
FN : Point ID = 41, Mean = 0,0008943902539009818000000, var = 0,0000217003096682881420000
FN : Point ID = 42, Mean = 0,0008733333431051246000000, var = 0,0000212020504760582880000
FN : Point ID = 43, Mean = 0,0009023255915760040000000, var = 0,0000208276686998088830000
FN : Point ID = 44, Mean = 0,0009497727383594876000000, var = 0,0000205340678300308600000
FN : Point ID = 45, Mean = 0,0009288888997398317000000, var = 0,0000200971651390895650000
FN : Point ID = 46, Mean = 0,0009789130558846924000000, var = 0,0000198989028915038060000
FN : Point ID = 47, Mean = 0,0009582978844929962000000, var = 0,0000194952819406462770000
FN : Point ID = 48, Mean = 0,0009383333452327255000000, var = 0,0000191078636264607970000
FN : Point ID = 49, Mean = 0,0009859183799874570000000, var = 0,0000189077606371803900000
FN : Point ID = 50, Mean = 0,0009664000123972074000000, var = 0,0000185484707914574600000
FN : Point ID = 51, Mean = 0,0009476470709869674000000, var = 0,0000182025530439817070000
FN : Point ID = 52, Mean = 0,0009294230888526027000000, var = 0,0000178694417367514800000
FN : Point ID = 53, Mean = 0,0009118868041572706000000, var = 0,0000175482735653064340000
FN : Point ID = 54, Mean = 0,0009468518641208195000000, var = 0,0000173732861579825800000
FN : Point ID = 55, Mean = 0,0009301818302324549000000, var = 0,0000170740342894775480000
FN : Point ID = 56, Mean = 0,0009135714404068754000000, var = 0,0000167843155977797660000
FN : Point ID = 57, Mean = 0,0008977193098817543000000, var = 0,0000165040998472180380000
FN : Point ID = 58, Mean = 0,0009460344955582043000000, var = 0,0000164427771768372960000
FN : Point ID = 59, Mean = 0,0009300000125826416000000, var = 0,0000161789981076149060000
FN : Point ID = 60, Mean = 0,0009653333465491111000000, var = 0,0000160407980302744400000
FN : Point ID = 61, Mean = 0,0010106557516045259000000, var = 0,0000160285747938449700000
FN : Point ID = 62, Mean = 0,0009943548523850979000000, var = 0,0000157862582721830160000
FN : Point ID = 63, Mean = 0,0009785714420297790000000, var = 0,0000155511279386836620000
FN : Point ID = 64, Mean = 0,0009632812632480636000000, var = 0,0000153228703073711200000
FN : Point ID = 65, Mean = 0,0009484615515057858000000, var = 0,0000151011897678943170000
FN : Point ID = 66, Mean = 0,0009754545587136156000000, var = 0,0000149760640163551240000
FN : Point ID = 67, Mean = 0,0009608955354492333000000, var = 0,0000147665303732870700000
FN : Point ID = 68, Mean = 0,0009469117775819648000000, var = 0,0000145626226505360080000
FN : Point ID = 69, Mean = 0,0009331884184865740000000, var = 0,0000143643766281286260000
FN : Point ID = 70, Mean = 0,0009198571553653372000000, var = 0,0000141714341054945950000
FN : Point ID = 71, Mean = 0,0009070422658598392000000, var = 0,0000139834713761873030000
FN : Point ID = 72, Mean = 0,0008944444566117858000000, var = 0,0000138005245366104710000
FN : Point ID = 73, Mean = 0,0008823287791304596000000, var = 0,0000136221807258749280000
FN : Point ID = 74, Mean = 0,0008705405523918720000000, var = 0,0000134483752334944810000
FN : Point ID = 75, Mean = 0,0008589333450266471000000, var = 0,0000132790333811643770000
FN : Point ID = 76, Mean = 0,0008885526434383600000000, var = 0,0000132171846007589200000
FN : Point ID = 77, Mean = 0,0008770129987183814000000, var = 0,0000130556532711193400000
FN : Point ID = 78, Mean = 0,0008658974474588505000000, var = 0,0000128979137960112020000
FN : Point ID = 79, Mean = 0,0008550633025603204000000, var = 0,0000127439299191489560000
FN : Point ID = 80, Mean = 0,0008745000116905430000000, var = 0,0000126619996117360800000
FN : Point ID = 81, Mean = 0,0008637037152499190000000, var = 0,0000125150034302240600000
FN : Point ID = 82, Mean = 0,0008532926943380295000000, var = 0,0000123712817067598670000
FN : Point ID = 83, Mean = 0,0008430120594664869000000, var = 0,0000122308968191117840000
FN : Point ID = 84, Mean = 0,0008329762016156954000000, var = 0,0000120936505353493650000
FN : Point ID = 85, Mean = 0,0008630588352680206000000, var = 0,0000120833646359211240000
FN : Point ID = 86, Mean = 0,0008530232674160669000000, var = 0,0000119514209688455720000
FN : Point ID = 87, Mean = 0,0008789655292706414000000, var = 0,0000119236263958671630000
FN : Point ID = 88, Mean = 0,0009245454666035420000000, var = 0,0000121056701245443310000
FN : Point ID = 89, Mean = 0,0009142696748492883000000, var = 0,0000119790546819309600000
FN : Point ID = 90, Mean = 0,0009356666788743395000000, var = 0,0000119193055465089800000
FN : Point ID = 91, Mean = 0,0009605494633977107000000, var = 0,0000118937182642314060000
FN : Point ID = 92, Mean = 0,0009501087083607791000000, var = 0,0000117743585701630270000
FN : Point ID = 93, Mean = 0,0009651613033436720000000, var = 0,0000117033022813694480000
FN : Point ID = 94, Mean = 0,0009784042685753369000000, var = 0,0000116345335133634930000
FN : Point ID = 95, Mean = 0,0009681052762745439000000, var = 0,0000115220352483203870000
FN : Point ID = 96, Mean = 0,0009580208463133506000000, var = 0,0000114116751419460450000
FN : Point ID = 97, Mean = 0,0009768041370306932000000, var = 0,0000113824515374682340000
FN : Point ID = 98, Mean = 0,0009668367478773188000000, var = 0,0000112759409109149860000
FN : Point ID = 99, Mean = 0,0009820202154323760000000, var = 0,0000112259392513166650000
FN : Point ID = 100, Mean = 0,0009722000132780523000000, var = 0,0000111232270594700960000
