BuildTree = 1,336000
FN : Point ID = 1, Mean = 0,0001300000026822090200000, var = 0,0000003130999957263484000
FN : Point ID = 2, Mean = 0,0001050000032410025600000, var = 0,0000001939750013310476800
FN : Point ID = 3, Mean = 0,0001133333375522246000000, var = 0,0000001671555600568221600
FN : Point ID = 4, Mean = 0,0001000000038766302200000, var = 0,0000001400000047427617600
FN : Point ID = 5, Mean = 0,0012340000113472342000000, var = 0,0000464032456073527800000
FN : Point ID = 6, Mean = 0,0010333333430268490000000, var = 0,0000388755568987956800000
FN : Point ID = 7, Mean = 0,0008900000085122884000000, var = 0,0000334493297252037100000
FN : Point ID = 8, Mean = 0,0007800000075076241000000, var = 0,0000293541010112173300000
FN : Point ID = 9, Mean = 0,0006933333400067769000000, var = 0,0000261526231222391470000
FN : Point ID = 10, Mean = 0,0011420000097714365000000, var = 0,0000262438368171721150000
FN : Point ID = 11, Mean = 0,0010390909180172127000000, var = 0,0000239648362818992700000
FN : Point ID = 12, Mean = 0,0009525000081824450000000, var = 0,0000220502444340664840000
FN : Point ID = 13, Mean = 0,0008800000075895626000000, var = 0,0000204179083248581900000
FN : Point ID = 14, Mean = 0,0008171428641903082000000, var = 0,0000190108495678459560000
FN : Point ID = 15, Mean = 0,0007633333399426192000000, var = 0,0000177846561053148340000
FN : Point ID = 16, Mean = 0,0008675000078073935000000, var = 0,0000170486942628921270000
FN : Point ID = 17, Mean = 0,0009782353047664990000000, var = 0,0000171342327435062020000
FN : Point ID = 18, Mean = 0,0009238888989461379000000, var = 0,0000162325409654580900000
FN : Point ID = 19, Mean = 0,0008752631674226569000000, var = 0,0000154207570159092630000
FN : Point ID = 20, Mean = 0,0008320000090752728000000, var = 0,0000146857764816953210000
FN : Point ID = 21, Mean = 0,0007923809610240693000000, var = 0,0000140178471714604970000
FN : Point ID = 22, Mean = 0,0007563636446138844000000, var = 0,0000134079144887394700000
FN : Point ID = 23, Mean = 0,0007239130513904535000000, var = 0,0000128485590217166530000
FN : Point ID = 24, Mean = 0,0006941666742689753000000, var = 0,0000123339663757428440000
FN : Point ID = 25, Mean = 0,0006664000072982162000000, var = 0,0000118591114277854330000
FN : Point ID = 26, Mean = 0,0007361538542989785000000, var = 0,0000116650009644412960000
FN : Point ID = 27, Mean = 0,0007088888967323497000000, var = 0,0000112522917173730870000
FN : Point ID = 28, Mean = 0,0008107142955330865000000, var = 0,0000113113141366830870000
FN : Point ID = 29, Mean = 0,0007827586301698767000000, var = 0,0000109431513599497300000
FN : Point ID = 30, Mean = 0,0008786666780554999000000, var = 0,0000110359452438091020000
FN : Point ID = 31, Mean = 0,0008503225916666129000000, var = 0,0000107040486271345330000
FN : Point ID = 32, Mean = 0,0008237500106770312000000, var = 0,0000103914362714096870000
FN : Point ID = 33, Mean = 0,0008609091023787517000000, var = 0,0000102203510140100660000
FN : Point ID = 34, Mean = 0,0009264706004315110000000, var = 0,0000101992996244810170000
FN : Point ID = 35, Mean = 0,0009002857261470386000000, var = 0,0000099314859407569480000
FN : Point ID = 36, Mean = 0,0008752777893096209000000, var = 0,0000096775002229608340000
FN : Point ID = 37, Mean = 0,0008516216328417933000000, var = 0,0000094360922574794630000
FN : Point ID = 38, Mean = 0,0008294736951479296000000, var = 0,0000092061842188480600000
FN : Point ID = 39, Mean = 0,0008615384728779109000000, var = 0,0000090987773979667000000
FN : Point ID = 40, Mean = 0,0008400000110559631000000, var = 0,0000088894002711854420000
FN : Point ID = 41, Mean = 0,0008195122059082567000000, var = 0,0000086893756368162460000
FN : Point ID = 42, Mean = 0,0008000000105294887000000, var = 0,0000084980954972092520000
FN : Point ID = 43, Mean = 0,0008309302438418705000000, var = 0,0000084288575297520440000
FN : Point ID = 44, Mean = 0,0008806818303789690000000, var = 0,0000084246270613319700000
FN : Point ID = 45, Mean = 0,0008613333452699912000000, var = 0,0000082541051372029680000
FN : Point ID = 46, Mean = 0,0009069565344986546000000, var = 0,0000082774301151638680000
FN : Point ID = 47, Mean = 0,0008876595869561300000000, var = 0,0000081184437012836520000
FN : Point ID = 48, Mean = 0,0008691666788945440000000, var = 0,0000079653828769896740000
FN : Point ID = 49, Mean = 0,0009183673600295597000000, var = 0,0000079994587960221930000
FN : Point ID = 50, Mean = 0,0009002000128384680000000, var = 0,0000078558401928158240000
FN : Point ID = 51, Mean = 0,0008827451106352622000000, var = 0,0000077172319088138120000
FN : Point ID = 52, Mean = 0,0008659615508244874000000, var = 0,0000075833800693863130000
FN : Point ID = 53, Mean = 0,0008496226536391198000000, var = 0,0000074541793237506230000
FN : Point ID = 54, Mean = 0,0008888889016169640000000, var = 0,0000074902471331520660000
FN : Point ID = 55, Mean = 0,0008729091034143825000000, var = 0,0000073680299349909590000
FN : Point ID = 56, Mean = 0,0008573214408534114000000, var = 0,0000072498216091905730000
FN : Point ID = 57, Mean = 0,0008422807138208953000000, var = 0,0000071353002707002660000
FN : Point ID = 58, Mean = 0,0008953448407480429000000, var = 0,0000072723233731722010000
FN : Point ID = 59, Mean = 0,0008801695044641778000000, var = 0,0000071624205232003680000
FN : Point ID = 60, Mean = 0,0009166666801320389000000, var = 0,0000071850557669594320000
FN : Point ID = 61, Mean = 0,0009624590304275578000000, var = 0,0000073194105563894320000
FN : Point ID = 62, Mean = 0,0009469354976787262000000, var = 0,0000072160553316243190000
FN : Point ID = 63, Mean = 0,0009319047754933495000000, var = 0,0000071155219725888050000
FN : Point ID = 64, Mean = 0,0009175000133836875000000, var = 0,0000070175689510841540000
FN : Point ID = 65, Mean = 0,0009035384747235534000000, var = 0,0000069222338314953100000
FN : Point ID = 66, Mean = 0,0009313636498038911000000, var = 0,0000069263498507815870000
FN : Point ID = 67, Mean = 0,0009174626998068181000000, var = 0,0000068357250979128480000
FN : Point ID = 68, Mean = 0,0009039706012802472000000, var = 0,0000067473961892447300000
FN : Point ID = 69, Mean = 0,0008908695780732871000000, var = 0,0000066612791416920430000
FN : Point ID = 70, Mean = 0,0008782857269647398000000, var = 0,0000065771858179824500000
FN : Point ID = 71, Mean = 0,0008659155054581942000000, var = 0,0000064952609646212850000
FN : Point ID = 72, Mean = 0,0008538889012157193000000, var = 0,0000064153183906618700000
FN : Point ID = 73, Mean = 0,0008421917929798875000000, var = 0,0000063372885253738410000
FN : Point ID = 74, Mean = 0,0008308108228044836000000, var = 0,0000062611049244428320000
FN : Point ID = 75, Mean = 0,0008197333451670904000000, var = 0,0000061867041032510880000
FN : Point ID = 76, Mean = 0,0008521052753540540000000, var = 0,0000062457588979286980000
FN : Point ID = 77, Mean = 0,0008410389730767287000000, var = 0,0000061739523375095990000
FN : Point ID = 78, Mean = 0,0008302564221398475000000, var = 0,0000061037513845776210000
FN : Point ID = 79, Mean = 0,0008197468471760520000000, var = 0,0000060351038997629900000
FN : Point ID = 80, Mean = 0,0008380000119941542000000, var = 0,0000060262561642064040000
FN : Point ID = 81, Mean = 0,0008276543328337325000000, var = 0,0000059604205861417830000
FN : Point ID = 82, Mean = 0,0008176829385366745000000, var = 0,0000058959069869724710000
FN : Point ID = 83, Mean = 0,0008078313368675580000000, var = 0,0000058328303955793450000
FN : Point ID = 84, Mean = 0,0007982142971429441000000, var = 0,0000057710683970957614000
FN : Point ID = 85, Mean = 0,0008301176590406720000000, var = 0,0000058459636747532590000
FN : Point ID = 86, Mean = 0,0008205814071968847000000, var = 0,0000057858323776783020000
FN : Point ID = 87, Mean = 0,0008489655297592111000000, var = 0,0000058463841474207920000
FN : Point ID = 88, Mean = 0,0008944318305822724000000, var = 0,0000061026055121450540000
FN : Point ID = 89, Mean = 0,0008843820347330334000000, var = 0,0000060429247697889020000
FN : Point ID = 90, Mean = 0,0009065555679974043000000, var = 0,0000060589349523386570000
FN : Point ID = 91, Mean = 0,0009318681448252851000000, var = 0,0000061063472110746920000
FN : Point ID = 92, Mean = 0,0009217391432510973000000, var = 0,0000060493101690578940000
FN : Point ID = 93, Mean = 0,0009367742066231546000000, var = 0,0000060387983450065940000
FN : Point ID = 94, Mean = 0,0009500000132198267000000, var = 0,0000060287767424958220000
FN : Point ID = 95, Mean = 0,0009400000130806706000000, var = 0,0000059747159349427830000
FN : Point ID = 96, Mean = 0,0009302083462777470000000, var = 0,0000059215876008051180000
FN : Point ID = 97, Mean = 0,0009491752710351816000000, var = 0,0000059461798769118320000
FN : Point ID = 98, Mean = 0,0009394898090858431000000, var = 0,0000058946039648413460000
FN : Point ID = 99, Mean = 0,0009550505185222271000000, var = 0,0000058998988776968870000
FN : Point ID = 100, Mean = 0,0009455000133370050000000, var = 0,0000058499298917002240000
