BuildTree = 1,111000
FN : Point ID = 1, Mean = 0,0001100000052247196400000, var = 0,0000002179000206993883000
FN : Point ID = 2, Mean = 0,0000900000042747706200000, var = 0,0000001419000134797773700
FN : Point ID = 3, Mean = 0,0000966666712580869600000, var = 0,0000001273222343171848600
FN : Point ID = 4, Mean = 0,0000800000037997961100000, var = 0,0000001036000098414716100
FN : Point ID = 5, Mean = 0,0014560000051278622000000, var = 0,0001310160620314992000000
FN : Point ID = 6, Mean = 0,0012133333376065517000000, var = 0,0001094744872505458000000
FN : Point ID = 7, Mean = 0,0010400000036627586000000, var = 0,0000940155414541167700000
FN : Point ID = 8, Mean = 0,0009112500032642856000000, var = 0,0000823808722106898400000
FN : Point ID = 9, Mean = 0,0008100000029015872000000, var = 0,0000733094544656448700000
FN : Point ID = 10, Mean = 0,0012800000017741695000000, var = 0,0000892335983485948500000
FN : Point ID = 11, Mean = 0,0011636363652492450000000, var = 0,0000812568580032324600000
FN : Point ID = 12, Mean = 0,0010675000015180557000000, var = 0,0000745879423744492500000
FN : Point ID = 13, Mean = 0,0009853846167858977000000, var = 0,0000689313235825678500000
FN : Point ID = 14, Mean = 0,0009157142870494031000000, var = 0,0000640714661682983000000
FN : Point ID = 15, Mean = 0,0008553333346111079000000, var = 0,0000598517371223167300000
FN : Point ID = 16, Mean = 0,0009525000027497299000000, var = 0,0000564702427171074300000
FN : Point ID = 17, Mean = 0,0010394117694265922000000, var = 0,0000535049163325563600000
FN : Point ID = 18, Mean = 0,0009822222267070580000000, var = 0,0000505885719253437800000
FN : Point ID = 19, Mean = 0,0009310526358527377000000, var = 0,0000479736664474067450000
FN : Point ID = 20, Mean = 0,0008845000040601008000000, var = 0,0000456161589280511650000
FN : Point ID = 21, Mean = 0,0008428571467465234000000, var = 0,0000434791148637735850000
FN : Point ID = 22, Mean = 0,0008045454582580449000000, var = 0,0000415336149558448200000
FN : Point ID = 23, Mean = 0,0007695652209424778000000, var = 0,0000397547251840020500000
FN : Point ID = 24, Mean = 0,0007375000034032079000000, var = 0,0000381219263993790660000
FN : Point ID = 25, Mean = 0,0007080000032670796000000, var = 0,0000366179353435936050000
FN : Point ID = 26, Mean = 0,0007819230812422644000000, var = 0,0000355135956710733560000
FN : Point ID = 27, Mean = 0,0007529629671221805000000, var = 0,0000342200832063435360000
FN : Point ID = 28, Mean = 0,0008521428632333742000000, var = 0,0000334445662653663640000
FN : Point ID = 29, Mean = 0,0008227586265701544000000, var = 0,0000323154814938630350000
FN : Point ID = 30, Mean = 0,0009100000078324229000000, var = 0,0000316305661471227340000
FN : Point ID = 31, Mean = 0,0008806451688700866000000, var = 0,0000306360765007874040000
FN : Point ID = 32, Mean = 0,0008531250073428964000000, var = 0,0000297021772481389240000
FN : Point ID = 33, Mean = 0,0008875757658317911000000, var = 0,0000289319057740716200000
FN : Point ID = 34, Mean = 0,0009564705979873371000000, var = 0,0000283645753295911900000
FN : Point ID = 35, Mean = 0,0009297142952148403000000, var = 0,0000275790594827492900000
FN : Point ID = 36, Mean = 0,0009041666759165108000000, var = 0,0000268360933269572300000
FN : Point ID = 37, Mean = 0,0008797297387295780000000, var = 0,0000261322914076809800000
FN : Point ID = 38, Mean = 0,0008568421140386674000000, var = 0,0000254642422593356380000
FN : Point ID = 39, Mean = 0,0008915384709894753000000, var = 0,0000249618254499577660000
