BuildTree = 1,362000
FN : Point ID = 1, Mean = 0,0001200000045355409300000, var = 0,0000005256000339105730000
FN : Point ID = 2, Mean = 0,0000700000027427449800000, var = 0,0000002751000180655129500
FN : Point ID = 3, Mean = 0,0000566666689701378300000, var = 0,0000001934555685441118700
FN : Point ID = 4, Mean = 0,0000525000022025778900000, var = 0,0000001547437606558912600
FN : Point ID = 5, Mean = 0,0010660000082571060000000, var = 0,0000412136428486969100000
FN : Point ID = 6, Mean = 0,0008916666737059132000000, var = 0,0000344999295985697100000
FN : Point ID = 7, Mean = 0,0007657142918157790000000, var = 0,0000296679665282166150000
FN : Point ID = 8, Mean = 0,0006725000054575502000000, var = 0,0000260227430346912220000
FN : Point ID = 9, Mean = 0,0005977777826289336000000, var = 0,0000231759944266239120000
FN : Point ID = 10, Mean = 0,0008870000091847032000000, var = 0,0000220142304542049940000
FN : Point ID = 11, Mean = 0,0008072727356656370000000, var = 0,0000200774011580635200000
FN : Point ID = 12, Mean = 0,0007408333410664151000000, var = 0,0000184536655196718060000
FN : Point ID = 13, Mean = 0,0006838461609843832000000, var = 0,0000170731232517126500000
FN : Point ID = 14, Mean = 0,0006350000066283558000000, var = 0,0000158846317563592200000
FN : Point ID = 15, Mean = 0,0005926666728531321000000, var = 0,0000148507458620144070000
FN : Point ID = 16, Mean = 0,0007150000075489515000000, var = 0,0000143912746634396140000
FN : Point ID = 17, Mean = 0,0008247058920781402000000, var = 0,0000140128010770069520000
FN : Point ID = 18, Mean = 0,0007794444536557421000000, var = 0,0000132696882910735160000
FN : Point ID = 19, Mean = 0,0007389473771725438000000, var = 0,0000126013249345217840000
FN : Point ID = 20, Mean = 0,0007070000081439503000000, var = 0,0000120311507377599130000
FN : Point ID = 21, Mean = 0,0006733333410894765000000, var = 0,0000114809076872775850000
FN : Point ID = 22, Mean = 0,0006427272801308639000000, var = 0,0000109787195972637280000
FN : Point ID = 23, Mean = 0,0006147826157773481000000, var = 0,0000105185638564474810000
FN : Point ID = 24, Mean = 0,0005891666734532918000000, var = 0,0000100953824219556570000
FN : Point ID = 25, Mean = 0,0005656000065151602000000, var = 0,0000097048964320501630000
FN : Point ID = 26, Mean = 0,0006469230850388367000000, var = 0,0000096676441860868020000
FN : Point ID = 27, Mean = 0,0006229629707781391000000, var = 0,0000093245095542661190000
FN : Point ID = 28, Mean = 0,0007342857240499662000000, var = 0,0000095151100422286840000
FN : Point ID = 29, Mean = 0,0007093103542715183000000, var = 0,0000092048097134120970000
FN : Point ID = 30, Mean = 0,0008103333449301620000000, var = 0,0000093816930907313430000
FN : Point ID = 31, Mean = 0,0007841935596098343000000, var = 0,0000090995564810380620000
FN : Point ID = 32, Mean = 0,0007600000108868699000000, var = 0,0000088336498778290650000
FN : Point ID = 33, Mean = 0,0008024242539029343000000, var = 0,0000087324788528774670000
FN : Point ID = 34, Mean = 0,0008735294245279339000000, var = 0,0000087998874354030480000
FN : Point ID = 35, Mean = 0,0008488571552692780000000, var = 0,0000085694414468680150000
FN : Point ID = 36, Mean = 0,0008255555676361029000000, var = 0,0000083506801462232330000
FN : Point ID = 37, Mean = 0,0008032432549972893000000, var = 0,0000081429083028458500000
FN : Point ID = 38, Mean = 0,0007821052746026238000000, var = 0,0000079451533682056840000
FN : Point ID = 39, Mean = 0,0008176923196655340000000, var = 0,0000078870202241063670000
FN : Point ID = 40, Mean = 0,0007975000116857700000000, var = 0,0000077059936612885390000
FN : Point ID = 41, Mean = 0,0007780487918885561000000, var = 0,0000075331765944411590000
FN : Point ID = 42, Mean = 0,0007595238206531143000000, var = 0,0000073678854038853690000
FN : Point ID = 43, Mean = 0,0007939535001195361000000, var = 0,0000073463819644760400000
FN : Point ID = 44, Mean = 0,0008475000126054510000000, var = 0,0000073919709485757970000
FN : Point ID = 45, Mean = 0,0008286666789919966000000, var = 0,0000072433114835164570000
FN : Point ID = 46, Mean = 0,0008800000135796955000000, var = 0,0000073295129825496640000
FN : Point ID = 47, Mean = 0,0008612766090354467000000, var = 0,0000071896919281894970000
FN : Point ID = 48, Mean = 0,0008433333463472081000000, var = 0,0000070550388314539300000
FN : Point ID = 49, Mean = 0,0008955102178923862000000, var = 0,0000071462246890588370000
FN : Point ID = 50, Mean = 0,0008776000135345385000000, var = 0,0000070190181908640430000
FN : Point ID = 51, Mean = 0,0008603921701319004000000, var = 0,0000068961958769295500000
FN : Point ID = 52, Mean = 0,0008438461668601331000000, var = 0,0000067775390068862060000
FN : Point ID = 53, Mean = 0,0008279245410703193000000, var = 0,0000066628428171431415000
FN : Point ID = 54, Mean = 0,0008644444577145838000000, var = 0,0000066927357599006320000
FN : Point ID = 55, Mean = 0,0008487272857561369000000, var = 0,0000065843892478709190000
FN : Point ID = 56, Mean = 0,0008335714413676345000000, var = 0,0000064794443474971865000
FN : Point ID = 57, Mean = 0,0008189473809927637000000, var = 0,0000063777462212029065000
FN : Point ID = 58, Mean = 0,0008725862206634263000000, var = 0,0000065325588021583120000
