BuildTree = 1,256000
FN : Point ID = 1, Mean = 0,0001100000017322599800000, var = 0,0000002978999941427257600
FN : Point ID = 2, Mean = 0,0000800000020535662800000, var = 0,0000001735999993082129600
FN : Point ID = 3, Mean = 0,0001066666682406018200000, var = 0,0000004619555419763741000
FN : Point ID = 4, Mean = 0,0000850000014179386200000, var = 0,0000003527749903013662700
FN : Point ID = 5, Mean = 0,0009559999986086040000000, var = 0,0000061620638548147640000
FN : Point ID = 6, Mean = 0,0008016666657446574000000, var = 0,0000052623304346208320000
FN : Point ID = 7, Mean = 0,0006899999993454132000000, var = 0,0000045881856105350400000
FN : Point ID = 8, Mean = 0,0006037499994272366000000, var = 0,0000040667358466193270000
FN : Point ID = 9, Mean = 0,0005366666661575436000000, var = 0,0000036508776969265707000
FN : Point ID = 10, Mean = 0,0010330000050598755000000, var = 0,0000066299109873054610000
FN : Point ID = 11, Mean = 0,0009400000046430664000000, var = 0,0000061145818075021610000
FN : Point ID = 12, Mean = 0,0008625000042957253000000, var = 0,0000056719270742142210000
FN : Point ID = 13, Mean = 0,0007961538501191311000000, var = 0,0000052884467376707110000
FN : Point ID = 14, Mean = 0,0007392857179677646000000, var = 0,0000049527423400296490000
FN : Point ID = 15, Mean = 0,0006900000034365803000000, var = 0,0000046565666605569920000
FN : Point ID = 16, Mean = 0,0008118750054563861000000, var = 0,0000048402339826444190000
FN : Point ID = 17, Mean = 0,0009100000076132881000000, var = 0,0000049748411827364420000
FN : Point ID = 18, Mean = 0,0008600000072167152000000, var = 0,0000047415111177552305000
FN : Point ID = 19, Mean = 0,0008147368489421512000000, var = 0,0000045288354639769960000
FN : Point ID = 20, Mean = 0,0007745000065187924000000, var = 0,0000043336497571011445000
FN : Point ID = 21, Mean = 0,0007376190538274213000000, var = 0,0000041544895763818170000
FN : Point ID = 22, Mean = 0,0007045454604932192000000, var = 0,0000039890702552314530000
FN : Point ID = 23, Mean = 0,0006739130491674270000000, var = 0,0000038362759997672950000
FN : Point ID = 24, Mean = 0,0006458333387854509000000, var = 0,0000036945659795516110000
FN : Point ID = 25, Mean = 0,0006200000052340328000000, var = 0,0000035628000073069827000
FN : Point ID = 26, Mean = 0,0007000000068756680000000, var = 0,0000037538461684770385000
FN : Point ID = 27, Mean = 0,0006744444510830498000000, var = 0,0000036321617428337024000
FN : Point ID = 28, Mean = 0,0008617857247008942000000, var = 0,0000194055403380415540000
FN : Point ID = 29, Mean = 0,0008324138031758625000000, var = 0,0000187608810276775030000
FN : Point ID = 30, Mean = 0,0009310000126327698000000, var = 0,0000186209063167162230000
FN : Point ID = 31, Mean = 0,0009009677541607450000000, var = 0,0000180472900158705300000
FN : Point ID = 32, Mean = 0,0008731250118580646000000, var = 0,0000175076533451712700000
FN : Point ID = 33, Mean = 0,0009087878914027841000000, var = 0,0000171131960936983580000
FN : Point ID = 34, Mean = 0,0009779411904609707000000, var = 0,0000169168669337605900000
FN : Point ID = 35, Mean = 0,0009502857278899423000000, var = 0,0000164598147724201320000
FN : Point ID = 36, Mean = 0,0009238889021152217000000, var = 0,0000160269854297931030000
FN : Point ID = 37, Mean = 0,0008991892020708906000000, var = 0,0000156160539355753500000
FN : Point ID = 38, Mean = 0,0008757894862394191000000, var = 0,0000152256249020739840000
FN : Point ID = 39, Mean = 0,0009112820642976424000000, var = 0,0000149921296382514270000
FN : Point ID = 40, Mean = 0,0008885000126902014000000, var = 0,0000146375682504378770000
FN : Point ID = 41, Mean = 0,0008668292806733672000000, var = 0,0000142993392157166170000
FN : Point ID = 42, Mean = 0,0008464285835257865000000, var = 0,0000139761781987166080000
FN : Point ID = 43, Mean = 0,0009134883839680358000000, var = 0,0000166660044398740500000
FN : Point ID = 44, Mean = 0,0009609091034508310000000, var = 0,0000164616540425933150000
FN : Point ID = 45, Mean = 0,0009395555678185903000000, var = 0,0000161159023416092360000
FN : Point ID = 46, Mean = 0,0009834782741002172000000, var = 0,0000159601621303907800000
FN : Point ID = 47, Mean = 0,0009625532044385104000000, var = 0,0000156407257055791500000
FN : Point ID = 48, Mean = 0,0009427083460226034000000, var = 0,0000153335929684602200000
FN : Point ID = 49, Mean = 0,0009840816457290203000000, var = 0,0000151821958828957530000
FN : Point ID = 50, Mean = 0,0009644000128144399000000, var = 0,0000148975329322742690000
FN : Point ID = 51, Mean = 0,0009454902086416077000000, var = 0,0000146233034780982090000
FN : Point ID = 52, Mean = 0,0009273077046292690000000, var = 0,0000143589468795794340000
FN : Point ID = 53, Mean = 0,0009098113328438112000000, var = 0,0000141039417508834860000
FN : Point ID = 54, Mean = 0,0009409259381505695000000, var = 0,0000139611401538397420000
FN : Point ID = 55, Mean = 0,0009238181938205592000000, var = 0,0000137231056874191270000
FN : Point ID = 56, Mean = 0,0009075000117965309000000, var = 0,0000134928725829977620000
FN : Point ID = 57, Mean = 0,0008915789589579952000000, var = 0,0000132703503958540960000
FN : Point ID = 58, Mean = 0,0009413793227426579000000, var = 0,0000132738052537320210000
FN : Point ID = 59, Mean = 0,0009254237410012570000000, var = 0,0000130635911778137470000
FN : Point ID = 60, Mean = 0,0009661666793205465000000, var = 0,0000130143555591548300000
FN : Point ID = 61, Mean = 0,0010131147674658932000000, var = 0,0000130663856338501800000
FN : Point ID = 62, Mean = 0,0009969354970305558000000, var = 0,0000128717650522015820000
FN : Point ID = 63, Mean = 0,0009811111240618168000000, var = 0,0000126829767895632500000
FN : Point ID = 64, Mean = 0,0009659375127557723000000, var = 0,0000124994649889863970000
FN : Point ID = 65, Mean = 0,0009515384741020030000000, var = 0,0000123218055649783790000
FN : Point ID = 66, Mean = 0,0009787878915879199000000, var = 0,0000122413684630678340000
FN : Point ID = 67, Mean = 0,0009641791170866076000000, var = 0,0000120727469463843130000
FN : Point ID = 68, Mean = 0,0009500000124235692000000, var = 0,0000119086766997178290000
FN : Point ID = 69, Mean = 0,0009362318963014885000000, var = 0,0000117489773317953730000
FN : Point ID = 70, Mean = 0,0009228571549257530000000, var = 0,0000115934777742603070000
FN : Point ID = 71, Mean = 0,0009098591668282071000000, var = 0,0000114420156935255060000
FN : Point ID = 72, Mean = 0,0008972222339555931000000, var = 0,0000112944369460355000000
FN : Point ID = 73, Mean = 0,0008849315184219549000000, var = 0,0000111505950732659270000
FN : Point ID = 74, Mean = 0,0008731081195307795000000, var = 0,0000110102500114337290000
FN : Point ID = 75, Mean = 0,0008614666779370358000000, var = 0,0000108734753919625470000
FN : Point ID = 76, Mean = 0,0008901315904222428000000, var = 0,0000108393765050764980000
FN : Point ID = 77, Mean = 0,0008785714398972787000000, var = 0,0000107087617997262040000
FN : Point ID = 78, Mean = 0,0008673077034883392000000, var = 0,0000105812391071376620000
FN : Point ID = 79, Mean = 0,0008563291249631703000000, var = 0,0000104567006481469170000
FN : Point ID = 80, Mean = 0,0008736250113724964000000, var = 0,0000103944045570976940000
FN : Point ID = 81, Mean = 0,0008628395174049347000000, var = 0,0000102753847253235970000
FN : Point ID = 82, Mean = 0,0008524390354911547000000, var = 0,0000101589576591658720000
FN : Point ID = 83, Mean = 0,0008421686856659600000000, var = 0,0000100452099459496800000
FN : Point ID = 84, Mean = 0,0008321428679794606000000, var = 0,0000099339670259441430000
FN : Point ID = 85, Mean = 0,0008620000113459195000000, var = 0,0000099467208959010920000
FN : Point ID = 86, Mean = 0,0008519767554000366000000, var = 0,0000098396009316790260000
FN : Point ID = 87, Mean = 0,0008775862185792976000000, var = 0,0000098354748217656710000
FN : Point ID = 88, Mean = 0,0009226136481183030000000, var = 0,0000100400342598712280000
FN : Point ID = 89, Mean = 0,0009122472026338277000000, var = 0,0000099366816470586200000
FN : Point ID = 90, Mean = 0,0009337777897146427000000, var = 0,0000099013925738212360000
FN : Point ID = 91, Mean = 0,0009581318806350272000000, var = 0,0000098950604261208800000
FN : Point ID = 92, Mean = 0,0009477174036716030000000, var = 0,0000097973754025600840000
FN : Point ID = 93, Mean = 0,0009637634534018255000000, var = 0,0000097562139693714560000
FN : Point ID = 94, Mean = 0,0009764893743967479000000, var = 0,0000097061495512567140000
FN : Point ID = 95, Mean = 0,0009662105388767821000000, var = 0,0000096139110751845310000
FN : Point ID = 96, Mean = 0,0009562500124350966000000, var = 0,0000095232944414274390000
FN : Point ID = 97, Mean = 0,0009748453736430053000000, var = 0,0000095082333941636100000
FN : Point ID = 98, Mean = 0,0009648979718711380000000, var = 0,0000094208088322194400000
FN : Point ID = 99, Mean = 0,0009798990028458790000000, var = 0,0000093881819760726300000
FN : Point ID = 100, Mean = 0,0009701000128174201000000, var = 0,0000093038061566620150000
