BuildTree = 1,096000
FN : Point ID = 1, Mean = 0,0001400000031571835400000, var = 0,0000003203999964896585000
FN : Point ID = 2, Mean = 0,0001050000032410025600000, var = 0,0000001939750013310477600
FN : Point ID = 3, Mean = 0,0001100000040605664200000, var = 0,0000001645666709142449200
FN : Point ID = 4, Mean = 0,0000900000034016557000000, var = 0,0000001319000039558412600
FN : Point ID = 5, Mean = 0,0017220000363886356000000, var = 0,0001649447316469238800000
FN : Point ID = 6, Mean = 0,0014383333638155213000000, var = 0,0001378628769453732000000
FN : Point ID = 7, Mean = 0,0012342857404811574000000, var = 0,0001184194071202690000000
FN : Point ID = 8, Mean = 0,0010800000229210128000000, var = 0,0001037836098087362700000
FN : Point ID = 9, Mean = 0,0009600000203742336000000, var = 0,0000923672976126563100000
FN : Point ID = 10, Mean = 0,0017010000129230320000000, var = 0,0001124696046559881000000
FN : Point ID = 11, Mean = 0,0015472727390641178000000, var = 0,0001024823158891740600000
FN : Point ID = 12, Mean = 0,0014183333441421080000000, var = 0,0000941250019416027600000
FN : Point ID = 13, Mean = 0,0013100000100138669000000, var = 0,0000870262120507953800000
FN : Point ID = 14, Mean = 0,0012164285807271622000000, var = 0,0000809238770080929000000
FN : Point ID = 15, Mean = 0,0011353333420120180000000, var = 0,0000756210220026069200000
FN : Point ID = 16, Mean = 0,0012212500101304613000000, var = 0,0000712423019824291000000
FN : Point ID = 17, Mean = 0,0012941176589468823000000, var = 0,0000673923216801178700000
FN : Point ID = 18, Mean = 0,0012227777890317763000000, var = 0,0000637353732187254500000
FN : Point ID = 19, Mean = 0,0011589473791077342000000, var = 0,0000604547387262643300000
FN : Point ID = 20, Mean = 0,0011015000101760961000000, var = 0,0000574952005937413400000
FN : Point ID = 21, Mean = 0,0010495238192379476000000, var = 0,0000548118358159108200000
FN : Point ID = 22, Mean = 0,0010018181910907680000000, var = 0,0000523681810994595700000
FN : Point ID = 23, Mean = 0,0009586956610639944000000, var = 0,0000501326442522894360000
FN : Point ID = 24, Mean = 0,0009187500085196613000000, var = 0,0000480804841437209000000
FN : Point ID = 25, Mean = 0,0008820000081788749000000, var = 0,0000461896782785776900000
FN : Point ID = 26, Mean = 0,0009438461625876908000000, var = 0,0000446537720096167640000
FN : Point ID = 27, Mean = 0,0009088888973066652000000, var = 0,0000430317008721387100000
FN : Point ID = 28, Mean = 0,0009978571525425650000000, var = 0,0000418799974467395200000
FN : Point ID = 29, Mean = 0,0009634482852135110000000, var = 0,0000404690107679782000000
FN : Point ID = 30, Mean = 0,0010426666778512298000000, var = 0,0000394641814702276000000
FN : Point ID = 31, Mean = 0,0010090322688882870000000, var = 0,0000382250815622734500000
FN : Point ID = 32, Mean = 0,0009778125105003710000000, var = 0,0000370610720112044100000
FN : Point ID = 33, Mean = 0,0010081818293088652000000, var = 0,0000360596317692081700000
FN : Point ID = 34, Mean = 0,0010723529533168082000000, var = 0,0000352647667464451800000
FN : Point ID = 35, Mean = 0,0010420000118070414000000, var = 0,0000342888090754159900000
FN : Point ID = 36, Mean = 0,0010130555670346236000000, var = 0,0000333656644875643700000
FN : Point ID = 37, Mean = 0,0009856756868444987000000, var = 0,0000324908774538962700000
FN : Point ID = 38, Mean = 0,0009605263267018783000000, var = 0,0000316605486100636200000
FN : Point ID = 39, Mean = 0,0009894871907846000000000, var = 0,0000309657883949267350000
FN : Point ID = 40, Mean = 0,0009650000110268593000000, var = 0,0000302152764420018400000
FN : Point ID = 41, Mean = 0,0009414634253920579000000, var = 0,0000295004773145436150000
FN : Point ID = 42, Mean = 0,0009190476295493898000000, var = 0,0000288186861815632300000
FN : Point ID = 43, Mean = 0,0009483721038748965000000, var = 0,0000282740800871783180000
FN : Point ID = 44, Mean = 0,0009963636479435743000000, var = 0,0000278140789996928330000
FN : Point ID = 45, Mean = 0,0009744444557776054000000, var = 0,0000272173481986224500000
FN : Point ID = 46, Mean = 0,0010165217514504152000000, var = 0,0000268119022076268200000
FN : Point ID = 47, Mean = 0,0009951063950466824000000, var = 0,0000262627432460702360000
FN : Point ID = 48, Mean = 0,0009743750118165432000000, var = 0,0000257358029035490700000
FN : Point ID = 49, Mean = 0,0010122449102583436000000, var = 0,0000253459736978507370000
FN : Point ID = 50, Mean = 0,0009920000120531769000000, var = 0,0000248591371631512800000
FN : Point ID = 51, Mean = 0,0009725490314246831000000, var = 0,0000243906201335061060000
FN : Point ID = 52, Mean = 0,0009538461654357469000000, var = 0,0000239394094033293080000
FN : Point ID = 53, Mean = 0,0009358490679746951000000, var = 0,0000235045650003405540000
FN : Point ID = 54, Mean = 0,0009687037158895422000000, var = 0,0000232073549572889170000
FN : Point ID = 55, Mean = 0,0009510909210551869000000, var = 0,0000228021544182350750000
FN : Point ID = 56, Mean = 0,0009342857260448259000000, var = 0,0000224106826769293100000
FN : Point ID = 57, Mean = 0,0009180701869997409000000, var = 0,0000220324113372028770000
FN : Point ID = 58, Mean = 0,0009687931161245396000000, var = 0,0000218978202517746520000
FN : Point ID = 59, Mean = 0,0009523728938173440000000, var = 0,0000215423089306172380000
FN : Point ID = 60, Mean = 0,0009880000130700257000000, var = 0,0000213171903206771560000
FN : Point ID = 61, Mean = 0,0010304918176433468000000, var = 0,0000211843171332270270000
FN : Point ID = 62, Mean = 0,0010138709818749059000000, var = 0,0000208594859819039250000
FN : Point ID = 63, Mean = 0,0009979365218526846000000, var = 0,0000205442824076898460000
FN : Point ID = 64, Mean = 0,0009823437636987365000000, var = 0,0000202385954437967220000
FN : Point ID = 65, Mean = 0,0009672307827187558000000, var = 0,0000199418501773913600000
FN : Point ID = 66, Mean = 0,0009922727409954833000000, var = 0,0000197337290764445130000
FN : Point ID = 67, Mean = 0,0009774627000851029000000, var = 0,0000194536720692313470000
FN : Point ID = 68, Mean = 0,0009630882486132631000000, var = 0,0000191814325217367700000
FN : Point ID = 69, Mean = 0,0009491304479087231000000, var = 0,0000189166885196925600000
FN : Point ID = 70, Mean = 0,0009357142986596695000000, var = 0,0000186590110620411500000
FN : Point ID = 71, Mean = 0,0009225352240306601000000, var = 0,0000184083662499017180000
FN : Point ID = 72, Mean = 0,0009098611237034977000000, var = 0,0000181642369265987000000
FN : Point ID = 73, Mean = 0,0008973972726938608000000, var = 0,0000179265967891250000000
FN : Point ID = 74, Mean = 0,0008854054176638758000000, var = 0,0000176949769998176270000
FN : Point ID = 75, Mean = 0,0008736000120950242000000, var = 0,0000174693571756056560000
FN : Point ID = 76, Mean = 0,0009003947492180343000000, var = 0,0000173378427411183200000
FN : Point ID = 77, Mean = 0,0008887013109165014000000, var = 0,0000171230679262189660000
FN : Point ID = 78, Mean = 0,0008774359095005844000000, var = 0,0000169134403511567050000
FN : Point ID = 79, Mean = 0,0008663291258360200000000, var = 0,0000167089682996747660000
FN : Point ID = 80, Mean = 0,0008821250121545745000000, var = 0,0000165597312371720970000
FN : Point ID = 81, Mean = 0,0008712345799057526000000, var = 0,0000163647782319525400000
FN : Point ID = 82, Mean = 0,0008606097679556825000000, var = 0,0000161743515826552260000
FN : Point ID = 83, Mean = 0,0008502409755706742000000, var = 0,0000159882958489919420000
FN : Point ID = 84, Mean = 0,0008401190591948329000000, var = 0,0000158064626085136300000
FN : Point ID = 85, Mean = 0,0008691764826174168000000, var = 0,0000157461800337764250000
FN : Point ID = 86, Mean = 0,0008590697793311678000000, var = 0,0000155717672804697300000
FN : Point ID = 87, Mean = 0,0008829885180076135000000, var = 0,0000154883779728862470000
FN : Point ID = 88, Mean = 0,0009268181942487982000000, var = 0,0000156185087447043350000
FN : Point ID = 89, Mean = 0,0009164045066729690000000, var = 0,0000154525630326243200000
FN : Point ID = 90, Mean = 0,0009356666793011956000000, var = 0,0000153457507837207000000
FN : Point ID = 91, Mean = 0,0009587912218246077000000, var = 0,0000152731376673209750000
FN : Point ID = 92, Mean = 0,0009483695781091228000000, var = 0,0000151170088712214970000
FN : Point ID = 93, Mean = 0,0009617204432530949000000, var = 0,0000150011159726373750000
FN : Point ID = 94, Mean = 0,0009737234174625631000000, var = 0,0000148917569941337980000
FN : Point ID = 95, Mean = 0,0009634736972787466000000, var = 0,0000147448769931549120000
FN : Point ID = 96, Mean = 0,0009534375129320931000000, var = 0,0000146008533991236350000
FN : Point ID = 97, Mean = 0,0009710309410962209000000, var = 0,0000145275119353042360000
FN : Point ID = 98, Mean = 0,0009611224621054431000000, var = 0,0000143887952793173360000
FN : Point ID = 99, Mean = 0,0009751515284726265000000, var = 0,0000142975649853941070000
FN : Point ID = 100, Mean = 0,0009654000131879001000000, var = 0,0000141640034485260600000
