BuildTree = 1,439000
FN : Point ID = 1, Mean = 0,0002100000076461583500000, var = 0,0000006059000305956254000
FN : Point ID = 2, Mean = 0,0001150000042980536800000, var = 0,0000003217750168649054300
FN : Point ID = 3, Mean = 0,0000833333365153521300000, var = 0,0000002230555675608216500
FN : Point ID = 4, Mean = 0,0000625000023865141000000, var = 0,0000001685937591033827000
FN : Point ID = 5, Mean = 0,0006840000168886036000000, var = 0,0000032641441353739740000
FN : Point ID = 6, Mean = 0,0005733333475654945000000, var = 0,0000027846223382839584000
FN : Point ID = 7, Mean = 0,0004942857266204165000000, var = 0,0000024271103056290200000
FN : Point ID = 8, Mean = 0,0004337500108522363000000, var = 0,0000021506110277278730000
FN : Point ID = 9, Mean = 0,0003855555652019878000000, var = 0,0000019302358836015190000
FN : Point ID = 10, Mean = 0,0007080000141868368000000, var = 0,0000030947361024194677000
FN : Point ID = 11, Mean = 0,0006436363765334879000000, var = 0,0000028548232352647125000
FN : Point ID = 12, Mean = 0,0005900000118223640000000, var = 0,0000026485667548063023000
FN : Point ID = 13, Mean = 0,0005453846263341033000000, var = 0,0000024694787805915070000
FN : Point ID = 14, Mean = 0,0005064285815959530000000, var = 0,0000023128158936020203000
FN : Point ID = 15, Mean = 0,0004733333428545544700000, var = 0,0000021746222950075064000
FN : Point ID = 16, Mean = 0,0006112500116432784000000, var = 0,0000025851235141386966000
FN : Point ID = 17, Mean = 0,0007582353085608167000000, var = 0,0000044174323102850980000
FN : Point ID = 18, Mean = 0,0007161111247518824000000, var = 0,0000042021850008048570000
FN : Point ID = 19, Mean = 0,0006784210655544149000000, var = 0,0000040065870993051090000
FN : Point ID = 20, Mean = 0,0006455000123241916000000, var = 0,0000038278298636029810000
FN : Point ID = 21, Mean = 0,0006147619164992302000000, var = 0,0000036644488617493140000
FN : Point ID = 22, Mean = 0,0005868181930219924000000, var = 0,0000035142808897142516000
FN : Point ID = 23, Mean = 0,0005613043585427753000000, var = 0,0000033758070949185900000
FN : Point ID = 24, Mean = 0,0005379166769368264000000, var = 0,0000032477290899343737000
FN : Point ID = 25, Mean = 0,0005168000098783522000000, var = 0,0000031289178534384057000
FN : Point ID = 26, Mean = 0,0006007692416180641000000, var = 0,0000033459995003183032000
FN : Point ID = 27, Mean = 0,0005788888993535052000000, var = 0,0000032348877434187026000
FN : Point ID = 28, Mean = 0,0006953571558031919000000, var = 0,0000036946928394940700000
FN : Point ID = 29, Mean = 0,0006717241504470465000000, var = 0,0000035832695478555467000
FN : Point ID = 30, Mean = 0,0007783333484549075000000, var = 0,0000040085306868443500000
FN : Point ID = 31, Mean = 0,0007532258210853944000000, var = 0,0000038981348832516610000
FN : Point ID = 32, Mean = 0,0007300000141913188000000, var = 0,0000037933501244615310000
FN : Point ID = 33, Mean = 0,0007757575902382307000000, var = 0,0000038800184842792520000
FN : Point ID = 34, Mean = 0,0008470588391441304000000, var = 0,0000040707267655573440000
FN : Point ID = 35, Mean = 0,0008231428723250116000000, var = 0,0000039741502416534310000
FN : Point ID = 36, Mean = 0,0008002777925382058000000, var = 0,0000038820555949633120000
FN : Point ID = 37, Mean = 0,0007786486630101462000000, var = 0,0000037939766662667000000
FN : Point ID = 38, Mean = 0,0007581579087204054000000, var = 0,0000037096704024695796000
FN : Point ID = 39, Mean = 0,0007958974503279210000000, var = 0,0000037670602009578146000
FN : Point ID = 40, Mean = 0,0007760000140697229000000, var = 0,0000036883241067502403000
FN : Point ID = 41, Mean = 0,0007573170869088755000000, var = 0,0000036125685163248033000
FN : Point ID = 42, Mean = 0,0007392857276967594000000, var = 0,0000035398853067382007000
