BuildTree = 1,367000
FN : Point ID = 1, Mean = 0,0003199999989010393700000, var = 0,0000033975997464522944000
FN : Point ID = 2, Mean = 0,0001950000011129304600000, var = 0,0000017469748757652295000
FN : Point ID = 3, Mean = 0,0001366666677252699800000, var = 0,0000011779888066990373000
FN : Point ID = 4, Mean = 0,0001175000006332993400000, var = 0,0000009486936858693154000
FN : Point ID = 5, Mean = 0,0013620000039227308000000, var = 0,0000443709557420968400000
FN : Point ID = 6, Mean = 0,0011366666700147712000000, var = 0,0000372313220087546500000
FN : Point ID = 7, Mean = 0,0009757142886519432000000, var = 0,0000320694100220363000000
FN : Point ID = 8, Mean = 0,0008550000026298221000000, var = 0,0000281639748413475320000
FN : Point ID = 9, Mean = 0,0007600000023376196000000, var = 0,0000251068443038641580000
FN : Point ID = 10, Mean = 0,0011840000073425470000000, var = 0,0000249781439078834800000
FN : Point ID = 11, Mean = 0,0010772727339909496000000, var = 0,0000228222106614782440000
FN : Point ID = 12, Mean = 0,0009875000061583706000000, var = 0,0000210090103423088300000
FN : Point ID = 13, Mean = 0,0009123076980288785000000, var = 0,0000194615407606262200000
FN : Point ID = 14, Mean = 0,0008471428624553872000000, var = 0,0000181266346316337700000
FN : Point ID = 15, Mean = 0,0007906666716250280000000, var = 0,0000169628461646895700000
FN : Point ID = 16, Mean = 0,0008918750059820013000000, var = 0,0000162689339259203100000
FN : Point ID = 17, Mean = 0,0009805882429731463000000, var = 0,0000156919760707337960000
FN : Point ID = 18, Mean = 0,0009261111183635270000000, var = 0,0000148706514931570160000
FN : Point ID = 19, Mean = 0,0008778947437378137000000, var = 0,0000141303534158528580000
FN : Point ID = 20, Mean = 0,0008345000065746718000000, var = 0,0000134601097061640600000
FN : Point ID = 21, Mean = 0,0007947619110234968000000, var = 0,0000128507344258678660000
FN : Point ID = 22, Mean = 0,0007586363696133379000000, var = 0,0000122940162833689740000
FN : Point ID = 23, Mean = 0,0007256521796301493000000, var = 0,0000117834288856202710000
FN : Point ID = 24, Mean = 0,0006954166721455597000000, var = 0,0000113134789580484440000
FN : Point ID = 25, Mean = 0,0006680000052787364000000, var = 0,0000108793759666957320000
FN : Point ID = 26, Mean = 0,0007350000061202221000000, var = 0,0000107009288138404380000
FN : Point ID = 27, Mean = 0,0007077777836713250000000, var = 0,0000103238654013026880000
FN : Point ID = 28, Mean = 0,0008075000082525158000000, var = 0,0000104075865956888480000
FN : Point ID = 29, Mean = 0,0007800000079843248000000, var = 0,0000100702206790423720000
FN : Point ID = 30, Mean = 0,0008770000103007381000000, var = 0,0000102118710119483050000
FN : Point ID = 31, Mean = 0,0008490322680482942000000, var = 0,0000099062410110835060000
FN : Point ID = 32, Mean = 0,0008225000096717850000000, var = 0,0000096184937622583510000
FN : Point ID = 33, Mean = 0,0008581818286400063000000, var = 0,0000094762512515940760000
FN : Point ID = 34, Mean = 0,0009176470701897736000000, var = 0,0000094308650663523000000
FN : Point ID = 35, Mean = 0,0008917142967693508000000, var = 0,0000091845599329799270000
FN : Point ID = 36, Mean = 0,0008669444551924244000000, var = 0,0000089509073449853050000
FN : Point ID = 37, Mean = 0,0008435135239710075000000, var = 0,0000087287552376214840000
FN : Point ID = 38, Mean = 0,0008215789575632171000000, var = 0,0000085171133112905720000
FN : Point ID = 39, Mean = 0,0008520512928207142000000, var = 0,0000084132393964285560000
FN : Point ID = 40, Mean = 0,0008310000105120707000000, var = 0,0000082204390145282030000
FN : Point ID = 41, Mean = 0,0008107317175727520000000, var = 0,0000080363726499260170000
FN : Point ID = 42, Mean = 0,0007916666766894715000000, var = 0,0000078601686654223640000
FN : Point ID = 43, Mean = 0,0008216279174937585000000, var = 0,0000078014392250599900000
FN : Point ID = 44, Mean = 0,0008695454657374120000000, var = 0,0000077957089004044860000
FN : Point ID = 45, Mean = 0,0008504444553982467000000, var = 0,0000076387442630843990000
FN : Point ID = 46, Mean = 0,0008995652296479144000000, var = 0,0000077016520103641140000
FN : Point ID = 47, Mean = 0,0008806383098782773000000, var = 0,0000075544762137217500000
FN : Point ID = 48, Mean = 0,0008625000117657085000000, var = 0,0000074127604419669270000
FN : Point ID = 49, Mean = 0,0009097959308609442000000, var = 0,0000074567612106337840000
