BuildTree = 1,102000
FN : Point ID = 1, Mean = 0,0001300000026822090200000, var = 0,0000003130999957263484000
FN : Point ID = 2, Mean = 0,0001100000034784898100000, var = 0,0000001979000017213645000
FN : Point ID = 3, Mean = 0,0000933333366022755800000, var = 0,0000001512888918363410400
FN : Point ID = 4, Mean = 0,0000850000031641684500000, var = 0,0000001277750035552553500
FN : Point ID = 5, Mean = 0,0009760000074747950000000, var = 0,0000068874239902334610000
FN : Point ID = 6, Mean = 0,0008150000063081583000000, var = 0,0000058707749938962125000
FN : Point ID = 7, Mean = 0,0007000000054748463000000, var = 0,0000051128571389097350000
FN : Point ID = 8, Mean = 0,0006137500048498623000000, var = 0,0000045270609349181780000
FN : Point ID = 9, Mean = 0,0005466666710304303000000, var = 0,0000040611555538868800000
FN : Point ID = 10, Mean = 0,0009150000108638778000000, var = 0,0000055357750495454670000
FN : Point ID = 11, Mean = 0,0008318181916944344000000, var = 0,0000051017149227174080000
FN : Point ID = 12, Mean = 0,0007625000090532315000000, var = 0,0000047294271273824880000
FN : Point ID = 13, Mean = 0,0007038461622029830000000, var = 0,0000044069083256647546000
FN : Point ID = 14, Mean = 0,0006535714363313413000000, var = 0,0000041249872843448715000
FN : Point ID = 15, Mean = 0,0006106666739409169000000, var = 0,0000038764195930188240000
FN : Point ID = 16, Mean = 0,0007393750095798169000000, var = 0,0000041639496540124660000
FN : Point ID = 17, Mean = 0,0008511764826663934000000, var = 0,0000044325574973538930000
FN : Point ID = 18, Mean = 0,0008038889002960382000000, var = 0,0000042243182656457856000
FN : Point ID = 19, Mean = 0,0007615789581751941000000, var = 0,0000040342080869895060000
FN : Point ID = 20, Mean = 0,0007240000102901831000000, var = 0,0000038598240518459970000
FN : Point ID = 21, Mean = 0,0006895238193239839000000, var = 0,0000036997950613907210000
FN : Point ID = 22, Mean = 0,0006581818275365302000000, var = 0,0000035522512880335613000
FN : Point ID = 23, Mean = 0,0006295652263392897000000, var = 0,0000034158215968677755000
FN : Point ID = 24, Mean = 0,0006037500085949432000000, var = 0,0000032892359827828398000
FN : Point ID = 25, Mean = 0,0005800000082701444000000, var = 0,0000031716000438793550000
FN : Point ID = 26, Mean = 0,0007623077019637164000000, var = 0,0000261158102449616530000
FN : Point ID = 27, Mean = 0,0007340740833724676000000, var = 0,0000251692835813543550000
FN : Point ID = 28, Mean = 0,0008907142974203452000000, var = 0,0000298037711631215420000
FN : Point ID = 29, Mean = 0,0008600000113024024000000, var = 0,0000288024692025257400000
FN : Point ID = 30, Mean = 0,0009573333471780643000000, var = 0,0000283141798077723940000
FN : Point ID = 31, Mean = 0,0009264516263013526000000, var = 0,0000274294295893401660000
FN : Point ID = 32, Mean = 0,0008978125129942782000000, var = 0,0000265979954528442200000
FN : Point ID = 33, Mean = 0,0009327272862675740000000, var = 0,0000259294140044456230000
FN : Point ID = 34, Mean = 0,0010005882498465807000000, var = 0,0000254688234110803080000
FN : Point ID = 35, Mean = 0,0009722857284359634000000, var = 0,0000247686607117804740000
FN : Point ID = 36, Mean = 0,0009452777915349644000000, var = 0,0000241061723616237080000
FN : Point ID = 37, Mean = 0,0009197297431151005000000, var = 0,0000234781514896989160000
FN : Point ID = 38, Mean = 0,0008957894867298340000000, var = 0,0000228817719516096840000
FN : Point ID = 39, Mean = 0,0009253846288610918000000, var = 0,0000224172532583980130000
FN : Point ID = 40, Mean = 0,0009022500131395646000000, var = 0,0000218776951342778070000
FN : Point ID = 41, Mean = 0,0008802439152581118000000, var = 0,0000213634635476868000000
FN : Point ID = 42, Mean = 0,0008592857267995852000000, var = 0,0000208728187258962720000
FN : Point ID = 43, Mean = 0,0008886046640217564000000, var = 0,0000205115447484425020000
FN : Point ID = 44, Mean = 0,0009359091044329530000000, var = 0,0000202222561730279300000
FN : Point ID = 45, Mean = 0,0009151111243344429000000, var = 0,0000197919051654709500000
FN : Point ID = 46, Mean = 0,0009595652316879157000000, var = 0,0000195596695566583740000
FN : Point ID = 47, Mean = 0,0009393617161301936000000, var = 0,0000191624933867997320000
FN : Point ID = 48, Mean = 0,0009200000137207098000000, var = 0,0000187811001740427300000
FN : Point ID = 49, Mean = 0,0009679591982644432000000, var = 0,0000185938715202550350000
FN : Point ID = 50, Mean = 0,0009488000143086537000000, var = 0,0000182401787320291240000
