BuildTree = 1,620000
FN : Dist = 1, Mean = 0,0022600000072270630000000, var = 0,0000226323991798818370000
FN : Dist = 2, Mean = 0,0028100000141421330000000, var = 0,0000294738999628871520000
FN : Dist = 3, Mean = 0,0032200000373025736000000, var = 0,0003410582798255500000000
FN : Dist = 4, Mean = 0,0036850000260164960000000, var = 0,0003085007819453650000000
FN : Dist = 5, Mean = 0,0029540000210981814000000, var = 0,0002489438895856088500000
FN : Dist = 6, Mean = 0,0028283333597937600000000, var = 0,0002095188686311723000000
FN : Dist = 7, Mean = 0,0026228571663211497000000, var = 0,0001805406244837303000000
FN : Dist = 8, Mean = 0,0025037500227335840000000, var = 0,0001589599895209135500000
FN : Dist = 9, Mean = 0,0024277777999587770000000, var = 0,0001422270093765289000000
FN : Dist = 10, Mean = 0,0023640000215964393000000, var = 0,0001288015068967761300000
FN : Dist = 11, Mean = 0,0021509091106285765000000, var = 0,0001175481381787899800000
FN : Dist = 12, Mean = 0,0020925000203230110000000, var = 0,0001084139461861596800000
FN : Dist = 13, Mean = 0,0020923077118977043000000, var = 0,0001010207123206036300000
FN : Dist = 14, Mean = 0,0019792857339572425000000, var = 0,0000940231444503154800000
FN : Dist = 15, Mean = 0,0019026666864907990000000, var = 0,0000879598615240559400000
FN : Dist = 16, Mean = 0,0019137500206124968000000, var = 0,0000831188128008259100000
FN : Dist = 17, Mean = 0,0018805882553159096000000, var = 0,0000785110367050606800000
FN : Dist = 18, Mean = 0,0018922222436069407000000, var = 0,0000747461634144013000000
FN : Dist = 19, Mean = 0,0018594737046422730000000, var = 0,0000710492013206600300000
FN : Dist = 20, Mean = 0,0017695000195526518000000, var = 0,0000676533712710502800000
FN : Dist = 21, Mean = 0,0017180952578893906000000, var = 0,0000645500549672897600000
FN : Dist = 22, Mean = 0,0016763636564560743000000, var = 0,0000617261699857169600000
FN : Dist = 23, Mean = 0,0016413043681835836000000, var = 0,0000591552518071249500000
FN : Dist = 24, Mean = 0,0016116666874343840000000, var = 0,0000568125318402284000000
FN : Dist = 25, Mean = 0,0015792000210843981000000, var = 0,0000546373285979879200000
FN : Dist = 26, Mean = 0,0015742307900486945000000, var = 0,0000527406448335860900000
FN : Dist = 27, Mean = 0,0015348148356295293000000, var = 0,0000508547150068103960000
