BuildTree = 1,360000
FN : Dist = 1, Mean = 0,0015500000084284692000000, var = 0,0000086874999237479570000
FN : Dist = 2, Mean = 0,0016750000184401870000000, var = 0,0000088693750915210950000
FN : Dist = 3, Mean = 0,0013266666866062830000000, var = 0,0000066399556416955640000
FN : Dist = 4, Mean = 0,0015250000270316377000000, var = 0,0000078143751997721840000
FN : Dist = 5, Mean = 0,0012300000221002847000000, var = 0,0000066091001723581310000
FN : Dist = 6, Mean = 0,0019116667167205985000000, var = 0,0001434138767741888500000
FN : Dist = 7, Mean = 0,0018285714716850116000000, var = 0,0001236049090078206800000
FN : Dist = 8, Mean = 0,0020237500443181490000000, var = 0,0001513106976245097100000
FN : Dist = 9, Mean = 0,0019988889297625670000000, var = 0,0001353588980580539000000
FN : Dist = 10, Mean = 0,0019710000384366140000000, var = 0,0001225601683767425300000
FN : Dist = 11, Mean = 0,0017927273077128286000000, var = 0,0001117370465532309000000
FN : Dist = 12, Mean = 0,0017350000339016940000000, var = 0,0001027297828343647500000
FN : Dist = 13, Mean = 0,0017369231098116591000000, var = 0,0000953923362423392400000
FN : Dist = 14, Mean = 0,0016528571751301310000000, var = 0,0000887323557165286100000
FN : Dist = 15, Mean = 0,0016020000320859254000000, var = 0,0000829929356301611800000
FN : Dist = 16, Mean = 0,0016337500330701005000000, var = 0,0000784983668722944200000
FN : Dist = 17, Mean = 0,0016205882662496366000000, var = 0,0000741789934711252000000
FN : Dist = 18, Mean = 0,0016438889200799168000000, var = 0,0000706259679453381100000
FN : Dist = 19, Mean = 0,0016189473986282553000000, var = 0,0000671053302231321800000
FN : Dist = 20, Mean = 0,0015405000288155862000000, var = 0,0000638693645189822800000
FN : Dist = 21, Mean = 0,0014971428855122732000000, var = 0,0000609157106675113200000
FN : Dist = 22, Mean = 0,0014636363918279214000000, var = 0,0000582432274837604400000
FN : Dist = 23, Mean = 0,0014356522021167304000000, var = 0,0000558058635170874900000
FN : Dist = 24, Mean = 0,0014100000282148055000000, var = 0,0000535719039918024550000
FN : Dist = 25, Mean = 0,0013840000277850777000000, var = 0,0000515093478348604400000
FN : Dist = 26, Mean = 0,0013850000266505118000000, var = 0,0000497198556096165050000
FN : Dist = 27, Mean = 0,0013525926190238722000000, var = 0,0000479327190529803600000
FN : Dist = 28, Mean = 0,0013803571701282635000000, var = 0,0000466364033176576650000
FN : Dist = 29, Mean = 0,0013403448542772696000000, var = 0,0000450803756232837900000
FN : Dist = 30, Mean = 0,0012966666925155247000000, var = 0,0000436339921085666000000
FN : Dist = 31, Mean = 0,0012938709929209923000000, var = 0,0000423494494216183260000
FN : Dist = 32, Mean = 0,0012737500251387246000000, var = 0,0000410750639583127700000
FN : Dist = 33, Mean = 0,0012706060855734078000000, var = 0,0000399367752919536600000
FN : Dist = 34, Mean = 0,0012452941424528356000000, var = 0,0000387974807020424560000
FN : Dist = 35, Mean = 0,0012588571670265603000000, var = 0,0000379535671713235700000
FN : Dist = 36, Mean = 0,0012586111349972067000000, var = 0,0000370156229813430800000
FN : Dist = 37, Mean = 0,0012272973206661944000000, var = 0,0000360529331501136850000
FN : Dist = 38, Mean = 0,0011978947597335240000000, var = 0,0000351387349592676800000
FN : Dist = 39, Mean = 0,0011692307916326592000000, var = 0,0000342708506114106000000
FN : Dist = 40, Mean = 0,0011407500218774658000000, var = 0,0000334464418617779450000
FN : Dist = 41, Mean = 0,0011165853873712987000000, var = 0,0000326571419259257200000
FN : Dist = 42, Mean = 0,0010971428784874400000000, var = 0,0000319019941474745600000
FN : Dist = 43, Mean = 0,0010767442071377192000000, var = 0,0000311815544481916200000
FN : Dist = 44, Mean = 0,0010538636570510624000000, var = 0,0000304968736433905860000
FN : Dist = 45, Mean = 0,0010657777983126128000000, var = 0,0000299623421111472200000
FN : Dist = 46, Mean = 0,0010865217599380032000000, var = 0,0000295477335011776980000
FN : Dist = 47, Mean = 0,0011044681059850499000000, var = 0,0000291199395644135960000
FN : Dist = 48, Mean = 0,0011252083547393947000000, var = 0,0000287578665885867600000
FN : Dist = 49, Mean = 0,0011167347153449164000000, var = 0,0000282018852238673900000
FN : Dist = 50, Mean = 0,0011334000214701520000000, var = 0,0000278368064122823850000
FN : Dist = 51, Mean = 0,0011162745310952340000000, var = 0,0000273102076629107000000
FN : Dist = 52, Mean = 0,0010955769439953235000000, var = 0,0000268075977190123000000
FN : Dist = 53, Mean = 0,0011120754928231450000000, var = 0,0000264912145423642960000
FN : Dist = 54, Mean = 0,0010968518728407583000000, var = 0,0000260185845167162660000
FN : Dist = 55, Mean = 0,0011103636571841145000000, var = 0,0000257014580349714960000
FN : Dist = 56, Mean = 0,0011282143070171255000000, var = 0,0000254567771644188430000
FN : Dist = 57, Mean = 0,0011456140568847522000000, var = 0,0000252198509450512500000
FN : Dist = 58, Mean = 0,0011375862286538527000000, var = 0,0000248103821119034600000
FN : Dist = 59, Mean = 0,0011322034115832046000000, var = 0,0000244218460010167300000
FN : Dist = 60, Mean = 0,0011286666884940738000000, var = 0,0000240544465656616640000
FN : Dist = 61, Mean = 0,0011231147759349742000000, var = 0,0000236899263751456940000
FN : Dist = 62, Mean = 0,0011116129250055360000000, var = 0,0000233239957974763960000
FN : Dist = 63, Mean = 0,0011150793866106560000000, var = 0,0000230231075450853800000
FN : Dist = 64, Mean = 0,0011123437717651542000000, var = 0,0000227009742085555000000
FN : Dist = 65, Mean = 0,0010992307908510646000000, var = 0,0000223660009613053450000
FN : Dist = 66, Mean = 0,0010983333549335260000000, var = 0,0000220698775406459320000
FN : Dist = 67, Mean = 0,0010867164394151030000000, var = 0,0000217538250547213470000
FN : Dist = 68, Mean = 0,0010760294332045734000000, var = 0,0000214476033682505100000
FN : Dist = 69, Mean = 0,0010904348043023029000000, var = 0,0000213106636032164900000
FN : Dist = 70, Mean = 0,0011005714500455985000000, var = 0,0000211256011266277100000
FN : Dist = 71, Mean = 0,0011102817114442586000000, var = 0,0000209443182560029260000
FN : Dist = 72, Mean = 0,0011190277988013500000000, var = 0,0000207606949131895900000
FN : Dist = 73, Mean = 0,0011190411169241400000000, var = 0,0000205196662296802580000
FN : Dist = 74, Mean = 0,0011306756967835983000000, var = 0,0000203830603836551760000
FN : Dist = 75, Mean = 0,0011421333545198044000000, var = 0,0000202493994815503230000
FN : Dist = 76, Mean = 0,0011534210739314165000000, var = 0,0000201214633326286080000
FN : Dist = 77, Mean = 0,0011409091120495086000000, var = 0,0000198743018072268740000
FN : Dist = 78, Mean = 0,0011438461748333887000000, var = 0,0000196782839610967120000
FN : Dist = 79, Mean = 0,0011531645779297510000000, var = 0,0000195451495174281730000
FN : Dist = 80, Mean = 0,0011447500209615100000000, var = 0,0000193147987258581800000
FN : Dist = 81, Mean = 0,0011370370580159404000000, var = 0,0000190901110125184650000
FN : Dist = 82, Mean = 0,0011342683137343380000000, var = 0,0000188850220650626300000
FN : Dist = 83, Mean = 0,0011351807438347667000000, var = 0,0000187022093441097740000
FN : Dist = 84, Mean = 0,0011302381161727854000000, var = 0,0000184989916498314180000
FN : Dist = 85, Mean = 0,0011352941385360763000000, var = 0,0000183525202482996740000
FN : Dist = 86, Mean = 0,0011222093229772262000000, var = 0,0000181537870201958680000
FN : Dist = 87, Mean = 0,0011174712850358980000000, var = 0,0000179625235316806350000
FN : Dist = 88, Mean = 0,0011251136569427962000000, var = 0,0000178517341199018130000
FN : Dist = 89, Mean = 0,0011174157509198307000000, var = 0,0000176625068467182530000
FN : Dist = 90, Mean = 0,0011328889097785577000000, var = 0,0000176667861469073850000
FN : Dist = 91, Mean = 0,0011320879331221906000000, var = 0,0000175076088769358700000
FN : Dist = 92, Mean = 0,0011410869775800560000000, var = 0,0000174274869136693040000
FN : Dist = 93, Mean = 0,0011318279779641340000000, var = 0,0000172505795057714740000
FN : Dist = 94, Mean = 0,0011323404464340630000000, var = 0,0000171050403185293140000
FN : Dist = 95, Mean = 0,0011232631787118552000000, var = 0,0000169354388767894020000
FN : Dist = 96, Mean = 0,0011168750208040972000000, var = 0,0000167707163273199880000
FN : Dist = 97, Mean = 0,0011210309485448812000000, var = 0,0000166583422876503230000
FN : Dist = 98, Mean = 0,0011138775717224735000000, var = 0,0000164984615466803600000
FN : Dist = 99, Mean = 0,0011181818388256650000000, var = 0,0000163918927056126300000
FN : Dist = 100, Mean = 0,0011195000204374083000000, var = 0,0000162682208008703500000
