BuildTree = 1,325000
FN : Dist = 1, Mean = 0,0016700000211130827000000, var = 0,0000090611000493435120000
FN : Dist = 2, Mean = 0,0019500000064726919000000, var = 0,0000109174999178899360000
FN : Dist = 3, Mean = 0,0015533333450245361000000, var = 0,0000081004888532139200000
FN : Dist = 4, Mean = 0,0025049999990733340000000, var = 0,0001739149688107699500000
FN : Dist = 5, Mean = 0,0020119999996386470000000, var = 0,0001401118510471151300000
FN : Dist = 6, Mean = 0,0021966666722437367000000, var = 0,0001369479850805424000000
FN : Dist = 7, Mean = 0,0020685714348551950000000, var = 0,0001180895804136107000000
FN : Dist = 8, Mean = 0,0019975000071281103000000, var = 0,0001040574909076771500000
FN : Dist = 9, Mean = 0,0019633333404393246000000, var = 0,0000932797641437953000000
FN : Dist = 10, Mean = 0,0019300000075018033000000, var = 0,0000846110977405432500000
FN : Dist = 11, Mean = 0,0017563636432698167000000, var = 0,0000772224574523215300000
FN : Dist = 12, Mean = 0,0016958333418976206000000, var = 0,0000710499807650630800000
FN : Dist = 13, Mean = 0,0016930769314058125000000, var = 0,0000660957964956611000000
FN : Dist = 14, Mean = 0,0016100000093657789000000, var = 0,0000615150412532175100000
FN : Dist = 15, Mean = 0,0015593333439125369000000, var = 0,0000575784780644398250000
FN : Dist = 16, Mean = 0,0015893750115355942000000, var = 0,0000546282607265643600000
FN : Dist = 17, Mean = 0,0015700000110904083000000, var = 0,0000516568634041628300000
FN : Dist = 18, Mean = 0,0015916666784323752000000, var = 0,0000493171515614346700000
FN : Dist = 19, Mean = 0,0015668421177389591000000, var = 0,0000469055309857549440000
FN : Dist = 20, Mean = 0,0014910000119707548000000, var = 0,0000446719179118321960000
FN : Dist = 21, Mean = 0,0014490476314399747000000, var = 0,0000426264504394321400000
FN : Dist = 22, Mean = 0,0014150000126524405000000, var = 0,0000407736831056488300000
FN : Dist = 23, Mean = 0,0013882608825604066000000, var = 0,0000390931656011379000000
FN : Dist = 24, Mean = 0,0013650000135142666000000, var = 0,0000375534407705122160000
FN : Dist = 25, Mean = 0,0013396000138483943000000, var = 0,0000361242709824147300000
FN : Dist = 26, Mean = 0,0013396153978716870000000, var = 0,0000349011990258112160000
FN : Dist = 27, Mean = 0,0013081481616892335000000, var = 0,0000336591179986670800000
FN : Dist = 28, Mean = 0,0013389285864624462000000, var = 0,0000328911981100383500000
FN : Dist = 29, Mean = 0,0013003448424619977000000, var = 0,0000318059991657138000000
FN : Dist = 30, Mean = 0,0012580000144274284000000, var = 0,0000307987686429964000000
FN : Dist = 31, Mean = 0,0012561290468569965000000, var = 0,0000299214940275882040000
FN : Dist = 32, Mean = 0,0012368750148380060000000, var = 0,0000290326395915366100000
FN : Dist = 33, Mean = 0,0012336363784164529000000, var = 0,0000282548073664332240000
FN : Dist = 34, Mean = 0,0012085294266409405000000, var = 0,0000274579854695483730000
FN : Dist = 35, Mean = 0,0012077143006359360000000, var = 0,0000267742827629170900000
FN : Dist = 36, Mean = 0,0012069444595060000000000, var = 0,0000261285623205503600000
FN : Dist = 37, Mean = 0,0011767567715267777000000, var = 0,0000254574051484522500000
FN : Dist = 38, Mean = 0,0011481579092306722000000, var = 0,0000248198908095997480000
FN : Dist = 39, Mean = 0,0011205128347202657000000, var = 0,0000242141940893657530000
FN : Dist = 40, Mean = 0,0010930000138760078000000, var = 0,0000236388504943057200000
FN : Dist = 41, Mean = 0,0010697561112607307000000, var = 0,0000230868409111716340000
FN : Dist = 42, Mean = 0,0010509523946426011000000, var = 0,0000225578795649346400000
FN : Dist = 43, Mean = 0,0010311628042904356000000, var = 0,0000220534470163989900000
FN : Dist = 44, Mean = 0,0010095454679156484000000, var = 0,0000215739993358863600000
FN : Dist = 45, Mean = 0,0010208889020141213000000, var = 0,0000212244520959010550000
FN : Dist = 46, Mean = 0,0010408695784913700000000, var = 0,0000209809379409989360000
FN : Dist = 47, Mean = 0,0010574468217066865000000, var = 0,0000207196781662180020000
FN : Dist = 48, Mean = 0,0010764583467729000000000, var = 0,0000205039453828538830000
FN : Dist = 49, Mean = 0,0010681632788832850000000, var = 0,0000201149452084968600000
FN : Dist = 50, Mean = 0,0010840000136289746000000, var = 0,0000198945436142217700000
FN : Dist = 51, Mean = 0,0010676470724180999000000, var = 0,0000195222862427943740000
FN : Dist = 52, Mean = 0,0010476923210528464000000, var = 0,0000191677250738431300000
FN : Dist = 53, Mean = 0,0010624528435094036000000, var = 0,0000189732690951537860000
FN : Dist = 54, Mean = 0,0010479629762832903000000, var = 0,0000186378843863282540000
FN : Dist = 55, Mean = 0,0010607272858562118000000, var = 0,0000184421300337601850000
FN : Dist = 56, Mean = 0,0010766071561374702000000, var = 0,0000182928810094340230000
FN : Dist = 57, Mean = 0,0010931579083645422000000, var = 0,0000181630756688066300000
FN : Dist = 58, Mean = 0,0010853448413424836000000, var = 0,0000178728883569460330000
FN : Dist = 59, Mean = 0,0010801695054594301000000, var = 0,0000175981488134019660000
FN : Dist = 60, Mean = 0,0010771666808286682000000, var = 0,0000173422116688767360000
FN : Dist = 61, Mean = 0,0010719672273882650000000, var = 0,0000170848204230871340000
FN : Dist = 62, Mean = 0,0010611290465890160000000, var = 0,0000168241661754229370000
FN : Dist = 63, Mean = 0,0010638095378979213000000, var = 0,0000166194201201295430000
FN : Dist = 64, Mean = 0,0010610937643650686000000, var = 0,0000163932985223249830000
FN : Dist = 65, Mean = 0,0010486153989421347000000, var = 0,0000161542516522982550000
FN : Dist = 66, Mean = 0,0010474242569674089000000, var = 0,0000159475991554406600000
FN : Dist = 67, Mean = 0,0010364179249936298000000, var = 0,0000157219570516998900000
FN : Dist = 68, Mean = 0,0010261764851576813000000, var = 0,0000155034321776867550000
FN : Dist = 69, Mean = 0,0010375362461891727000000, var = 0,0000154007646853206340000
FN : Dist = 70, Mean = 0,0010464285856578500000000, var = 0,0000152785584192347640000
FN : Dist = 71, Mean = 0,0010561971970125508000000, var = 0,0000151690951458864510000
FN : Dist = 72, Mean = 0,0010654166804225600000000, var = 0,0000150641926336400810000
FN : Dist = 73, Mean = 0,0010658904248433928000000, var = 0,0000148988088952038270000
FN : Dist = 74, Mean = 0,0010775675814806460000000, var = 0,0000148280370884218000000
FN : Dist = 75, Mean = 0,0010897333474364133000000, var = 0,0000147712810314334470000
FN : Dist = 76, Mean = 0,0011014473826875665000000, var = 0,0000147129976809993650000
FN : Dist = 77, Mean = 0,0010894805336727870000000, var = 0,0000145347202884649500000
FN : Dist = 78, Mean = 0,0010925641166231333000000, var = 0,0000144047650019972080000
FN : Dist = 79, Mean = 0,0011022784950983817000000, var = 0,0000143358680129516440000
FN : Dist = 80, Mean = 0,0010945000141946366000000, var = 0,0000141688195399396050000
FN : Dist = 81, Mean = 0,0010874074217029790000000, var = 0,0000140069276394968790000
FN : Dist = 82, Mean = 0,0010853658682132912000000, var = 0,0000138641758832793150000
FN : Dist = 83, Mean = 0,0010859036290490752000000, var = 0,0000137365962734735000000
FN : Dist = 84, Mean = 0,0010807143003884925000000, var = 0,0000135889611984687800000
FN : Dist = 85, Mean = 0,0010849411909550648000000, var = 0,0000134904318611673240000
FN : Dist = 86, Mean = 0,0010726744329372724000000, var = 0,0000133466949814833480000
FN : Dist = 87, Mean = 0,0010679310489039140000000, var = 0,0000132086035766727690000
