BuildTree = 1,313000
FN : Dist = 1, Mean = 0,0016800000192597508000000, var = 0,0000102776001319825780000
FN : Dist = 2, Mean = 0,0016800000204239040000000, var = 0,0000087176001219056520000
FN : Dist = 3, Mean = 0,0012666666872488957000000, var = 0,0000063488889884659310000
FN : Dist = 4, Mean = 0,0014850000283331611000000, var = 0,0000077147752266468680000
FN : Dist = 5, Mean = 0,0011980000231415033000000, var = 0,0000065107961941399815000
FN : Dist = 6, Mean = 0,0013983333607514700000000, var = 0,0000079863308097750970000
FN : Dist = 7, Mean = 0,0014014285965822638000000, var = 0,0000075831410437357940000
FN : Dist = 8, Mean = 0,0014312500247615390000000, var = 0,0000074677736591438365000
FN : Dist = 9, Mean = 0,0014755555797213067000000, var = 0,0000075494026861760160000
FN : Dist = 10, Mean = 0,0015070000230334700000000, var = 0,0000075719512060027460000
FN : Dist = 11, Mean = 0,0013709091118917886000000, var = 0,0000070696993664963660000
FN : Dist = 12, Mean = 0,0013508333538387281000000, var = 0,0000067644161533903750000
FN : Dist = 13, Mean = 0,0013869230973068624000000, var = 0,0000068879830221925395000
FN : Dist = 14, Mean = 0,0013278571633522265000000, var = 0,0000065003670095070870000
FN : Dist = 15, Mean = 0,0013006666880100966000000, var = 0,0000062195997267703930000
FN : Dist = 16, Mean = 0,0014893750228657154000000, var = 0,0000367861375086792900000
FN : Dist = 17, Mean = 0,0014782353158464983000000, var = 0,0000348730560852328000000
FN : Dist = 18, Mean = 0,0015083333556281610000000, var = 0,0000335043753732363300000
FN : Dist = 19, Mean = 0,0014894737064299222000000, var = 0,0000319235737658610800000
FN : Dist = 20, Mean = 0,0014170000212034210000000, var = 0,0000304291113437064200000
FN : Dist = 21, Mean = 0,0013804762116411612000000, var = 0,0000290623810559556570000
FN : Dist = 22, Mean = 0,0013554545663381841000000, var = 0,0000278636523821941620000
FN : Dist = 23, Mean = 0,0013321739342569820000000, var = 0,0000267409651466311450000
FN : Dist = 24, Mean = 0,0013133333548224376000000, var = 0,0000257376558530400800000
FN : Dist = 25, Mean = 0,0012908000214025379000000, var = 0,0000247782356476875900000
FN : Dist = 26, Mean = 0,0012969230980021307000000, var = 0,0000240256831197365460000
FN : Dist = 27, Mean = 0,0012685185395336400000000, var = 0,0000231867869651257840000
FN : Dist = 28, Mean = 0,0013117857357220991000000, var = 0,0000229681470860715070000
FN : Dist = 29, Mean = 0,0012741379520920073000000, var = 0,0000222217452132235030000
FN : Dist = 30, Mean = 0,0012976666856945181000000, var = 0,0000332803942607955000000
FN : Dist = 31, Mean = 0,0013058064704866060000000, var = 0,0000324593853598100300000
FN : Dist = 32, Mean = 0,0012850000189428101000000, var = 0,0000314931497304407700000
FN : Dist = 33, Mean = 0,0012806060793456818000000, var = 0,0000306400478572297740000
FN : Dist = 34, Mean = 0,0012541176657781333000000, var = 0,0000297742474994079850000
FN : Dist = 35, Mean = 0,0012534285900515638000000, var = 0,0000290354880025144150000
FN : Dist = 36, Mean = 0,0012536111296180428000000, var = 0,0000283415145036502200000
FN : Dist = 37, Mean = 0,0012227027208506558000000, var = 0,0000276125654417405850000
FN : Dist = 38, Mean = 0,0011934210704394469000000, var = 0,0000269202196556627140000
FN : Dist = 39, Mean = 0,0011651282225890705000000, var = 0,0000262624760525087100000
FN : Dist = 40, Mean = 0,0011365000170480925000000, var = 0,0000256383675431900100000
FN : Dist = 41, Mean = 0,0011129268460975188000000, var = 0,0000250387107448376920000
FN : Dist = 42, Mean = 0,0010940476358380347000000, var = 0,0000244661548500265720000
FN : Dist = 43, Mean = 0,0010737209468755092000000, var = 0,0000239189836389871400000
FN : Dist = 44, Mean = 0,0010525000163364563000000, var = 0,0000234020162919633340000
FN : Dist = 45, Mean = 0,0010675555718803985000000, var = 0,0000230492138471252800000
FN : Dist = 46, Mean = 0,0010923913215114937000000, var = 0,0000228355941220547260000
FN : Dist = 47, Mean = 0,0011129787410213117000000, var = 0,0000225848952348814780000
FN : Dist = 48, Mean = 0,0011358333516788360000000, var = 0,0000223811325066885720000
FN : Dist = 49, Mean = 0,0011277551204441306000000, var = 0,0000219567397303369000000
FN : Dist = 50, Mean = 0,0011464000187814236000000, var = 0,0000217381669227542180000
FN : Dist = 51, Mean = 0,0011292157049391273000000, var = 0,0000213321267216025160000
FN : Dist = 52, Mean = 0,0011082692491114498000000, var = 0,0000209450084316250400000
FN : Dist = 53, Mean = 0,0011284905846037393000000, var = 0,0000207908485613786000000
FN : Dist = 54, Mean = 0,0011148148332075732000000, var = 0,0000204360767153185820000
FN : Dist = 55, Mean = 0,0011309091094881295000000, var = 0,0000202541354422616270000
FN : Dist = 56, Mean = 0,0011491071619093417000000, var = 0,0000201122312612322340000
FN : Dist = 57, Mean = 0,0011638596683348480000000, var = 0,0000199405183583854770000
FN : Dist = 58, Mean = 0,0011543103640473545000000, var = 0,0000196204985865874570000
FN : Dist = 59, Mean = 0,0011474576464980462000000, var = 0,0000193172392264789530000
FN : Dist = 60, Mean = 0,0011430000195202107000000, var = 0,0000190302175972156460000
FN : Dist = 61, Mean = 0,0011408196916597604000000, var = 0,0000187793500800135260000
FN : Dist = 62, Mean = 0,0011288709872620060000000, var = 0,0000184929083367519540000
FN : Dist = 63, Mean = 0,0011301587496344591000000, var = 0,0000182586141966906900000
FN : Dist = 64, Mean = 0,0011257812695657776000000, var = 0,0000180043352658641120000
FN : Dist = 65, Mean = 0,0011120000194328335000000, var = 0,0000177422251709179330000
FN : Dist = 66, Mean = 0,0011095454740500303000000, var = 0,0000175105754935563600000
FN : Dist = 67, Mean = 0,0010976119597317345000000, var = 0,0000172633076740129660000
FN : Dist = 68, Mean = 0,0010866176664507400000000, var = 0,0000170229385050941350000
FN : Dist = 69, Mean = 0,0010975362511817365000000, var = 0,0000169036750374719300000
FN : Dist = 70, Mean = 0,0011064285904036036000000, var = 0,0000167693871931482620000
FN : Dist = 71, Mean = 0,0011159155117085490000000, var = 0,0000166483945339457200000
FN : Dist = 72, Mean = 0,0011283333520663696000000, var = 0,0000165943638406530200000
FN : Dist = 73, Mean = 0,0011280822105169909000000, var = 0,0000164108551796181980000
FN : Dist = 74, Mean = 0,0011390540729169860000000, var = 0,0000163202585229101200000
FN : Dist = 75, Mean = 0,0011522666859595727000000, var = 0,0000162629481623476200000
FN : Dist = 76, Mean = 0,0011656579144121344000000, var = 0,0000162137416468103060000
FN : Dist = 77, Mean = 0,0011531169026600220000000, var = 0,0000160174642861975780000
FN : Dist = 78, Mean = 0,0011566666860987121000000, var = 0,0000158780196342687520000
FN : Dist = 79, Mean = 0,0011664557156206073000000, var = 0,0000158017861508330370000
FN : Dist = 80, Mean = 0,0011580000194226158000000, var = 0,0000156182859795821020000
FN : Dist = 81, Mean = 0,0011500000194243996000000, var = 0,0000154398456594331680000
FN : Dist = 82, Mean = 0,0011471951414870735000000, var = 0,0000152791872368483480000
FN : Dist = 83, Mean = 0,0011473494170918073000000, var = 0,0000151369628368679370000
FN : Dist = 84, Mean = 0,0011415476385930863000000, var = 0,0000149738928270813200000
FN : Dist = 85, Mean = 0,0011454117841169457000000, var = 0,0000148609730503897660000
FN : Dist = 86, Mean = 0,0011323256005917480000000, var = 0,0000147029550421083780000
FN : Dist = 87, Mean = 0,0011273563410631841000000, var = 0,0000145513665604868950000
FN : Dist = 88, Mean = 0,0011334091098317664000000, var = 0,0000144653838181093070000
FN : Dist = 89, Mean = 0,0011247191200257814000000, var = 0,0000143138833341374170000
FN : Dist = 90, Mean = 0,0011346666857134550000000, var = 0,0000142736426566715800000
FN : Dist = 91, Mean = 0,0011320879312160497000000, var = 0,0000141405747528752520000
FN : Dist = 92, Mean = 0,0011403261061059310000000, var = 0,0000140878085832513420000
FN : Dist = 93, Mean = 0,0011309677610168815000000, var = 0,0000139467184126500020000
FN : Dist = 94, Mean = 0,0011315957636899375000000, var = 0,0000138366187248768640000
FN : Dist = 95, Mean = 0,0011225263347334570000000, var = 0,0000137011978233426850000
FN : Dist = 96, Mean = 0,0011160416856243198000000, var = 0,0000135698676605737940000
FN : Dist = 97, Mean = 0,0011200000188846294000000, var = 0,0000134882804088734110000
FN : Dist = 98, Mean = 0,0011126530800984070000000, var = 0,0000133611868358126340000
FN : Dist = 99, Mean = 0,0011167676955569686000000, var = 0,0000132835370243201300000
FN : Dist = 100, Mean = 0,0011177000186755322000000, var = 0,0000131874467076445680000
