BuildTree = 1,604000
FN : Dist = 1, Mean = 0,0017800000449642540000000, var = 0,0000158316013794035760000
FN : Dist = 2, Mean = 0,0024000000295927746000000, var = 0,0000240100007243548770000
FN : Dist = 3, Mean = 0,0018700000244037558000000, var = 0,0000174131004965373830000
FN : Dist = 4, Mean = 0,0020025000246823767000000, var = 0,0000165224941662292270000
FN : Dist = 5, Mean = 0,0016100000201258809000000, var = 0,0000138419003480202220000
FN : Dist = 6, Mean = 0,0017816666886210442000000, var = 0,0000150106642571838670000
FN : Dist = 7, Mean = 0,0017400000207791370000000, var = 0,0000136895431880995910000
FN : Dist = 8, Mean = 0,0017587500225636178000000, var = 0,0000131305487662937770000
FN : Dist = 9, Mean = 0,0019344444636307243000000, var = 0,0000289568132046392700000
FN : Dist = 10, Mean = 0,0019100000174948947000000, var = 0,0000268198996654013800000
FN : Dist = 11, Mean = 0,0017372727432203563000000, var = 0,0000246809740814152100000
FN : Dist = 12, Mean = 0,0016758333495818078000000, var = 0,0000228874157038846800000
FN : Dist = 13, Mean = 0,0016715384776202532000000, var = 0,0000216205743180688900000
FN : Dist = 14, Mean = 0,0015878571593202651000000, var = 0,0000202165666186216560000
FN : Dist = 15, Mean = 0,0015353333505336195000000, var = 0,0000190207513585921200000
FN : Dist = 16, Mean = 0,0015637500178127084000000, var = 0,0000184409357695297000000
FN : Dist = 17, Mean = 0,0015582353121820180000000, var = 0,0000176760202654144840000
FN : Dist = 18, Mean = 0,0016077777963881899000000, var = 0,0000180639393396866580000
FN : Dist = 19, Mean = 0,0015857894927581871000000, var = 0,0000173194821221884020000
FN : Dist = 20, Mean = 0,0015090000182390213000000, var = 0,0000165679188608473840000
FN : Dist = 21, Mean = 0,0014685714469357793000000, var = 0,0000158709168767015750000
FN : Dist = 22, Mean = 0,0014363636548990722000000, var = 0,0000152404957470792570000
FN : Dist = 23, Mean = 0,0014091304538305848000000, var = 0,0000146721773945266320000
FN : Dist = 24, Mean = 0,0013862500192772132000000, var = 0,0000141578941689907500000
FN : Dist = 25, Mean = 0,0013608000191859902000000, var = 0,0000136674232641588040000
