BuildTree = 1,114000
FN : Dist = 1, Mean = 0,0018600000266451390000000, var = 0,0000096404003047947130000
FN : Dist = 2, Mean = 0,0021100000094156713000000, var = 0,0000118279000702178330000
FN : Dist = 3, Mean = 0,0016766666807234286000000, var = 0,0000088587889577077700000
FN : Dist = 4, Mean = 0,0019675000139977783000000, var = 0,0000116914438327544470000
FN : Dist = 5, Mean = 0,0015840000116731973000000, var = 0,0000099509440742379130000
FN : Dist = 6, Mean = 0,0017216666846070440000000, var = 0,0000107341973740121770000
FN : Dist = 7, Mean = 0,0016785714452687119000000, var = 0,0000099352552399720160000
FN : Dist = 8, Mean = 0,0016737500173621810000000, var = 0,0000095273110822642150000
FN : Dist = 9, Mean = 0,0019288889030253309000000, var = 0,0000732416093003451200000
FN : Dist = 10, Mean = 0,0018870000132592394000000, var = 0,0000664842304843825400000
FN : Dist = 11, Mean = 0,0017163636484606700000000, var = 0,0000607322772212579000000
FN : Dist = 12, Mean = 0,0017458333439814547000000, var = 0,0000655262317473973100000
FN : Dist = 13, Mean = 0,0017530769317482527000000, var = 0,0000612536435312393000000
FN : Dist = 14, Mean = 0,0016650000096498324000000, var = 0,0000570313456435284200000
FN : Dist = 15, Mean = 0,0016106666772781560000000, var = 0,0000533937521608189900000
FN : Dist = 16, Mean = 0,0016375000122206985000000, var = 0,0000507035930913351200000
FN : Dist = 17, Mean = 0,0016211764825343647000000, var = 0,0000479941391739986300000
FN : Dist = 18, Mean = 0,0016488889028551056000000, var = 0,0000459478315448530550000
FN : Dist = 19, Mean = 0,0016257894873055385000000, var = 0,0000437352291157877400000
FN : Dist = 20, Mean = 0,0015475000130827540000000, var = 0,0000416677432539759570000
FN : Dist = 21, Mean = 0,0015057142991350876000000, var = 0,0000397756811625316440000
FN : Dist = 22, Mean = 0,0014718181956876917000000, var = 0,0000380628417035103700000
FN : Dist = 23, Mean = 0,0014447826228570194000000, var = 0,0000365104288776205100000
FN : Dist = 24, Mean = 0,0014195833482275096000000, var = 0,0000350826994262472100000
FN : Dist = 25, Mean = 0,0013952000151854008000000, var = 0,0000337678165791566050000
FN : Dist = 26, Mean = 0,0013915384764550253000000, var = 0,0000326297741907730760000
FN : Dist = 27, Mean = 0,0013581481632880038000000, var = 0,0000314743221461340050000
FN : Dist = 28, Mean = 0,0013792857299475664000000, var = 0,0000306918563066153000000
FN : Dist = 29, Mean = 0,0013386207051045295000000, var = 0,0000296853357147549880000
FN : Dist = 30, Mean = 0,0012953333483310416000000, var = 0,0000287514445868171000000
FN : Dist = 31, Mean = 0,0012877419508708220000000, var = 0,0000279184946127396980000
FN : Dist = 32, Mean = 0,0012656250155487214000000, var = 0,0000270900680814433660000
FN : Dist = 33, Mean = 0,0012575757734576297000000, var = 0,0000263500180994676240000
FN : Dist = 34, Mean = 0,0012305882511838503000000, var = 0,0000256097699850418940000
FN : Dist = 35, Mean = 0,0012265714447213603000000, var = 0,0000249666651409033820000
FN : Dist = 36, Mean = 0,0012233333497230585000000, var = 0,0000243606775407474250000
FN : Dist = 37, Mean = 0,0011927027187649967000000, var = 0,0000237382708440846840000
FN : Dist = 38, Mean = 0,0011636842262784117000000, var = 0,0000231468914669741520000
FN : Dist = 39, Mean = 0,0011356410410744734000000, var = 0,0000225849346292672320000
FN : Dist = 40, Mean = 0,0011077500150713604000000, var = 0,0000220511397275171030000
FN : Dist = 41, Mean = 0,0010841463563293673000000, var = 0,0000215385289451213760000
FN : Dist = 42, Mean = 0,0010650000148286510000000, var = 0,0000210469652775079070000
FN : Dist = 43, Mean = 0,0010448837356349496000000, var = 0,0000205786829325577020000
FN : Dist = 44, Mean = 0,0010229545599114234000000, var = 0,0000201333365367730900000
FN : Dist = 45, Mean = 0,0010337777920326010000000, var = 0,0000198144144336484140000
