BuildTree = 1,733000
FN : Dist = 1, Mean = 0,0052899999660439790000000, var = 0,0006022458925929200000000
FN : Dist = 2, Mean = 0,0042599999846424900000000, var = 0,0003217423962577379600000
FN : Dist = 3, Mean = 0,0030699999968055638000000, var = 0,0002177650974709374400000
FN : Dist = 4, Mean = 0,0029750000024796465000000, var = 0,0001687493731955464500000
FN : Dist = 5, Mean = 0,0023880000023636970000000, var = 0,0001363854545577128600000
FN : Dist = 6, Mean = 0,0023600000129469360000000, var = 0,0001156670655802235600000
FN : Dist = 7, Mean = 0,0022600000093890620000000, var = 0,0001015266846340037800000
FN : Dist = 8, Mean = 0,0021562500101572368000000, var = 0,0000895368350009032900000
FN : Dist = 9, Mean = 0,0020977777875183772000000, var = 0,0000803304386820306500000
FN : Dist = 10, Mean = 0,0020470000087516380000000, var = 0,0000729287902602213900000
FN : Dist = 11, Mean = 0,0018618181898173960000000, var = 0,0000666427232972842800000
FN : Dist = 12, Mean = 0,0017941666761180385000000, var = 0,0000613834653656208300000
FN : Dist = 13, Mean = 0,0018015384715265380000000, var = 0,0000573852278553287600000
FN : Dist = 14, Mean = 0,0017142857252786469000000, var = 0,0000534497954130472800000
FN : Dist = 15, Mean = 0,0016586666789371520000000, var = 0,0000500834910932443700000
FN : Dist = 16, Mean = 0,0016806250134686707000000, var = 0,0000475798741962299900000
FN : Dist = 17, Mean = 0,0016600000129683929000000, var = 0,0000450432231405678800000
FN : Dist = 18, Mean = 0,0016816666810255912000000, var = 0,0000431147746543761500000
FN : Dist = 19, Mean = 0,0016547368563049915000000, var = 0,0000410428982893105550000
FN : Dist = 20, Mean = 0,0015740000135847367000000, var = 0,0000391165236927024600000
FN : Dist = 21, Mean = 0,0015285714425789635000000, var = 0,0000373453738594209400000
FN : Dist = 22, Mean = 0,0014922727416375313000000, var = 0,0000357417581971374900000
FN : Dist = 23, Mean = 0,0014639130582951982000000, var = 0,0000342852192122317800000
FN : Dist = 24, Mean = 0,0014408333487517667000000, var = 0,0000329673323964934250000
FN : Dist = 25, Mean = 0,0014148000159766524000000, var = 0,0000317331407316454360000
FN : Dist = 26, Mean = 0,0014161538616575015000000, var = 0,0000307098926801978900000
FN : Dist = 27, Mean = 0,0013840740896692430000000, var = 0,0000296321165256545900000
FN : Dist = 28, Mean = 0,0014085714450422010000000, var = 0,0000289587834865482220000
FN : Dist = 29, Mean = 0,0013668965679545213000000, var = 0,0000280143522581835360000
FN : Dist = 30, Mean = 0,0013226666824193672000000, var = 0,0000271385527168253450000
FN : Dist = 31, Mean = 0,0013158064674315673000000, var = 0,0000263657499917498960000
FN : Dist = 32, Mean = 0,0012937500159023330000000, var = 0,0000255893357797025500000
FN : Dist = 33, Mean = 0,0012866666827661296000000, var = 0,0000249032766175052640000
FN : Dist = 34, Mean = 0,0012591176631737172000000, var = 0,0000242066814296356750000
FN : Dist = 35, Mean = 0,0012551428736852748000000, var = 0,0000236031877003476940000
FN : Dist = 36, Mean = 0,0012522222385935797000000, var = 0,0000230408282629069830000
FN : Dist = 37, Mean = 0,0012210810971383407000000, var = 0,0000224554473522596850000
FN : Dist = 38, Mean = 0,0011918421210353508000000, var = 0,0000218987227990047470000
FN : Dist = 39, Mean = 0,0011633333487985416000000, var = 0,0000213699887694673000000
FN : Dist = 40, Mean = 0,0011350000151142013000000, var = 0,0000208677748844113600000
FN : Dist = 41, Mean = 0,0011109756246754310000000, var = 0,0000203850013751078850000
FN : Dist = 42, Mean = 0,0010916666815700452000000, var = 0,0000199227875897464280000
FN : Dist = 43, Mean = 0,0010711628054864272000000, var = 0,0000194819124959253400000
FN : Dist = 44, Mean = 0,0010486363781753672000000, var = 0,0000190626344016923230000
FN : Dist = 45, Mean = 0,0010600000143102888000000, var = 0,0000187755110114284330000
FN : Dist = 46, Mean = 0,0010808695799357298000000, var = 0,0000186065035023860200000
FN : Dist = 47, Mean = 0,0011161702275870645000000, var = 0,0000187162916318643000000
FN : Dist = 48, Mean = 0,0011414583492053982000000, var = 0,0000186306144742420440000
FN : Dist = 49, Mean = 0,0011332653221265622000000, var = 0,0000182848933567514860000
FN : Dist = 50, Mean = 0,0011512000163551420000000, var = 0,0000181351385060086300000
FN : Dist = 51, Mean = 0,0011335294280319895000000, var = 0,0000177988365104310300000
FN : Dist = 52, Mean = 0,0011123077082895458000000, var = 0,0000174800792391946280000
FN : Dist = 53, Mean = 0,0011267924688774039000000, var = 0,0000173243009867213340000
