BuildTree = 1,264000
FN : Dist = 1, Mean = 0,0017800000240094960000000, var = 0,0000089116002844102630000
FN : Dist = 2, Mean = 0,0021350000140955673000000, var = 0,0000130367751094895950000
FN : Dist = 3, Mean = 0,0020100000116508453000000, var = 0,0000132965667191776080000
FN : Dist = 4, Mean = 0,0032850000017788260000000, var = 0,0002444187676740966000000
FN : Dist = 5, Mean = 0,0026360000018030407000000, var = 0,0001972274981398809000000
FN : Dist = 6, Mean = 0,0028883333442111810000000, var = 0,0002068791939848435000000
FN : Dist = 7, Mean = 0,0026657142952483680000000, var = 0,0001782711074310311000000
FN : Dist = 8, Mean = 0,0025225000097998420000000, var = 0,0001568444913329429200000
FN : Dist = 9, Mean = 0,0024300000099982650000000, var = 0,0001402539867542759000000
FN : Dist = 10, Mean = 0,0023500000105705110000000, var = 0,0001269374980922534000000
FN : Dist = 11, Mean = 0,0021409091007345443000000, var = 0,0001158501428983517000000
FN : Dist = 12, Mean = 0,0020533333442290310000000, var = 0,0001065488206430383600000
FN : Dist = 13, Mean = 0,0020176923184548150000000, var = 0,0000988419932232300000000
FN : Dist = 14, Mean = 0,0019092857258095008000000, var = 0,0000919839124295550600000
FN : Dist = 15, Mean = 0,0018353333458459625000000, var = 0,0000860415503046425500000
FN : Dist = 16, Mean = 0,0018450000134907895000000, var = 0,0000812709738452678500000
FN : Dist = 17, Mean = 0,0018135294251773945000000, var = 0,0000767622864594013300000
FN : Dist = 18, Mean = 0,0018250000144406740000000, var = 0,0000730443739935624500000
FN : Dist = 19, Mean = 0,0017926315928343684000000, var = 0,0000694138394892707200000
FN : Dist = 20, Mean = 0,0017060000133351423000000, var = 0,0000660885630958418100000
FN : Dist = 21, Mean = 0,0016566666802724024000000, var = 0,0000630521213636355800000
FN : Dist = 22, Mean = 0,0016172727414364503000000, var = 0,0000602926099279924000000
FN : Dist = 23, Mean = 0,0015843478410565498000000, var = 0,0000577863629301433750000
FN : Dist = 24, Mean = 0,0015550000156508760000000, var = 0,0000554853075955641740000
FN : Dist = 25, Mean = 0,0015240000160876660000000, var = 0,0000533598232954144200000
FN : Dist = 26, Mean = 0,0015207692463613616000000, var = 0,0000515064910388700850000
FN : Dist = 27, Mean = 0,0014825926083829944000000, var = 0,0000496615481835231200000
FN : Dist = 28, Mean = 0,0015003571590308900000000, var = 0,0000482392849686933740000
FN : Dist = 29, Mean = 0,0014555172573229105000000, var = 0,0000466376758609787560000
FN : Dist = 30, Mean = 0,0014080000154596444000000, var = 0,0000451495354256569800000
FN : Dist = 31, Mean = 0,0013977419511385022000000, var = 0,0000437930911221702600000
FN : Dist = 32, Mean = 0,0013728125157285830000000, var = 0,0000424756978052971700000
FN : Dist = 33, Mean = 0,0013621212282768367000000, var = 0,0000412740192285125600000
FN : Dist = 34, Mean = 0,0013320588396848454000000, var = 0,0000400994423217348100000
FN : Dist = 35, Mean = 0,0013260000163489688000000, var = 0,0000390465806617264800000
FN : Dist = 36, Mean = 0,0013205555718418004000000, var = 0,0000380516881137183000000
FN : Dist = 37, Mean = 0,0012870270429758003000000, var = 0,0000370657231409569800000
FN : Dist = 38, Mean = 0,0012557894893382726000000, var = 0,0000361287818313869900000
FN : Dist = 39, Mean = 0,0012256410409911321000000, var = 0,0000352388292893704800000
FN : Dist = 40, Mean = 0,0011955000149901024000000, var = 0,0000343937793336640100000
FN : Dist = 41, Mean = 0,0011697561123476523000000, var = 0,0000335843531935611500000
FN : Dist = 42, Mean = 0,0011485714433226912000000, var = 0,0000328103070879165700000
FN : Dist = 43, Mean = 0,0011267442006866859000000, var = 0,0000320711448282948560000
FN : Dist = 44, Mean = 0,0011029545598483475000000, var = 0,0000313682636220239860000
FN : Dist = 45, Mean = 0,0011128889033829587000000, var = 0,0000308032557342133600000
FN : Dist = 46, Mean = 0,0011341304495252427000000, var = 0,0000303874434574216400000
FN : Dist = 47, Mean = 0,0011493617168657402000000, var = 0,0000299300311668529960000
FN : Dist = 48, Mean = 0,0011704166822407084000000, var = 0,0000295609578393578560000
FN : Dist = 49, Mean = 0,0011620408320105729000000, var = 0,0000289949669512743300000
FN : Dist = 50, Mean = 0,0011800000161631033000000, var = 0,0000286371997023702920000
FN : Dist = 51, Mean = 0,0011619608004020490000000, var = 0,0000280961213542489200000
FN : Dist = 52, Mean = 0,0011403846312000845000000, var = 0,0000275802918747668650000
FN : Dist = 53, Mean = 0,0011564151105637890000000, var = 0,0000272568548017378580000
FN : Dist = 54, Mean = 0,0011403703865491683000000, var = 0,0000267710366342328700000
FN : Dist = 55, Mean = 0,0011550909255377270000000, var = 0,0000264626738279540920000
FN : Dist = 56, Mean = 0,0011716071597766130000000, var = 0,0000261921578897071670000
FN : Dist = 57, Mean = 0,0011843859819335896000000, var = 0,0000258960015827838250000
FN : Dist = 58, Mean = 0,0011743103619062760000000, var = 0,0000254722018823073660000
FN : Dist = 59, Mean = 0,0011666101866630615000000, var = 0,0000250680035401865570000
FN : Dist = 60, Mean = 0,0011610000173095615000000, var = 0,0000246830787822357170000
FN : Dist = 61, Mean = 0,0011536065747075880000000, var = 0,0000243047654680948680000
FN : Dist = 62, Mean = 0,0011411290496001920000000, var = 0,0000239289533548870540000
FN : Dist = 63, Mean = 0,0011414285886677958000000, var = 0,0000236036485474238280000
FN : Dist = 64, Mean = 0,0011364062673419539000000, var = 0,0000232643618843184160000
