BuildTree = 1,101000
FN : Dist = 1, Mean = 0,0016900000197347255000000, var = 0,0000093339000062937150000
FN : Dist = 2, Mean = 0,0021099999977741390000000, var = 0,0000129178998014660470000
FN : Dist = 3, Mean = 0,0017000000058518103000000, var = 0,0000096366665491865450000
FN : Dist = 4, Mean = 0,0021375000054831617000000, var = 0,0000148235937352068160000
FN : Dist = 5, Mean = 0,0017220000049564988000000, var = 0,0000125607159909875550000
FN : Dist = 6, Mean = 0,0019700000045122577000000, var = 0,0000149724333513706740000
FN : Dist = 7, Mean = 0,0018985714349297010000000, var = 0,0000136397122756256430000
FN : Dist = 8, Mean = 0,0021837500038964210000000, var = 0,0000846299840181842700000
FN : Dist = 9, Mean = 0,0021166666704488710000000, var = 0,0000759363871874425200000
FN : Dist = 10, Mean = 0,0021970000060973690000000, var = 0,0000805921900425722500000
FN : Dist = 11, Mean = 0,0019981818237680600000000, var = 0,0000736618140077628700000
FN : Dist = 12, Mean = 0,0019183333403392075000000, var = 0,0000678233297644140500000
FN : Dist = 13, Mean = 0,0019000000068738770000000, var = 0,0000631346146611386600000
FN : Dist = 14, Mean = 0,0018021428649912456000000, var = 0,0000588044233088870500000
FN : Dist = 15, Mean = 0,0017393333422951400000000, var = 0,0000550687189343140500000
FN : Dist = 16, Mean = 0,0017593750107334927000000, var = 0,0000522677240512368740000
FN : Dist = 17, Mean = 0,0017358823632821442000000, var = 0,0000494731825200832340000
FN : Dist = 18, Mean = 0,0017583333460303645000000, var = 0,0000473610412041500660000
FN : Dist = 19, Mean = 0,0017300000124439402000000, var = 0,0000450802574573802500000
FN : Dist = 20, Mean = 0,0016460000119404867000000, var = 0,0000429626835863421540000
FN : Dist = 21, Mean = 0,0015995238216904302000000, var = 0,0000410181898572158500000
FN : Dist = 22, Mean = 0,0015622727399353276000000, var = 0,0000392552126454209800000
FN : Dist = 23, Mean = 0,0015308695782542876000000, var = 0,0000376629597626356650000
FN : Dist = 24, Mean = 0,0015008333468479880000000, var = 0,0000361908323061919340000
FN : Dist = 25, Mean = 0,0014696000138763338000000, var = 0,0000348258755235718340000
FN : Dist = 26, Mean = 0,0014634615520928772000000, var = 0,0000336525107910070700000
FN : Dist = 27, Mean = 0,0014274074213096390000000, var = 0,0000324654707653091600000
FN : Dist = 28, Mean = 0,0014475000144115516000000, var = 0,0000316643863370802540000
FN : Dist = 29, Mean = 0,0014044827728628600000000, var = 0,0000306298417140258700000
FN : Dist = 30, Mean = 0,0013586666804815952000000, var = 0,0000296706913056304300000
FN : Dist = 31, Mean = 0,0013500000141756308000000, var = 0,0000288133062132667660000
FN : Dist = 32, Mean = 0,0013259375143388752000000, var = 0,0000279603270165224050000
FN : Dist = 33, Mean = 0,0013166666811924767000000, var = 0,0000271988129110006730000
FN : Dist = 34, Mean = 0,0012879411910441430000000, var = 0,0000264373837836920760000
FN : Dist = 35, Mean = 0,0012820000146914806000000, var = 0,0000257716186523569680000
FN : Dist = 36, Mean = 0,0012772222368706329000000, var = 0,0000251431476413863970000
FN : Dist = 37, Mean = 0,0012454054197862845000000, var = 0,0000245024786977854820000
FN : Dist = 38, Mean = 0,0012152631720221650000000, var = 0,0000238936615867748250000
FN : Dist = 39, Mean = 0,0011861538600164633000000, var = 0,0000233150901547689950000
FN : Dist = 40, Mean = 0,0011572500135516748000000, var = 0,0000227655222622417640000
FN : Dist = 41, Mean = 0,0011324390377735764000000, var = 0,0000222378255881106100000
FN : Dist = 42, Mean = 0,0011121428705241885000000, var = 0,0000217314714329182000000
FN : Dist = 43, Mean = 0,0010909302458491955000000, var = 0,0000212496385082933770000
FN : Dist = 44, Mean = 0,0010679545585298910000000, var = 0,0000207910638409228800000
FN : Dist = 45, Mean = 0,0010802222353199290000000, var = 0,0000204782309109811800000
FN : Dist = 46, Mean = 0,0011023913181650088000000, var = 0,0000202910376244855950000
FN : Dist = 47, Mean = 0,0011212766100652516000000, var = 0,0000200823131407880800000
FN : Dist = 48, Mean = 0,0011425000151211860000000, var = 0,0000199171936421101550000
FN : Dist = 49, Mean = 0,0011340816479119263000000, var = 0,0000195463077258647340000
FN : Dist = 50, Mean = 0,0011488000151002780000000, var = 0,0000193366584591885270000
FN : Dist = 51, Mean = 0,0011311764856252600000000, var = 0,0000189771063607179160000
FN : Dist = 52, Mean = 0,0011101923224766954000000, var = 0,0000186353575594849270000
FN : Dist = 53, Mean = 0,0011245283167062433000000, var = 0,0000184535492151668630000
FN : Dist = 54, Mean = 0,0011087037184862075000000, var = 0,0000181302204534294500000
FN : Dist = 55, Mean = 0,0011203636508223347000000, var = 0,0000179400579621253500000
FN : Dist = 56, Mean = 0,0011355357289305954000000, var = 0,0000178007371314047100000
FN : Dist = 57, Mean = 0,0011489473830442875000000, var = 0,0000176541303929683600000
FN : Dist = 58, Mean = 0,0011393103596015737000000, var = 0,0000173712822073847740000
FN : Dist = 59, Mean = 0,0011322034046969424000000, var = 0,0000171035391396397850000
FN : Dist = 60, Mean = 0,0011271666817289467000000, var = 0,0000168513285688132650000
FN : Dist = 61, Mean = 0,0011203278840107263000000, var = 0,0000166002752345033850000
FN : Dist = 62, Mean = 0,0011083871119790861000000, var = 0,0000163482521711071200000
FN : Dist = 63, Mean = 0,0011090476343423010000000, var = 0,0000161435053785284830000
FN : Dist = 64, Mean = 0,0011046875155443560000000, var = 0,0000159218529667967170000
FN : Dist = 65, Mean = 0,0010910769385428956000000, var = 0,0000156913972425424150000
