BuildTree = 1,292000
FN : Dist = 1, Mean = 0,0017400000023189933000000, var = 0,0000109723996058967340000
FN : Dist = 2, Mean = 0,0018150000175228343000000, var = 0,0000109607750472288550000
FN : Dist = 3, Mean = 0,0013800000182042518000000, var = 0,0000079422667136157870000
FN : Dist = 4, Mean = 0,0023975000524660574000000, var = 0,0002234145122717468400000
FN : Dist = 5, Mean = 0,0019260000423528254000000, var = 0,0001796285388562736300000
FN : Dist = 6, Mean = 0,0022850000441151980000000, var = 0,0001856637876702999000000
FN : Dist = 7, Mean = 0,0021600000382334525000000, var = 0,0001599486965849040500000
FN : Dist = 8, Mean = 0,0020912500354461370000000, var = 0,0001407729329676501600000
FN : Dist = 9, Mean = 0,0021022222589494450000000, var = 0,0001266562258417854600000
FN : Dist = 10, Mean = 0,0020840000355383382000000, var = 0,0001148749517299182100000
FN : Dist = 11, Mean = 0,0018963636687575754000000, var = 0,0001047856301796669000000
FN : Dist = 12, Mean = 0,0018583333631977438000000, var = 0,0000965866036695989500000
FN : Dist = 13, Mean = 0,0018700000302543720000000, var = 0,0000899577213695392600000
FN : Dist = 14, Mean = 0,0017928571719676256000000, var = 0,0000837970973929512200000
FN : Dist = 15, Mean = 0,0017700000273374220000000, var = 0,0000792997717827851700000
FN : Dist = 16, Mean = 0,0017950000286509748000000, var = 0,0000750779798285335800000
FN : Dist = 17, Mean = 0,0017729412039796657000000, var = 0,0000709649194269309500000
FN : Dist = 18, Mean = 0,0017966666961243998000000, var = 0,0000676886598891659300000
FN : Dist = 19, Mean = 0,0017678947647494312000000, var = 0,0000643519207257014300000
FN : Dist = 20, Mean = 0,0016820000266307034000000, var = 0,0000612768799043302500000
FN : Dist = 21, Mean = 0,0016338095502440063000000, var = 0,0000584673368291849900000
FN : Dist = 22, Mean = 0,0015959091174458577000000, var = 0,0000559189868233489800000
FN : Dist = 23, Mean = 0,0015647826357440941000000, var = 0,0000536101544517045800000
FN : Dist = 24, Mean = 0,0015383333604647002000000, var = 0,0000514935338305390350000
FN : Dist = 25, Mean = 0,0015104000272229314000000, var = 0,0000495298949888392000000
FN : Dist = 26, Mean = 0,0015130769498556708000000, var = 0,0000478621397191765900000
