BuildTree = 1,376000
FN : Dist = 1, Mean = 0,0017300000111572444000000, var = 0,0000140770997785214160000
FN : Dist = 2, Mean = 0,0019900000188499690000000, var = 0,0000136298999684512240000
FN : Dist = 3, Mean = 0,0015500000196819505000000, var = 0,0000098941666678277450000
FN : Dist = 4, Mean = 0,0018125000139116310000000, var = 0,0000117273437019219300000
FN : Dist = 5, Mean = 0,0014560000114142895000000, var = 0,0000098960639692127220000
FN : Dist = 6, Mean = 0,0019850000009561577000000, var = 0,0000616847720571052900000
FN : Dist = 7, Mean = 0,0018971428592755860000000, var = 0,0000535865607477123400000
FN : Dist = 8, Mean = 0,0018537500033562538000000, var = 0,0000476423587446276550000
FN : Dist = 9, Mean = 0,0018455555597837600000000, var = 0,0000431972560873900160000
FN : Dist = 10, Mean = 0,0018320000045932829000000, var = 0,0000395637742661279600000
FN : Dist = 11, Mean = 0,0016672727315347980000000, var = 0,0000362402000779068100000
FN : Dist = 12, Mean = 0,0016191666711044188000000, var = 0,0000335091311939022000000
FN : Dist = 13, Mean = 0,0016984615453447286000000, var = 0,0000361998426615009600000
FN : Dist = 14, Mean = 0,0016135714363606115000000, var = 0,0000337628147728063300000
FN : Dist = 15, Mean = 0,0015606666756793858000000, var = 0,0000316689852539292500000
FN : Dist = 16, Mean = 0,0015837500095221913000000, var = 0,0000302592350394081700000
FN : Dist = 17, Mean = 0,0015658823617816190000000, var = 0,0000287280116091495280000
FN : Dist = 18, Mean = 0,0015888888986470798000000, var = 0,0000276632090890819500000
FN : Dist = 19, Mean = 0,0015684210625477135000000, var = 0,0000264105809734457970000
FN : Dist = 20, Mean = 0,0014925000095390715000000, var = 0,0000252019430445098070000
FN : Dist = 21, Mean = 0,0014528571529912630000000, var = 0,0000240915864054520530000
FN : Dist = 22, Mean = 0,0014240909200055863000000, var = 0,0000230915099023621900000
FN : Dist = 23, Mean = 0,0013995652288988070000000, var = 0,0000221894774681479020000
FN : Dist = 24, Mean = 0,0013775000123132485000000, var = 0,0000213583265099341800000
FN : Dist = 25, Mean = 0,0013532000125851481000000, var = 0,0000205844492118400000000
FN : Dist = 26, Mean = 0,0013557692431808950000000, var = 0,0000199799661897624400000
FN : Dist = 27, Mean = 0,0013251851978970486000000, var = 0,0000192957355712304400000
FN : Dist = 28, Mean = 0,0013489285846922680000000, var = 0,0000189657483746420700000
FN : Dist = 29, Mean = 0,0013089655303588972000000, var = 0,0000183624708835999530000
FN : Dist = 30, Mean = 0,0012663333460610980000000, var = 0,0000178040661119081070000
FN : Dist = 31, Mean = 0,0012606451743011995000000, var = 0,0000173256120605917350000
FN : Dist = 32, Mean = 0,0012403125132186687000000, var = 0,0000168306869908155970000
FN : Dist = 33, Mean = 0,0012345454680987380000000, var = 0,0000164074122759915960000
FN : Dist = 34, Mean = 0,0012085294254083076000000, var = 0,0000159597503950517540000
FN : Dist = 35, Mean = 0,0012060000137093345000000, var = 0,0000155972779148342700000
FN : Dist = 36, Mean = 0,0012050000137403712000000, var = 0,0000152596413075307930000
FN : Dist = 37, Mean = 0,0011748648783494090000000, var = 0,0000148821246330762180000
FN : Dist = 38, Mean = 0,0011465789606231020000000, var = 0,0000145224616418292110000
FN : Dist = 39, Mean = 0,0011189743719744280000000, var = 0,0000141807165673747250000
FN : Dist = 40, Mean = 0,0010912500126869418000000, var = 0,0000138564231170334760000
FN : Dist = 41, Mean = 0,0010680487930274955000000, var = 0,0000135429300269869260000
FN : Dist = 42, Mean = 0,0010495238220928947000000, var = 0,0000132413566120345080000
FN : Dist = 43, Mean = 0,0010300000125087450000000, var = 0,0000129532857499816040000
FN : Dist = 44, Mean = 0,0010084091032199053000000, var = 0,0000126806108161099840000
FN : Dist = 45, Mean = 0,0010206666787982814000000, var = 0,0000125366837178287830000
FN : Dist = 46, Mean = 0,0010421739255695643000000, var = 0,0000124956123962007390000
FN : Dist = 47, Mean = 0,0010606383106502844000000, var = 0,0000124339823134726540000
FN : Dist = 48, Mean = 0,0010850000137240083000000, var = 0,0000124581914293095800000
FN : Dist = 49, Mean = 0,0010783673608105400000000, var = 0,0000122375317973193170000
FN : Dist = 50, Mean = 0,0010986000142991542000000, var = 0,0000122268778209176140000
FN : Dist = 51, Mean = 0,0010819607985653348000000, var = 0,0000120054390782941830000
FN : Dist = 52, Mean = 0,0010617307832357116000000, var = 0,0000117959967948365600000
FN : Dist = 53, Mean = 0,0010777358632350234000000, var = 0,0000117528248615955150000
FN : Dist = 54, Mean = 0,0010629629771251024000000, var = 0,0000115519613947544200000
FN : Dist = 55, Mean = 0,0010772727414415303000000, var = 0,0000115047560086019500000
FN : Dist = 56, Mean = 0,0010948214431950223000000, var = 0,0000115026158612439070000
FN : Dist = 57, Mean = 0,0011103508921683227000000, var = 0,0000114806295332111120000
FN : Dist = 58, Mean = 0,0011015517391858558000000, var = 0,0000113050319104362190000
FN : Dist = 59, Mean = 0,0010954237440048510000000, var = 0,0000111402161855372930000
