BuildTree = 1,323000
FN : Dist = 1, Mean = 0,0022500000463332980000000, var = 0,0000164875007257098100000
FN : Dist = 2, Mean = 0,0025500000140164045000000, var = 0,0000201175000474834730000
FN : Dist = 3, Mean = 0,0019700000159597647000000, var = 0,0000147157667172761070000
FN : Dist = 4, Mean = 0,0022925000166287646000000, var = 0,0000199519437650640100000
FN : Dist = 5, Mean = 0,0018420000136829913000000, var = 0,0000167810360233973160000
FN : Dist = 6, Mean = 0,0025016666888647400000000, var = 0,0001913499985044626800000
FN : Dist = 7, Mean = 0,0023228571635471390000000, var = 0,0001647729072307760300000
FN : Dist = 8, Mean = 0,0023987500192015430000000, var = 0,0001641947493920331500000
FN : Dist = 9, Mean = 0,0023255555737867126000000, var = 0,0001468173477731007200000
FN : Dist = 10, Mean = 0,0022690000191796570000000, var = 0,0001329186397987272800000
FN : Dist = 11, Mean = 0,0020636363811155950000000, var = 0,0001212577693282285400000
FN : Dist = 12, Mean = 0,0019808333511658325000000, var = 0,0001114771333176200100000
FN : Dist = 13, Mean = 0,0019584615554553097000000, var = 0,0001034444290318436600000
FN : Dist = 14, Mean = 0,0018564285886740045000000, var = 0,0000962472449753095200000
FN : Dist = 15, Mean = 0,0017906666845083237000000, var = 0,0000900241801102364100000
FN : Dist = 16, Mean = 0,0018100000196136533000000, var = 0,0000850739005502032500000
FN : Dist = 17, Mean = 0,0017823529605041533000000, var = 0,0000803479243980234800000
FN : Dist = 18, Mean = 0,0017977777982337607000000, var = 0,0000764702178011794000000
FN : Dist = 19, Mean = 0,0017652631782019805000000, var = 0,0000726480570033414900000
FN : Dist = 20, Mean = 0,0016790000193868764000000, var = 0,0000691589594721644800000
FN : Dist = 21, Mean = 0,0016280952576614384000000, var = 0,0000659659730149518400000
FN : Dist = 22, Mean = 0,0015872727469435300000000, var = 0,0000630678384519350600000
FN : Dist = 23, Mean = 0,0015530434982223517000000, var = 0,0000604263172451146500000
FN : Dist = 24, Mean = 0,0015225000201705067000000, var = 0,0000580069941572751800000
FN : Dist = 25, Mean = 0,0014904000201728196000000, var = 0,0000557683082338336200000
FN : Dist = 26, Mean = 0,0014842307889529574000000, var = 0,0000537905209416493500000
FN : Dist = 27, Mean = 0,0014477777975197468000000, var = 0,0000518591250586368500000
FN : Dist = 28, Mean = 0,0014714285921737817000000, var = 0,0000504148983326366540000
FN : Dist = 29, Mean = 0,0014282758824591493000000, var = 0,0000487345111824514600000
FN : Dist = 30, Mean = 0,0013820000197738410000000, var = 0,0000471734096850487900000
FN : Dist = 31, Mean = 0,0013751613099368348000000, var = 0,0000457686091870464800000
FN : Dist = 32, Mean = 0,0013521875196965993000000, var = 0,0000443894017982190160000
FN : Dist = 33, Mean = 0,0013439394137116545000000, var = 0,0000431365545040193000000
FN : Dist = 34, Mean = 0,0013152941373546663000000, var = 0,0000419070605251759500000
FN : Dist = 35, Mean = 0,0013122857335755335000000, var = 0,0000408199065125483800000
FN : Dist = 36, Mean = 0,0013091666858397527000000, var = 0,0000397874718293530500000
FN : Dist = 37, Mean = 0,0012764865052697525000000, var = 0,0000387530149768269600000
FN : Dist = 38, Mean = 0,0012455263342034367000000, var = 0,0000377710329056300400000
FN : Dist = 39, Mean = 0,0012156410436802664000000, var = 0,0000368383710244765500000
FN : Dist = 40, Mean = 0,0011860000176238828000000, var = 0,0000359524042755408900000
FN : Dist = 41, Mean = 0,0011607317246848763000000, var = 0,0000351041655878960640000
FN : Dist = 42, Mean = 0,0011400000172822426000000, var = 0,0000342927812163930040000
FN : Dist = 43, Mean = 0,0011183721101355500000000, var = 0,0000335187790038123900000
FN : Dist = 44, Mean = 0,0010950000168205324000000, var = 0,0000327823388897918600000
FN : Dist = 45, Mean = 0,0011046666831761186000000, var = 0,0000321812673587614750000
FN : Dist = 46, Mean = 0,0011241304517328820000000, var = 0,0000317069831909778350000
FN : Dist = 47, Mean = 0,0011402127827378980000000, var = 0,0000312248087126793950000
FN : Dist = 48, Mean = 0,0011583333504192222000000, var = 0,0000307957641383046470000
FN : Dist = 49, Mean = 0,0011481632824454989000000, var = 0,0000301968234025257350000
FN : Dist = 50, Mean = 0,0011624000171199442000000, var = 0,0000297708264841008720000
FN : Dist = 51, Mean = 0,0011445098209386581000000, var = 0,0000292071563721503320000
FN : Dist = 52, Mean = 0,0011230769397941633000000, var = 0,0000286694676916033100000
FN : Dist = 53, Mean = 0,0011411320926832422000000, var = 0,0000283468744314979870000
FN : Dist = 54, Mean = 0,0011259259431002041000000, var = 0,0000278404391950511540000
FN : Dist = 55, Mean = 0,0011381818351589822000000, var = 0,0000274841787467713700000
FN : Dist = 56, Mean = 0,0011558928745424575000000, var = 0,0000272098047985220700000
FN : Dist = 57, Mean = 0,0011722807195895400000000, var = 0,0000269292669704446750000
FN : Dist = 58, Mean = 0,0011632758799482714000000, var = 0,0000264897205422821340000
FN : Dist = 59, Mean = 0,0011572881536045254000000, var = 0,0000260725488147972920000
FN : Dist = 60, Mean = 0,0011531666848459282000000, var = 0,0000256750402071189760000
FN : Dist = 61, Mean = 0,0011470491986446938000000, var = 0,0000252837866074131150000
FN : Dist = 62, Mean = 0,0011351613086205156000000, var = 0,0000248933445585181850000
FN : Dist = 63, Mean = 0,0011369841451394475000000, var = 0,0000245620292261493460000
FN : Dist = 64, Mean = 0,0011334375182013900000000, var = 0,0000242146946575083100000
FN : Dist = 65, Mean = 0,0011195384796278982000000, var = 0,0000238572492386670700000
FN : Dist = 66, Mean = 0,0011259091091977264000000, var = 0,0000236518743973086870000
FN : Dist = 67, Mean = 0,0011138806152574496000000, var = 0,0000233131508335598900000
FN : Dist = 68, Mean = 0,0011027941358727677000000, var = 0,0000229845806464948670000
FN : Dist = 69, Mean = 0,0011137681341210407000000, var = 0,0000227816947146988950000
FN : Dist = 70, Mean = 0,0011227143036334642000000, var = 0,0000225656557044294820000
FN : Dist = 71, Mean = 0,0011314084683544934000000, var = 0,0000223544221713625860000
FN : Dist = 72, Mean = 0,0011422222397555338000000, var = 0,0000221867174947524920000
FN : Dist = 73, Mean = 0,0011416438531787580000000, var = 0,0000219256906574242340000
FN : Dist = 74, Mean = 0,0011527027204519490000000, var = 0,0000217637091226112300000
FN : Dist = 75, Mean = 0,0011632000177788239000000, var = 0,0000216042993040374650000
FN : Dist = 76, Mean = 0,0011734210704392018000000, var = 0,0000214486095593499100000
FN : Dist = 77, Mean = 0,0011605194982068686000000, var = 0,0000211846233147785820000
FN : Dist = 78, Mean = 0,0011634615559775670000000, var = 0,0000209767420695104900000
FN : Dist = 79, Mean = 0,0011749367263238829000000, var = 0,0000208648403910823300000
FN : Dist = 80, Mean = 0,0011675000175164314000000, var = 0,0000206219439533353530000
FN : Dist = 81, Mean = 0,0011608642150998621000000, var = 0,0000203851105657501950000
FN : Dist = 82, Mean = 0,0011584146519151810000000, var = 0,0000201677098826696400000
FN : Dist = 83, Mean = 0,0011700000180666480000000, var = 0,0000201247146657683770000
FN : Dist = 84, Mean = 0,0011676190656726248000000, var = 0,0000199247612036366230000
FN : Dist = 85, Mean = 0,0011721176649854682000000, var = 0,0000197615521902159100000
FN : Dist = 86, Mean = 0,0011588372270370899000000, var = 0,0000195470965244721300000
FN : Dist = 87, Mean = 0,0011535632361433115000000, var = 0,0000193396369292446020000
FN : Dist = 88, Mean = 0,0011607954722024840000000, var = 0,0000192135768392617140000
FN : Dist = 89, Mean = 0,0011524719277820601000000, var = 0,0000190094491433375870000
FN : Dist = 90, Mean = 0,0011641111291505188000000, var = 0,0000189396233005844900000
FN : Dist = 91, Mean = 0,0011620879302487023000000, var = 0,0000187602112262521640000
FN : Dist = 92, Mean = 0,0011702174095199038000000, var = 0,0000186582001543876930000
FN : Dist = 93, Mean = 0,0011605376525661878000000, var = 0,0000184687439968015340000
FN : Dist = 94, Mean = 0,0011605319330230990000000, var = 0,0000183085914046930650000
FN : Dist = 95, Mean = 0,0011509473864846913000000, var = 0,0000181266887726790000000
FN : Dist = 96, Mean = 0,0011439583514220430000000, var = 0,0000179492761932172230000
FN : Dist = 97, Mean = 0,0011473196056388203000000, var = 0,0000178186064108415120000
FN : Dist = 98, Mean = 0,0011395918547498936000000, var = 0,0000176470449231968580000
FN : Dist = 99, Mean = 0,0011431313310796866000000, var = 0,0000175256752340032620000
FN : Dist = 100, Mean = 0,0011435000178986229000000, var = 0,0000173855079391053280000
