BuildTree = 1,634000
FN : Dist = 1, Mean = 0,0032799999997951090000000, var = 0,0000598615995200739900000
FN : Dist = 2, Mean = 0,0028300000034505502000000, var = 0,0000374410997379998650000
FN : Dist = 3, Mean = 0,0021533333428669720000000, var = 0,0000264498220616506900000
FN : Dist = 4, Mean = 0,0025575000161188657000000, var = 0,0000296566938069198260000
FN : Dist = 5, Mean = 0,0020540000132750720000000, var = 0,0000247470840577203300000
FN : Dist = 6, Mean = 0,0021633333530432235000000, var = 0,0000238166557194000500000
FN : Dist = 7, Mean = 0,0020657143053332610000000, var = 0,0000212556817908583270000
FN : Dist = 8, Mean = 0,0023750000292784533000000, var = 0,0001237793813250876900000
FN : Dist = 9, Mean = 0,0023066666935725760000000, var = 0,0001108926278558786900000
FN : Dist = 10, Mean = 0,0022440000252099707000000, var = 0,0001005244690844474300000
FN : Dist = 11, Mean = 0,0020409091138704257000000, var = 0,0000917992401686327000000
FN : Dist = 12, Mean = 0,0019591666891938075000000, var = 0,0000844708368900337500000
FN : Dist = 13, Mean = 0,0019400000218481110000000, var = 0,0000785210193150580700000
FN : Dist = 14, Mean = 0,0018407143073688660000000, var = 0,0000731024888577166000000
FN : Dist = 15, Mean = 0,0017766666893536847000000, var = 0,0000684241256421944400000
FN : Dist = 16, Mean = 0,0018693750254897168000000, var = 0,0000712460657738087200000
FN : Dist = 17, Mean = 0,0018358823770711966000000, var = 0,0000673160100236061900000
FN : Dist = 18, Mean = 0,0018472222469022705000000, var = 0,0000641327733383200000000
FN : Dist = 19, Mean = 0,0018126316030975431000000, var = 0,0000609606856552088240000
FN : Dist = 20, Mean = 0,0017245000230614097000000, var = 0,0000580626027052659700000
FN : Dist = 21, Mean = 0,0016733333563786887000000, var = 0,0000554028155161689300000
FN : Dist = 22, Mean = 0,0016313636593986304000000, var = 0,0000529918371978897700000
FN : Dist = 23, Mean = 0,0015965217623211767000000, var = 0,0000507937296130339160000
FN : Dist = 24, Mean = 0,0015675000233750325000000, var = 0,0000487854462283140000000
FN : Dist = 25, Mean = 0,0015364000234752893000000, var = 0,0000469254774234583100000
FN : Dist = 26, Mean = 0,0015342307923576580000000, var = 0,0000453295997804815100000
FN : Dist = 27, Mean = 0,0014974074304552267000000, var = 0,0000437181436392358400000
FN : Dist = 28, Mean = 0,0015232143102912232000000, var = 0,0000426080346868921400000
FN : Dist = 29, Mean = 0,0014782758861587480000000, var = 0,0000412019439436418800000
FN : Dist = 30, Mean = 0,0014303333566834530000000, var = 0,0000398964819101486460000
FN : Dist = 31, Mean = 0,0014229032491529060000000, var = 0,0000387298644983836950000
FN : Dist = 32, Mean = 0,0014025000229594298000000, var = 0,0000376573706416358950000
FN : Dist = 33, Mean = 0,0013918182047112195000000, var = 0,0000366061773190945760000
FN : Dist = 34, Mean = 0,0013608823756358640000000, var = 0,0000355724127706058940000
