BuildTree = 1,582000
FN : Dist = 1, Mean = 0,0019000000366941093000000, var = 0,0000162300002085789620000
FN : Dist = 2, Mean = 0,0024400000099558380000000, var = 0,0000213963998114377650000
FN : Dist = 3, Mean = 0,0019033333457385500000000, var = 0,0000155073221086522300000
FN : Dist = 4, Mean = 0,0023050000079092568000000, var = 0,0000194469749075611160000
FN : Dist = 5, Mean = 0,0018540000068023800000000, var = 0,0000163806839309451800000
FN : Dist = 6, Mean = 0,0024783333301699410000000, var = 0,0001204061938649744500000
FN : Dist = 7, Mean = 0,0023099999981267110000000, var = 0,0001039824685489231500000
FN : Dist = 8, Mean = 0,0022074999990582002000000, var = 0,0000917219412313242800000
FN : Dist = 9, Mean = 0,0021488888876046983000000, var = 0,0000823200520785404800000
FN : Dist = 10, Mean = 0,0020969999997178094000000, var = 0,0000747415889896910100000
FN : Dist = 11, Mean = 0,0019081818180116400000000, var = 0,0000683052039573184200000
FN : Dist = 12, Mean = 0,0018350000016895743000000, var = 0,0000629061066624747100000
FN : Dist = 13, Mean = 0,0018215384628946104000000, var = 0,0000585850730110766500000
FN : Dist = 14, Mean = 0,0017292857168441905000000, var = 0,0000545702837695900000000
FN : Dist = 15, Mean = 0,0016706666708923876000000, var = 0,0000511128715552781000000
FN : Dist = 16, Mean = 0,0017543750056211140000000, var = 0,0000546390422927227400000
FN : Dist = 17, Mean = 0,0017252941231708974000000, var = 0,0000516627709676821460000
FN : Dist = 18, Mean = 0,0017377777841951078000000, var = 0,0000493134607919172600000
FN : Dist = 19, Mean = 0,0017042105334908947000000, var = 0,0000468977708614985600000
FN : Dist = 20, Mean = 0,0016210000069113448000000, var = 0,0000446863581615487700000
FN : Dist = 21, Mean = 0,0015723809598767687000000, var = 0,0000426552363911249800000
FN : Dist = 22, Mean = 0,0015336363718167624000000, var = 0,0000408115951094383500000
FN : Dist = 23, Mean = 0,0015004347913149420000000, var = 0,0000391299990881937600000
FN : Dist = 24, Mean = 0,0014708333427067070000000, var = 0,0000375891486162257660000
FN : Dist = 25, Mean = 0,0014400000096764416000000, var = 0,0000361623993399229100000
FN : Dist = 26, Mean = 0,0014350000100407320000000, var = 0,0000349342359070290000000
FN : Dist = 27, Mean = 0,0013996296400566482000000, var = 0,0000336977029596943400000
FN : Dist = 28, Mean = 0,0014257142975111492000000, var = 0,0000329001953527379500000
FN : Dist = 29, Mean = 0,0013837931151822980000000, var = 0,0000318213229980276200000
FN : Dist = 30, Mean = 0,0013390000114062181000000, var = 0,0000308200784737808040000
FN : Dist = 31, Mean = 0,0013325806570074130000000, var = 0,0000299361638023094400000
FN : Dist = 32, Mean = 0,0013106250121927587000000, var = 0,0000290491366211541300000
FN : Dist = 33, Mean = 0,0013033333456383624000000, var = 0,0000282598065986630660000
FN : Dist = 34, Mean = 0,0012755882477401480000000, var = 0,0000274661094908192600000
FN : Dist = 35, Mean = 0,0012725714410522155000000, var = 0,0000267794186591372840000
FN : Dist = 36, Mean = 0,0012705555678823860000000, var = 0,0000261367992607148900000
FN : Dist = 37, Mean = 0,0012391892013240706000000, var = 0,0000254684637891319900000
FN : Dist = 38, Mean = 0,0012094736961635614000000, var = 0,0000248334887900123180000
FN : Dist = 39, Mean = 0,0011807692425253873000000, var = 0,0000242301426024196260000
