BuildTree = 1,856000
FN : Dist = 1, Mean = 0,0017900000081863255000000, var = 0,0000181858998745618300000
FN : Dist = 2, Mean = 0,0019500000175321475000000, var = 0,0000147275000469317080000
FN : Dist = 3, Mean = 0,0015500000196819505000000, var = 0,0000106008333876543070000
FN : Dist = 4, Mean = 0,0021725000024889595000000, var = 0,0000222827434148570730000
FN : Dist = 5, Mean = 0,0017600000030361116000000, var = 0,0000185503997342200050000
FN : Dist = 6, Mean = 0,0022383333397253107000000, var = 0,0000256281970660412120000
FN : Dist = 7, Mean = 0,0023414285775340560000000, var = 0,0000252934264140592340000
FN : Dist = 8, Mean = 0,0025037500112375710000000, var = 0,0000273224859348324100000
FN : Dist = 9, Mean = 0,0024388889012496090000000, var = 0,0000253195987821098400000
FN : Dist = 10, Mean = 0,0026920000106329100000000, var = 0,0001003251344489987700000
FN : Dist = 11, Mean = 0,0024481818278912790000000, var = 0,0000918000407433467300000
FN : Dist = 12, Mean = 0,0023350000095282060000000, var = 0,0000845511070444799500000
FN : Dist = 13, Mean = 0,0023000000081419085000000, var = 0,0000788253834234134100000
FN : Dist = 14, Mean = 0,0021721428661840036000000, var = 0,0000734596514449129200000
FN : Dist = 15, Mean = 0,0020873333436126510000000, var = 0,0000688170385287752900000
FN : Dist = 16, Mean = 0,0020875000124215147000000, var = 0,0000651873428164351600000
FN : Dist = 17, Mean = 0,0020452941299470910000000, var = 0,0000616561828610108000000
FN : Dist = 18, Mean = 0,0020544444595644662000000, var = 0,0000588903683469581400000
FN : Dist = 19, Mean = 0,0020136842252931704000000, var = 0,0000560366541015679900000
FN : Dist = 20, Mean = 0,0019160000141710044000000, var = 0,0000534189432937032500000
FN : Dist = 21, Mean = 0,0018576190619552064000000, var = 0,0000510106793747061500000
FN : Dist = 22, Mean = 0,0018059091058305718000000, var = 0,0000488146008097120300000
FN : Dist = 23, Mean = 0,0017621739282090540000000, var = 0,0000468108294506673200000
FN : Dist = 24, Mean = 0,0017237500155655046000000, var = 0,0000449732686935311700000
FN : Dist = 25, Mean = 0,0016840000157710164000000, var = 0,0000432689434482404300000
FN : Dist = 26, Mean = 0,0016707692459637586000000, var = 0,0000417816065696583100000
FN : Dist = 27, Mean = 0,0016285185339964098000000, var = 0,0000403105195179674960000
FN : Dist = 28, Mean = 0,0016503571602515877000000, var = 0,0000393216779818049800000
FN : Dist = 29, Mean = 0,0016003448447084118000000, var = 0,0000380433787467822500000
FN : Dist = 30, Mean = 0,0015483333499481280000000, var = 0,0000368549967940381960000
FN : Dist = 31, Mean = 0,0015396774359678308000000, var = 0,0000358348769023696600000
FN : Dist = 32, Mean = 0,0015112500169198028000000, var = 0,0000347823730401451340000
FN : Dist = 33, Mean = 0,0014972727445913762000000, var = 0,0000338227194533814400000
FN : Dist = 34, Mean = 0,0014644117820460131000000, var = 0,0000328763801673846200000
FN : Dist = 35, Mean = 0,0014585714455960053000000, var = 0,0000320602833156107400000
FN : Dist = 36, Mean = 0,0014583333501165423000000, var = 0,0000313182635428896200000
FN : Dist = 37, Mean = 0,0014218919083627093000000, var = 0,0000305222771662461700000
FN : Dist = 38, Mean = 0,0013873684372274990000000, var = 0,0000297657348543100700000
FN : Dist = 39, Mean = 0,0013538461697037117000000, var = 0,0000290471002753039580000
FN : Dist = 40, Mean = 0,0013205000154848676000000, var = 0,0000283647794425173220000
FN : Dist = 41, Mean = 0,0012921951372437633000000, var = 0,0000277082802480584220000
FN : Dist = 42, Mean = 0,0012685714438391317000000, var = 0,0000270783452868204270000
FN : Dist = 43, Mean = 0,0012441860616672785000000, var = 0,0000264780473093164300000
FN : Dist = 44, Mean = 0,0012179545603629033000000, var = 0,0000259077228120513670000
FN : Dist = 45, Mean = 0,0012273333483737790000000, var = 0,0000254805415110252360000
FN : Dist = 46, Mean = 0,0012447826241132926000000, var = 0,0000251531246990646160000
FN : Dist = 47, Mean = 0,0012585106538113287000000, var = 0,0000248078528570019650000
FN : Dist = 48, Mean = 0,0012750000159818834000000, var = 0,0000245156247694458660000
FN : Dist = 49, Mean = 0,0012630612405292614000000, var = 0,0000240485536694821000000
FN : Dist = 50, Mean = 0,0012764000162249430000000, var = 0,0000237540028250155600000
FN : Dist = 51, Mean = 0,0012566666828249307000000, var = 0,0000233127494630450400000
FN : Dist = 52, Mean = 0,0012332692466532954000000, var = 0,0000228930852605838900000
FN : Dist = 53, Mean = 0,0012490566197853044000000, var = 0,0000226843857062598130000
FN : Dist = 54, Mean = 0,0012312963122665813000000, var = 0,0000222859462757416030000
FN : Dist = 55, Mean = 0,0012421818340451203000000, var = 0,0000220333477804389900000
FN : Dist = 56, Mean = 0,0012573214449470730000000, var = 0,0000218428926510956040000
FN : Dist = 57, Mean = 0,0012721052800566612000000, var = 0,0000216608708446454450000
FN : Dist = 58, Mean = 0,0012615517411051832000000, var = 0,0000213141767444745720000
FN : Dist = 59, Mean = 0,0012537288306857127000000, var = 0,0000209856215355812400000
FN : Dist = 60, Mean = 0,0012483333506776641000000, var = 0,0000206766637400044530000
FN : Dist = 61, Mean = 0,0012411475584643786000000, var = 0,0000203695526367681250000
FN : Dist = 62, Mean = 0,0012283871142802038000000, var = 0,0000200617101601477900000
FN : Dist = 63, Mean = 0,0012292063665310187000000, var = 0,0000198080992307933150000
FN : Dist = 64, Mean = 0,0012243750175548484000000, var = 0,0000195349682244215570000
FN : Dist = 65, Mean = 0,0012096923251564686000000, var = 0,0000192534136191663300000
FN : Dist = 66, Mean = 0,0012074242599633043000000, var = 0,0000190095508127165600000
FN : Dist = 67, Mean = 0,0011943283757201828000000, var = 0,0000187416393481528150000
FN : Dist = 68, Mean = 0,0011822058998650926000000, var = 0,0000184819479515665300000
FN : Dist = 69, Mean = 0,0011918840754399265000000, var = 0,0000183428905339799680000
FN : Dist = 70, Mean = 0,0011992857315178428000000, var = 0,0000181861422292491150000
FN : Dist = 71, Mean = 0,0012077464959682556000000, var = 0,0000180420525529007660000
FN : Dist = 72, Mean = 0,0012162500169749062000000, var = 0,0000179058747139167350000
FN : Dist = 73, Mean = 0,0012172602910440007000000, var = 0,0000177382773184625040000
FN : Dist = 74, Mean = 0,0012320270444537084000000, var = 0,0000177162984941588000000
FN : Dist = 75, Mean = 0,0012522666841590156000000, var = 0,0000178150280990191600000
FN : Dist = 76, Mean = 0,0012634210702564910000000, var = 0,0000177358724154580670000
FN : Dist = 77, Mean = 0,0012493506668576995000000, var = 0,0000175224994884941880000
FN : Dist = 78, Mean = 0,0012502564276264120000000, var = 0,0000173532690764721480000
FN : Dist = 79, Mean = 0,0012575949540603434000000, var = 0,0000172413662821959360000
FN : Dist = 80, Mean = 0,0012477500173845328000000, var = 0,0000170413698537387700000
FN : Dist = 81, Mean = 0,0012387654495161072000000, var = 0,0000168469416035674470000
FN : Dist = 82, Mean = 0,0012347561151368498000000, var = 0,0000166694016902281400000
FN : Dist = 83, Mean = 0,0012337349573744976000000, var = 0,0000165089823583170600000
FN : Dist = 84, Mean = 0,0012269047795866970000000, var = 0,0000163306570104708270000
FN : Dist = 85, Mean = 0,0012311764882110498000000, var = 0,0000162118514833647900000
FN : Dist = 86, Mean = 0,0012172093197600482000000, var = 0,0000160402619070558630000
FN : Dist = 87, Mean = 0,0012113793278327105000000, var = 0,0000158754336588771660000
FN : Dist = 88, Mean = 0,0012163636537099426000000, var = 0,0000157729594351417000000
FN : Dist = 89, Mean = 0,0012068539499331350000000, var = 0,0000156085596974242400000
FN : Dist = 90, Mean = 0,0012160000175418747000000, var = 0,0000155553439371565320000
FN : Dist = 91, Mean = 0,0012128571604997699000000, var = 0,0000154121643033477120000
FN : Dist = 92, Mean = 0,0012202174089717395000000, var = 0,0000153425911990065500000
FN : Dist = 93, Mean = 0,0012100000176153156000000, var = 0,0000151897709106282500000
FN : Dist = 94, Mean = 0,0012097872516135387000000, var = 0,0000150668403242871520000
FN : Dist = 95, Mean = 0,0011998947543631260000000, var = 0,0000149197262496339720000
FN : Dist = 96, Mean = 0,0011927083508999202000000, var = 0,0000147772384443422610000
FN : Dist = 97, Mean = 0,0011959793988840905000000, var = 0,0000146833446062654640000
FN : Dist = 98, Mean = 0,0011878571603138340000000, var = 0,0000145444035192679400000
FN : Dist = 99, Mean = 0,0011911111285397313000000, var = 0,0000144549916439473930000
FN : Dist = 100, Mean = 0,0011915000173961744000000, var = 0,0000143472277001156970000
