BuildTree = 1,581000
FN : Dist = 1, Mean = 0,0017600000416859985000000, var = 0,0000129824006590083190000
FN : Dist = 2, Mean = 0,0020150000287685542000000, var = 0,0000137247752941427400000
FN : Dist = 3, Mean = 0,0015633333606335023000000, var = 0,0000099659891155110870000
FN : Dist = 4, Mean = 0,0017475000271224416000000, var = 0,0000105937439632839750000
FN : Dist = 5, Mean = 0,0014020000218879430000000, var = 0,0000089563961854676490000
FN : Dist = 6, Mean = 0,0015416666946839542000000, var = 0,0000095849308173346380000
FN : Dist = 7, Mean = 0,0015085714534922902000000, var = 0,0000088213553276495850000
FN : Dist = 8, Mean = 0,0015125000230909792000000, var = 0,0000084573439590133710000
FN : Dist = 9, Mean = 0,0015377777984314082000000, var = 0,0000083352396925665950000
FN : Dist = 10, Mean = 0,0017780000142520293000000, var = 0,0000551407139023231660000
FN : Dist = 11, Mean = 0,0016172727402722971000000, var = 0,0000503871542954797200000
FN : Dist = 12, Mean = 0,0015750000132053780000000, var = 0,0000464693732593054200000
FN : Dist = 13, Mean = 0,0015884615510451392000000, var = 0,0000434514037206545600000
FN : Dist = 14, Mean = 0,0015142857275038425000000, var = 0,0000404783658595382800000
FN : Dist = 15, Mean = 0,0014726666814337175000000, var = 0,0000379439181771587500000
FN : Dist = 16, Mean = 0,0015131250169361010000000, var = 0,0000362760764751143200000
FN : Dist = 17, Mean = 0,0015582353134146508000000, var = 0,0000380689607453782200000
FN : Dist = 18, Mean = 0,0015838889089516467000000, var = 0,0000365207396517140700000
FN : Dist = 19, Mean = 0,0015626315994335240000000, var = 0,0000347966028692542700000
FN : Dist = 20, Mean = 0,0014870000195805915000000, var = 0,0000331678303075672800000
FN : Dist = 21, Mean = 0,0014471428769840193000000, var = 0,0000316767292761669550000
FN : Dist = 22, Mean = 0,0014159091106954623000000, var = 0,0000303292917327228600000
FN : Dist = 23, Mean = 0,0013904348026414443000000, var = 0,0000291084296545853700000
FN : Dist = 24, Mean = 0,0013691666869272013000000, var = 0,0000279895487432789070000
FN : Dist = 25, Mean = 0,0013464000203181060000000, var = 0,0000269520065033373770000
FN : Dist = 26, Mean = 0,0013500000198389620000000, var = 0,0000261144225623975560000
FN : Dist = 27, Mean = 0,0013203703901402790000000, var = 0,0000252029178876230000000
FN : Dist = 28, Mean = 0,0013532143072474616000000, var = 0,0000247705963647748760000
FN : Dist = 29, Mean = 0,0013141379521854606000000, var = 0,0000239671789997922350000
FN : Dist = 30, Mean = 0,0012716666871759419000000, var = 0,0000232218634754451700000
FN : Dist = 31, Mean = 0,0012696774394792174000000, var = 0,0000225904994960004680000
FN : Dist = 32, Mean = 0,0012509375201625516000000, var = 0,0000219342174857643560000
FN : Dist = 33, Mean = 0,0012484848682740420000000, var = 0,0000213770427855089900000
FN : Dist = 34, Mean = 0,0012229411962086005000000, var = 0,0000207826498119453200000
FN : Dist = 35, Mean = 0,0012234285905890700000000, var = 0,0000202980793211187360000
FN : Dist = 36, Mean = 0,0012252777968468661000000, var = 0,0000198511940269629130000
FN : Dist = 37, Mean = 0,0011951351538300515000000, var = 0,0000193500300570839300000
FN : Dist = 38, Mean = 0,0011668421236160948000000, var = 0,0000188732160230992780000
FN : Dist = 39, Mean = 0,0011392307872227273000000, var = 0,0000184203580714219020000
FN : Dist = 40, Mean = 0,0011110000175540335000000, var = 0,0000179911786975471000000
FN : Dist = 41, Mean = 0,0010878048953600228000000, var = 0,0000175771680578567300000
FN : Dist = 42, Mean = 0,0010695238267847647000000, var = 0,0000171808804391988400000
FN : Dist = 43, Mean = 0,0010500000171135937000000, var = 0,0000168023834418879340000
FN : Dist = 44, Mean = 0,0010281818350036205000000, var = 0,0000164428418767856230000
FN : Dist = 45, Mean = 0,0010424444609735575000000, var = 0,0000162437537596620240000
FN : Dist = 46, Mean = 0,0010650000170521114000000, var = 0,0000161372964894257250000
FN : Dist = 47, Mean = 0,0010834042723984160000000, var = 0,0000160015541275552140000
FN : Dist = 48, Mean = 0,0011039583508924504000000, var = 0,0000159048174382843340000
FN : Dist = 49, Mean = 0,0010961224666406990000000, var = 0,0000156121888258073180000
FN : Dist = 50, Mean = 0,0011134000179590657000000, var = 0,0000155037402316474220000
FN : Dist = 51, Mean = 0,0010966666845157378000000, var = 0,0000152183024107349740000
FN : Dist = 52, Mean = 0,0010759615559856263000000, var = 0,0000149478834918184780000
FN : Dist = 53, Mean = 0,0010920754894130987000000, var = 0,0000148507672011225130000
FN : Dist = 54, Mean = 0,0010770370546702502000000, var = 0,0000145925836281323560000
FN : Dist = 55, Mean = 0,0010901818355884064000000, var = 0,0000144787761498502100000
FN : Dist = 56, Mean = 0,0011075000178035616000000, var = 0,0000144213007230484520000
FN : Dist = 57, Mean = 0,0011224561582294930000000, var = 0,0000143425481899304350000
FN : Dist = 58, Mean = 0,0011136207076247204000000, var = 0,0000141172625931793740000
FN : Dist = 59, Mean = 0,0011077966281386503000000, var = 0,0000139073627858478300000
FN : Dist = 60, Mean = 0,0011048333514287758000000, var = 0,0000137141764872400610000
FN : Dist = 61, Mean = 0,0010996721494087919000000, var = 0,0000135192456468934270000
FN : Dist = 62, Mean = 0,0010890322763495326000000, var = 0,0000133169118225360780000
FN : Dist = 63, Mean = 0,0010925397005796965000000, var = 0,0000131760394396680500000
FN : Dist = 64, Mean = 0,0010903125181903307000000, var = 0,0000130071560143622400000
FN : Dist = 65, Mean = 0,0010775384796389306000000, var = 0,0000128216799593544510000
FN : Dist = 66, Mean = 0,0010771212302444673000000, var = 0,0000126732946107056670000
FN : Dist = 67, Mean = 0,0010662686747999223000000, var = 0,0000124976978876790810000
