BuildTree = 1,163000
FN : Dist = 1, Mean = 0,0016400000208523125000000, var = 0,0000085704000163734320000
FN : Dist = 2, Mean = 0,0018700000160606577000000, var = 0,0000099131000252143360000
FN : Dist = 3, Mean = 0,0014866666848926495000000, var = 0,0000073364889258982580000
FN : Dist = 4, Mean = 0,0017275000209338032000000, var = 0,0000093232438363385060000
FN : Dist = 5, Mean = 0,0013900000171270222000000, var = 0,0000079219000800786250000
FN : Dist = 6, Mean = 0,0015600000195748482000000, var = 0,0000091397334376284780000
FN : Dist = 7, Mean = 0,0019257143016771546000000, var = 0,0000964059088855291600000
FN : Dist = 8, Mean = 0,0018737500156566966000000, var = 0,0000852228098138282800000
FN : Dist = 9, Mean = 0,0019877777948406420000000, var = 0,0000958365172539048500000
FN : Dist = 10, Mean = 0,0019650000173132870000000, var = 0,0000871077750102716500000
FN : Dist = 11, Mean = 0,0017863636521029880000000, var = 0,0000795079958827300600000
FN : Dist = 12, Mean = 0,0017233333499946940000000, var = 0,0000731601222449754200000
FN : Dist = 13, Mean = 0,0017192307852495175000000, var = 0,0000680511686676272300000
FN : Dist = 14, Mean = 0,0016335714450438640000000, var = 0,0000633378729888324000000
FN : Dist = 15, Mean = 0,0015813333507006368000000, var = 0,0000592793849241982140000
FN : Dist = 16, Mean = 0,0016093750183790690000000, var = 0,0000562017871624615600000
FN : Dist = 17, Mean = 0,0015947058998897453000000, var = 0,0000531704426110255100000
FN : Dist = 18, Mean = 0,0016244444632644041000000, var = 0,0000508489580954093500000
FN : Dist = 19, Mean = 0,0015973684398800526000000, var = 0,0000483520984088632900000
FN : Dist = 20, Mean = 0,0015200000180047937000000, var = 0,0000460506000700113700000
FN : Dist = 21, Mean = 0,0014766666849165978000000, var = 0,0000439437413393739500000
FN : Dist = 22, Mean = 0,0014427272911945528000000, var = 0,0000420349017226728400000
FN : Dist = 23, Mean = 0,0014143478448765920000000, var = 0,0000402991855153887300000
FN : Dist = 24, Mean = 0,0013883333524669676000000, var = 0,0000387083639616494640000
FN : Dist = 25, Mean = 0,0013616000192239880000000, var = 0,0000372340455128001800000
FN : Dist = 26, Mean = 0,0013600000185677065000000, var = 0,0000359696308389618000000
FN : Dist = 27, Mean = 0,0013281481667783940000000, var = 0,0000346900966395391700000
FN : Dist = 28, Mean = 0,0013539285904179060000000, var = 0,0000338450917860552400000
FN : Dist = 29, Mean = 0,0013141379496965815000000, var = 0,0000327278691598932750000
FN : Dist = 30, Mean = 0,0012713333514208596000000, var = 0,0000316910449633630000000
FN : Dist = 31, Mean = 0,0012651613086552150000000, var = 0,0000307677540820965300000
FN : Dist = 32, Mean = 0,0012440625184535748000000, var = 0,0000298507460714546670000
FN : Dist = 33, Mean = 0,0012390909276225350000000, var = 0,0000290395022796399800000
FN : Dist = 34, Mean = 0,0012132353126071394000000, var = 0,0000282189425487605030000
FN : Dist = 35, Mean = 0,0012120000181852708000000, var = 0,0000275150560729441360000
FN : Dist = 36, Mean = 0,0012116666845071854000000, var = 0,0000268540861820717540000
FN : Dist = 37, Mean = 0,0011818919093914430000000, var = 0,0000261628613556329250000
FN : Dist = 38, Mean = 0,0011534210697956090000000, var = 0,0000255067252076240700000
FN : Dist = 39, Mean = 0,0011258974527187933000000, var = 0,0000248833806731024920000
FN : Dist = 40, Mean = 0,0010985000164364465000000, var = 0,0000242912978174234780000
FN : Dist = 41, Mean = 0,0010753658698678652000000, var = 0,0000237233444448432500000
FN : Dist = 42, Mean = 0,0010571428733168258000000, var = 0,0000231800680929292560000
FN : Dist = 43, Mean = 0,0010379069927960720000000, var = 0,0000226611212654777060000
FN : Dist = 44, Mean = 0,0010161363794097930000000, var = 0,0000221681487727079750000
FN : Dist = 45, Mean = 0,0010300000157828133000000, var = 0,0000218282111768774260000
FN : Dist = 46, Mean = 0,0010504347985893810000000, var = 0,0000215774564022575670000
FN : Dist = 47, Mean = 0,0010670212924510161000000, var = 0,0000213038060913884550000
FN : Dist = 48, Mean = 0,0010862500161116866000000, var = 0,0000210771443456112800000
FN : Dist = 49, Mean = 0,0010777551181642910000000, var = 0,0000206766072796176920000
FN : Dist = 50, Mean = 0,0010934000161010773000000, var = 0,0000204406765159327520000
FN : Dist = 51, Mean = 0,0010766666826755539000000, var = 0,0000200582399442992250000
FN : Dist = 52, Mean = 0,0010565384772668880000000, var = 0,0000196937265534881720000
FN : Dist = 53, Mean = 0,0010711320911156330000000, var = 0,0000194883365295372430000
FN : Dist = 54, Mean = 0,0010561111266940350000000, var = 0,0000191429627286466270000
FN : Dist = 55, Mean = 0,0010692727425643666000000, var = 0,0000189375649983467140000
FN : Dist = 56, Mean = 0,0010851785868414610000000, var = 0,0000187807804008561060000
FN : Dist = 57, Mean = 0,0010994736995882958000000, var = 0,0000186187015539694450000
FN : Dist = 58, Mean = 0,0010906896706678552000000, var = 0,0000183186720144158140000
FN : Dist = 59, Mean = 0,0010844067952366766000000, var = 0,0000180342315038195970000
FN : Dist = 60, Mean = 0,0010811666823962393000000, var = 0,0000177702453817910800000
FN : Dist = 61, Mean = 0,0010759016551405618000000, var = 0,0000175048947549065630000
FN : Dist = 62, Mean = 0,0010651613061594205000000, var = 0,0000172373669848813200000
FN : Dist = 63, Mean = 0,0010677777934035967000000, var = 0,0000170247713258677820000
FN : Dist = 64, Mean = 0,0010650000158784678000000, var = 0,0000167932750747499000000
FN : Dist = 65, Mean = 0,0010523077081172512000000, var = 0,0000165480332100736700000
FN : Dist = 66, Mean = 0,0010516666826284066000000, var = 0,0000163380882058443770000
FN : Dist = 67, Mean = 0,0010408955383455075000000, var = 0,0000161063873315942000000
FN : Dist = 68, Mean = 0,0010311764865764416000000, var = 0,0000158822633951346300000
FN : Dist = 69, Mean = 0,0010433333493310257000000, var = 0,0000157823251952269900000
FN : Dist = 70, Mean = 0,0010524285871069878000000, var = 0,0000156559656035074050000
FN : Dist = 71, Mean = 0,0010621126915465935000000, var = 0,0000155419167353204060000
FN : Dist = 72, Mean = 0,0010712500152456210000000, var = 0,0000154314512857908870000
FN : Dist = 73, Mean = 0,0010716438510180897000000, var = 0,0000152634973690026760000
FN : Dist = 74, Mean = 0,0010825675830238724000000, var = 0,0000151827772645785780000
FN : Dist = 75, Mean = 0,0010938666821612667000000, var = 0,0000151109224566676100000
FN : Dist = 76, Mean = 0,0011052631736138690000000, var = 0,0000150447092195614170000
