BuildTree = 1,245000
FN : Dist = 1, Mean = 0,0017200000165030360000000, var = 0,0000090615999348849160000
FN : Dist = 2, Mean = 0,0019750000064959750000000, var = 0,0000108343748956162160000
FN : Dist = 3, Mean = 0,0015533333442484339000000, var = 0,0000080404888344032580000
FN : Dist = 4, Mean = 0,0022550000096089205000000, var = 0,0000228249751172656340000
FN : Dist = 5, Mean = 0,0018140000081621110000000, var = 0,0000190474040998193800000
FN : Dist = 6, Mean = 0,0019933333379837373000000, var = 0,0000196166222715264140000
FN : Dist = 7, Mean = 0,0023142857317413603000000, var = 0,0001033412293336702000000
FN : Dist = 8, Mean = 0,0021975000150268897000000, var = 0,0000911084979884131600000
FN : Dist = 9, Mean = 0,0023088889107263336000000, var = 0,0001040357046381062500000
FN : Dist = 10, Mean = 0,0022410000200616194000000, var = 0,0000942949242915774000000
FN : Dist = 11, Mean = 0,0020381818364628335000000, var = 0,0000861349106029572100000
FN : Dist = 12, Mean = 0,0019591666851192712000000, var = 0,0000792991703972620000000
FN : Dist = 13, Mean = 0,0019376923242368951000000, var = 0,0000737153526011751100000
FN : Dist = 14, Mean = 0,0018364285881398246000000, var = 0,0000686382481794780600000
FN : Dist = 15, Mean = 0,0017706666841016462000000, var = 0,0000642514097674351400000
FN : Dist = 16, Mean = 0,0017856250183103840000000, var = 0,0000608609217037088000000
FN : Dist = 17, Mean = 0,0017688235462478856000000, var = 0,0000577236193967819800000
FN : Dist = 18, Mean = 0,0017922222409914766000000, var = 0,0000551812758295604900000
FN : Dist = 19, Mean = 0,0017584210708982459000000, var = 0,0000524790108668427500000
FN : Dist = 20, Mean = 0,0016730000174720772000000, var = 0,0000499960736947309350000
FN : Dist = 21, Mean = 0,0016233333508994076000000, var = 0,0000477186009816784800000
FN : Dist = 22, Mean = 0,0015840909268643537000000, var = 0,0000456511129927903630000
FN : Dist = 23, Mean = 0,0015626087132841350000000, var = 0,0000438643433674527300000
FN : Dist = 24, Mean = 0,0015591666850862870000000, var = 0,0000424040015715176240000
FN : Dist = 25, Mean = 0,0015320000187028200000000, var = 0,0000408489781801926950000
FN : Dist = 26, Mean = 0,0015234615566441790000000, var = 0,0000394440670375248700000
FN : Dist = 27, Mean = 0,0014851852035132685000000, var = 0,0000380453380976407900000
FN : Dist = 28, Mean = 0,0015053571618877220000000, var = 0,0000370671161213610900000
FN : Dist = 29, Mean = 0,0014603448462881276000000, var = 0,0000358511879848418900000
FN : Dist = 30, Mean = 0,0014126666847926875000000, var = 0,0000347230413908672100000
FN : Dist = 31, Mean = 0,0014032258246574670000000, var = 0,0000337103139537187800000
FN : Dist = 32, Mean = 0,0013784375182149234000000, var = 0,0000327083492834050800000
FN : Dist = 33, Mean = 0,0013703030485053068000000, var = 0,0000318180288550177460000
FN : Dist = 34, Mean = 0,0013411764887860044000000, var = 0,0000309230120067280250000
FN : Dist = 35, Mean = 0,0013380000182161374000000, var = 0,0000301426147242630740000
FN : Dist = 36, Mean = 0,0013358333512183485000000, var = 0,0000294186063987782760000
FN : Dist = 37, Mean = 0,0013027027202455479000000, var = 0,0000286656698682467500000
FN : Dist = 38, Mean = 0,0012713158066923681000000, var = 0,0000279503365695756650000
FN : Dist = 39, Mean = 0,0012410256579124298000000, var = 0,0000272706260114176460000
FN : Dist = 40, Mean = 0,0012107500165002420000000, var = 0,0000266253358252612020000
FN : Dist = 41, Mean = 0,0011853658699532744000000, var = 0,0000260051530500745530000
FN : Dist = 42, Mean = 0,0011647619210305579000000, var = 0,0000254119024570420460000
FN : Dist = 43, Mean = 0,0011430232719583220000000, var = 0,0000248453595949233640000
FN : Dist = 44, Mean = 0,0011190909249655140000000, var = 0,0000243071822562213960000
FN : Dist = 45, Mean = 0,0011317777932466318000000, var = 0,0000239255247419523360000
FN : Dist = 46, Mean = 0,0011508695810081681000000, var = 0,0000236428917651332800000
FN : Dist = 47, Mean = 0,0011661702285748609000000, var = 0,0000233313248258515400000
FN : Dist = 48, Mean = 0,0011837500159163030000000, var = 0,0000230658204454406750000
FN : Dist = 49, Mean = 0,0011736734854104949000000, var = 0,0000226267774535210900000
FN : Dist = 50, Mean = 0,0011876000160584226000000, var = 0,0000223556073731647800000
FN : Dist = 51, Mean = 0,0011690196238102063000000, var = 0,0000219381001502872200000
FN : Dist = 52, Mean = 0,0011471154003027970000000, var = 0,0000215412427697522580000
FN : Dist = 53, Mean = 0,0011607547325328132000000, var = 0,0000213058571056989220000
FN : Dist = 54, Mean = 0,0011442592747604337000000, var = 0,0000209297458738283840000
FN : Dist = 55, Mean = 0,0011561818335162983000000, var = 0,0000206997900920614160000
FN : Dist = 56, Mean = 0,0011716071584877290000000, var = 0,0000205182305815919830000
FN : Dist = 57, Mean = 0,0011859649282945483000000, var = 0,0000203401549048998530000
FN : Dist = 58, Mean = 0,0011767241540405063000000, var = 0,0000200141144016372470000
FN : Dist = 59, Mean = 0,0011703389993142652000000, var = 0,0000197057313733145600000
FN : Dist = 60, Mean = 0,0011675000164735442000000, var = 0,0000194327780486461540000
FN : Dist = 61, Mean = 0,0011611475575845078000000, var = 0,0000191437045522163400000
FN : Dist = 62, Mean = 0,0011491935650232217000000, var = 0,0000188520970601734720000
FN : Dist = 63, Mean = 0,0011507936673689752000000, var = 0,0000186163098159405700000
FN : Dist = 64, Mean = 0,0011471875167626423000000, var = 0,0000183620867493530430000
FN : Dist = 65, Mean = 0,0011333846320720532000000, var = 0,0000180955940557751040000
FN : Dist = 66, Mean = 0,0011337878955986747000000, var = 0,0000178967986563685840000
FN : Dist = 67, Mean = 0,0011214925540930856000000, var = 0,0000176443449114908470000
FN : Dist = 68, Mean = 0,0011101470756008948000000, var = 0,0000173991920130890230000
FN : Dist = 69, Mean = 0,0011201449441959731000000, var = 0,0000172654211157391650000
FN : Dist = 70, Mean = 0,0011281428735071262000000, var = 0,0000171214373850761300000
FN : Dist = 71, Mean = 0,0011364788893269192000000, var = 0,0000169843320852228600000
FN : Dist = 72, Mean = 0,0011451389047498297000000, var = 0,0000168582410686274150000
FN : Dist = 73, Mean = 0,0011445205637623799000000, var = 0,0000166702105011642100000
FN : Dist = 74, Mean = 0,0011545946104829577000000, var = 0,0000165706958979504120000
FN : Dist = 75, Mean = 0,0011654666826749842000000, var = 0,0000164850215668779040000
FN : Dist = 76, Mean = 0,0011764473845802346000000, var = 0,0000164042618413400130000
FN : Dist = 77, Mean = 0,0011635065095668490000000, var = 0,0000162058637977718240000
FN : Dist = 78, Mean = 0,0011652564263353363000000, var = 0,0000160523064632767880000
FN : Dist = 79, Mean = 0,0011741772312759363000000, var = 0,0000159625744427026380000
FN : Dist = 80, Mean = 0,0011655000161699717000000, var = 0,0000157763604937734870000
FN : Dist = 81, Mean = 0,0011575308804440507000000, var = 0,0000155956785891846360000
FN : Dist = 82, Mean = 0,0011546341627523893000000, var = 0,0000154329182769029460000
FN : Dist = 83, Mean = 0,0011545783297175608000000, var = 0,0000152875520482570270000
FN : Dist = 84, Mean = 0,0011485714450689210000000, var = 0,0000151226891475146000000
FN : Dist = 85, Mean = 0,0011542353106060010000000, var = 0,0000150318592378877230000
FN : Dist = 86, Mean = 0,0011410465279355820000000, var = 0,0000148720833229896340000
FN : Dist = 87, Mean = 0,0011360919703970310000000, var = 0,0000147187210493910460000
FN : Dist = 88, Mean = 0,0011431818345127712000000, var = 0,0000146417723776434030000
FN : Dist = 89, Mean = 0,0011344943983673925000000, var = 0,0000144887658699789970000
FN : Dist = 90, Mean = 0,0011442222386960769000000, var = 0,0000144412006222142180000
FN : Dist = 91, Mean = 0,0011413186979812703000000, var = 0,0000143050846411764980000
FN : Dist = 92, Mean = 0,0011486956687598570000000, var = 0,0000142418033061288700000
FN : Dist = 93, Mean = 0,0011393548552477632000000, var = 0,0000140999357204974300000
FN : Dist = 94, Mean = 0,0011393617186943030000000, var = 0,0000139856853456908710000
FN : Dist = 95, Mean = 0,0011300000165172510000000, var = 0,0000138486795875703070000
FN : Dist = 96, Mean = 0,0011232291832008437000000, var = 0,0000137159610397619380000
FN : Dist = 97, Mean = 0,0011269072331032072000000, var = 0,0000136332766310515700000
FN : Dist = 98, Mean = 0,0011195918533604173000000, var = 0,0000135048820894273440000
FN : Dist = 99, Mean = 0,0011253535521517724000000, var = 0,0000134421658990997720000
FN : Dist = 100, Mean = 0,0011258000168483705000000, var = 0,0000133419749748834570000
