BuildTree = 1,402000
FN : Dist = 1, Mean = 0,0018300000415183604000000, var = 0,0000093211004299704320000
FN : Dist = 2, Mean = 0,0027100000472273676000000, var = 0,0000358359013942009440000
FN : Dist = 3, Mean = 0,0020433333714026960000000, var = 0,0000252414565320013350000
FN : Dist = 4, Mean = 0,0021800000336952507000000, var = 0,0000229626007559407430000
FN : Dist = 5, Mean = 0,0017540000274311750000000, var = 0,0000191054846270033170000
FN : Dist = 6, Mean = 0,0022500000356618934000000, var = 0,0001053208370241998800000
FN : Dist = 7, Mean = 0,0023571428937637913000000, var = 0,0001166038819997007100000
FN : Dist = 8, Mean = 0,0022512500332959460000000, var = 0,0001028081273425657800000
FN : Dist = 9, Mean = 0,0021888889202899818000000, var = 0,0000921865467002324100000
FN : Dist = 10, Mean = 0,0021370000294409690000000, var = 0,0000836582341544734800000
FN : Dist = 11, Mean = 0,0019427272994917903000000, var = 0,0000764303590764497200000
FN : Dist = 12, Mean = 0,0018683333601802587000000, var = 0,0000703626665380271000000
FN : Dist = 13, Mean = 0,0018546154099301650000000, var = 0,0000654827119209734000000
FN : Dist = 14, Mean = 0,0017600000250552381000000, var = 0,0000609766879971780750000
FN : Dist = 15, Mean = 0,0017000000250991434000000, var = 0,0000570940021379182500000
FN : Dist = 16, Mean = 0,0017168750244309194000000, var = 0,0000541304672467749600000
FN : Dist = 17, Mean = 0,0016923529646523734000000, var = 0,0000512082963602010160000
FN : Dist = 18, Mean = 0,0017105555794357011000000, var = 0,0000489078903878177800000
FN : Dist = 19, Mean = 0,0016815789708083397000000, var = 0,0000465307150122806000000
FN : Dist = 20, Mean = 0,0016000000223866664000000, var = 0,0000443330016335769450000
FN : Dist = 21, Mean = 0,0015547619271092117000000, var = 0,0000423203360263580300000
FN : Dist = 22, Mean = 0,0015177272951801900000000, var = 0,0000404960508729163700000
FN : Dist = 23, Mean = 0,0014865217614999933000000, var = 0,0000388332980286343800000
FN : Dist = 24, Mean = 0,0014583333558888020000000, var = 0,0000373057652650350200000
FN : Dist = 25, Mean = 0,0014312000228557736000000, var = 0,0000359004678860461200000
FN : Dist = 26, Mean = 0,0014323077145337055000000, var = 0,0000347246497973505250000
FN : Dist = 27, Mean = 0,0013992592814395686000000, var = 0,0000334961488308128060000
FN : Dist = 28, Mean = 0,0014278571664388957000000, var = 0,0000327355109062805500000
FN : Dist = 29, Mean = 0,0013862069196806386000000, var = 0,0000316618798880970300000
FN : Dist = 30, Mean = 0,0013413333557546138000000, var = 0,0000306661593573946900000
FN : Dist = 31, Mean = 0,0013361290542619122000000, var = 0,0000297934699858235040000
FN : Dist = 32, Mean = 0,0013146875219172216000000, var = 0,0000289112853439390880000
FN : Dist = 33, Mean = 0,0013087879004182689000000, var = 0,0000281364692627518760000
FN : Dist = 34, Mean = 0,0012808823744040530000000, var = 0,0000273466943449547680000
FN : Dist = 35, Mean = 0,0012760000215244613000000, var = 0,0000266581106945700820000
FN : Dist = 36, Mean = 0,0012725000212150108000000, var = 0,0000260121335925312340000
FN : Dist = 37, Mean = 0,0012405405612977071000000, var = 0,0000253480871234388940000
FN : Dist = 38, Mean = 0,0012105263361253922000000, var = 0,0000247167322077849040000
FN : Dist = 39, Mean = 0,0011815384814503770000000, var = 0,0000241167882604598560000
FN : Dist = 40, Mean = 0,0011525000194378663000000, var = 0,0000235472446127563270000
FN : Dist = 41, Mean = 0,0011278048971747388000000, var = 0,0000230002521216122800000
FN : Dist = 42, Mean = 0,0011076190666062758000000, var = 0,0000224755618211067200000
FN : Dist = 43, Mean = 0,0010865116466735598000000, var = 0,0000219753072408795740000
FN : Dist = 44, Mean = 0,0010636363820627924000000, var = 0,0000215000421098106240000
FN : Dist = 45, Mean = 0,0010737777959503648000000, var = 0,0000211518909436939170000
FN : Dist = 46, Mean = 0,0010936956705636870000000, var = 0,0000209192653632399100000
FN : Dist = 47, Mean = 0,0011104255503271410000000, var = 0,0000206688707800010020000
FN : Dist = 48, Mean = 0,0011283333518804285000000, var = 0,0000204539479604102550000
FN : Dist = 49, Mean = 0,0011210204266505887000000, var = 0,0000200827017229956800000
FN : Dist = 50, Mean = 0,0011358000184409321000000, var = 0,0000198601590725493860000
FN : Dist = 51, Mean = 0,0011184313908611954000000, var = 0,0000194902884347073330000
FN : Dist = 52, Mean = 0,0010975000179874210000000, var = 0,0000191383790519102400000
FN : Dist = 53, Mean = 0,0011124528482345478000000, var = 0,0000189537701333313780000
FN : Dist = 54, Mean = 0,0010968518698010249000000, var = 0,0000186204351996785350000
FN : Dist = 55, Mean = 0,0011107272907287220000000, var = 0,0000184457401289320100000
FN : Dist = 56, Mean = 0,0011300000187683120000000, var = 0,0000183466720879248440000
FN : Dist = 57, Mean = 0,0011464912472129390000000, var = 0,0000182218743090356560000
FN : Dist = 58, Mean = 0,0011375862260244723000000, var = 0,0000179307258532075860000
