BuildTree = 1,464000
FN : Dist = 1, Mean = 0,0018400000175461174000000, var = 0,0000129744001810386890000
FN : Dist = 2, Mean = 0,0025250000128289683000000, var = 0,0000245193751180230300000
FN : Dist = 3, Mean = 0,0018766666832379997000000, var = 0,0000174814556468770200000
FN : Dist = 4, Mean = 0,0020575000182725487000000, var = 0,0000175141938821396340000
FN : Dist = 5, Mean = 0,0016540000149980188000000, var = 0,0000146702841170111980000
FN : Dist = 6, Mean = 0,0017733333578022817000000, var = 0,0000145919557978147360000
FN : Dist = 7, Mean = 0,0017671428807079792000000, var = 0,0000136786349230796780000
FN : Dist = 8, Mean = 0,0017662500240840017000000, var = 0,0000129166111723419000000
FN : Dist = 9, Mean = 0,0018011111352178785000000, var = 0,0000126615545527448890000
FN : Dist = 10, Mean = 0,0018750000237487256000000, var = 0,0000132273752243658540000
FN : Dist = 11, Mean = 0,0017054545670874756000000, var = 0,0000123132431864354740000
FN : Dist = 12, Mean = 0,0016875000206831220000000, var = 0,0000118648439479964430000
FN : Dist = 13, Mean = 0,0019923077117150220000000, var = 0,0001064307092350203200000
FN : Dist = 14, Mean = 0,0018857143051822537000000, var = 0,0000990269380136282500000
FN : Dist = 15, Mean = 0,0018126666866398107000000, var = 0,0000926162388514035600000
FN : Dist = 16, Mean = 0,0019431250161869684000000, var = 0,0001032136384675374100000
FN : Dist = 17, Mean = 0,0019500000161967953000000, var = 0,0000979051454097239700000
FN : Dist = 18, Mean = 0,0019611111293003584000000, var = 0,0000930784861270489500000
FN : Dist = 19, Mean = 0,0019231579125564742000000, var = 0,0000884046201622452800000
FN : Dist = 20, Mean = 0,0018295000170473940000000, var = 0,0000841534283807942800000
FN : Dist = 21, Mean = 0,0017742857314269280000000, var = 0,0000802661946169250400000
FN : Dist = 22, Mean = 0,0017286363810258495000000, var = 0,0000767368150832434700000
FN : Dist = 23, Mean = 0,0016913043656487665000000, var = 0,0000735220971182122400000
FN : Dist = 24, Mean = 0,0016616666849101117000000, var = 0,0000705896960954330700000
FN : Dist = 25, Mean = 0,0016344000186305494000000, var = 0,0000679055355644576700000
FN : Dist = 26, Mean = 0,0016292307874671398000000, var = 0,0000655186829902042600000
FN : Dist = 27, Mean = 0,0015874074257185890000000, var = 0,0000631638404331201300000
FN : Dist = 28, Mean = 0,0016039285904428523000000, var = 0,0000612820550510199900000
FN : Dist = 29, Mean = 0,0015555172600654950000000, var = 0,0000592400203742730200000
FN : Dist = 30, Mean = 0,0015046666847774758000000, var = 0,0000573413106777629000000
FN : Dist = 31, Mean = 0,0014929032439906752000000, var = 0,0000556047874987959100000
FN : Dist = 32, Mean = 0,0014656250182451913000000, var = 0,0000539244425409161900000
FN : Dist = 33, Mean = 0,0014524242608582206000000, var = 0,0000523792509082934900000
FN : Dist = 34, Mean = 0,0014197059007197180000000, var = 0,0000508847285591552800000
FN : Dist = 35, Mean = 0,0014111428756067262000000, var = 0,0000495238179520348800000
FN : Dist = 36, Mean = 0,0014038889072253368000000, var = 0,0000482435397121363900000
FN : Dist = 37, Mean = 0,0013686486666178884000000, var = 0,0000469868001772048000000
FN : Dist = 38, Mean = 0,0013352631755160953000000, var = 0,0000457939137245713600000
FN : Dist = 39, Mean = 0,0013028205300752932000000, var = 0,0000446613759987324300000
FN : Dist = 40, Mean = 0,0012707500168471597000000, var = 0,0000435854437937352850000
FN : Dist = 41, Mean = 0,0012431707483057568000000, var = 0,0000425557454167878600000
FN : Dist = 42, Mean = 0,0012204762070073879000000, var = 0,0000415709134474649300000
FN : Dist = 43, Mean = 0,0011969767605647618000000, var = 0,0000406316646819812060000
FN : Dist = 44, Mean = 0,0011718181979218075000000, var = 0,0000397372961119925900000
FN : Dist = 45, Mean = 0,0011822222382502838000000, var = 0,0000390152389394444300000
FN : Dist = 46, Mean = 0,0012028261035954093000000, var = 0,0000384147305997178400000
FN : Dist = 47, Mean = 0,0012202127831443114000000, var = 0,0000378227824112931500000
FN : Dist = 48, Mean = 0,0012397916844687036000000, var = 0,0000372902077894093500000
FN : Dist = 49, Mean = 0,0012283673648228299000000, var = 0,0000365615213353227500000
FN : Dist = 50, Mean = 0,0012410000178497286000000, var = 0,0000360057185242371440000
FN : Dist = 51, Mean = 0,0012215686451835447000000, var = 0,0000353222794264973260000
FN : Dist = 52, Mean = 0,0011986538635728020000000, var = 0,0000346703438856043400000
FN : Dist = 53, Mean = 0,0012113207719455700000000, var = 0,0000341832676202242100000
FN : Dist = 54, Mean = 0,0011938889060359172000000, var = 0,0000335714807350513840000
FN : Dist = 55, Mean = 0,0012078181990760970000000, var = 0,0000331468111785031500000
FN : Dist = 56, Mean = 0,0012232143034010992000000, var = 0,0000327551749737362400000
