BuildTree = 2,306000
FN : Dist = 1, Mean = 0,0016100000112783163000000, var = 0,0000104579000578405380000
FN : Dist = 2, Mean = 0,0017300000163959339000000, var = 0,0000112571001362866860000
FN : Dist = 3, Mean = 0,0013033333506124714000000, var = 0,0000080779889941510290000
FN : Dist = 4, Mean = 0,0014775000221561641000000, var = 0,0000085194939276316160000
FN : Dist = 5, Mean = 0,0011900000181049109000000, var = 0,0000071539001521528630000
FN : Dist = 6, Mean = 0,0013916666912458216000000, var = 0,0000084849307934028680000
FN : Dist = 7, Mean = 0,0014000000220923020000000, var = 0,0000080314287798372800000
FN : Dist = 8, Mean = 0,0014400000225577969000000, var = 0,0000079514002147679410000
FN : Dist = 9, Mean = 0,0015166666887752298000000, var = 0,0000084941668923806870000
FN : Dist = 10, Mean = 0,0015470000216737390000000, var = 0,0000084497912195430190000
FN : Dist = 11, Mean = 0,0014072727470193058000000, var = 0,0000078777654943118080000
FN : Dist = 12, Mean = 0,0013866666852845810000000, var = 0,0000075254890768581830000
FN : Dist = 13, Mean = 0,0014230769415063640000000, var = 0,0000076056214891664990000
FN : Dist = 14, Mean = 0,0013628571614390240000000, var = 0,0000071754777286399110000
FN : Dist = 15, Mean = 0,0013340000190461675000000, var = 0,0000068664441724464190000
FN : Dist = 16, Mean = 0,0015406250153318980000000, var = 0,0000366895978140715960000
FN : Dist = 17, Mean = 0,0015364706034169478000000, var = 0,0000348486682112967800000
FN : Dist = 18, Mean = 0,0015783333504158590000000, var = 0,0000336638623289690340000
FN : Dist = 19, Mean = 0,0016278947538720739000000, var = 0,0000366746941147675160000
FN : Dist = 20, Mean = 0,0015490000162972138000000, var = 0,0000349615976219778800000
FN : Dist = 21, Mean = 0,0015066666831816769000000, var = 0,0000333918590079840940000
FN : Dist = 22, Mean = 0,0014727272896032611000000, var = 0,0000319710731342437000000
FN : Dist = 23, Mean = 0,0014456521912538650000000, var = 0,0000306835668658323700000
FN : Dist = 24, Mean = 0,0014216666846186853000000, var = 0,0000295021960902284700000
FN : Dist = 25, Mean = 0,0013980000183451920000000, var = 0,0000284099949173304930000
FN : Dist = 26, Mean = 0,0014042307875710182000000, var = 0,0000275462118331522400000
FN : Dist = 27, Mean = 0,0013737037221262990000000, var = 0,0000265866408419380470000
FN : Dist = 28, Mean = 0,0014085714477446996000000, var = 0,0000261509255848101470000
FN : Dist = 29, Mean = 0,0013744827777002777000000, var = 0,0000253804514139355570000
FN : Dist = 30, Mean = 0,0013306666852052635000000, var = 0,0000245919920158680160000
FN : Dist = 31, Mean = 0,0013290322763139322000000, var = 0,0000239323820907602430000
FN : Dist = 32, Mean = 0,0013100000184567762000000, var = 0,0000232395241852716140000
FN : Dist = 33, Mean = 0,0013139394118634024000000, var = 0,0000227329564148167650000
FN : Dist = 34, Mean = 0,0012873529591118258000000, var = 0,0000221012510474100900000
FN : Dist = 35, Mean = 0,0012880000176373869000000, var = 0,0000215970552535865800000
FN : Dist = 36, Mean = 0,0012897222395662942000000, var = 0,0000211285603091433100000
FN : Dist = 37, Mean = 0,0012581081251374672000000, var = 0,0000205963524732667680000
FN : Dist = 38, Mean = 0,0012300000168187053000000, var = 0,0000201023624744154070000
FN : Dist = 39, Mean = 0,0012007692472662968000000, var = 0,0000196214859227302500000
FN : Dist = 40, Mean = 0,0011712500161083880000000, var = 0,0000191654227900279430000
FN : Dist = 41, Mean = 0,0011468292842051240000000, var = 0,0000187252698032949040000
