BuildTree = 2,057000
FN : Dist = 1, Mean = 0,0043100000382401050000000, var = 0,0005271539093858905000000
FN : Dist = 2, Mean = 0,0040550000377697870000000, var = 0,0002861819799069970600000
FN : Dist = 3, Mean = 0,0030100000323727725000000, var = 0,0001944699033310044400000
FN : Dist = 4, Mean = 0,0029025000278488730000000, var = 0,0001514979962457217200000
FN : Dist = 5, Mean = 0,0023300000226590780000000, var = 0,0001225171020210751200000
FN : Dist = 6, Mean = 0,0023133333630782240000000, var = 0,0001040784906858843000000
FN : Dist = 7, Mean = 0,0021771428837174815000000, var = 0,0000899743362427049600000
FN : Dist = 8, Mean = 0,0021337500258232465000000, var = 0,0000811558623768836300000
FN : Dist = 9, Mean = 0,0020877778015306425000000, var = 0,0000729711852397715200000
FN : Dist = 10, Mean = 0,0020390000226907434000000, var = 0,0000663014801708705800000
FN : Dist = 11, Mean = 0,0018545454752165824000000, var = 0,0000606152076835340340000
FN : Dist = 12, Mean = 0,0017833333545907710000000, var = 0,0000558380565467542500000
FN : Dist = 13, Mean = 0,0017669230973562941000000, var = 0,0000520095222237142940000
FN : Dist = 14, Mean = 0,0016785714490937867000000, var = 0,0000484509702476203160000
FN : Dist = 15, Mean = 0,0016253333544979493000000, var = 0,0000453982923660006700000
FN : Dist = 16, Mean = 0,0016562500229338184000000, var = 0,0000432593367309248350000
FN : Dist = 17, Mean = 0,0016400000222903841000000, var = 0,0000410068713401483360000
FN : Dist = 18, Mean = 0,0016600000227077140000000, var = 0,0000392788451705207260000
FN : Dist = 19, Mean = 0,0016331579172861224000000, var = 0,0000374006907197728560000
FN : Dist = 20, Mean = 0,0015540000215405597000000, var = 0,0000356520846607274540000
FN : Dist = 21, Mean = 0,0015095238307757037000000, var = 0,0000340470527858527200000
FN : Dist = 22, Mean = 0,0014740909303707832000000, var = 0,0000325920565982852300000
FN : Dist = 23, Mean = 0,0014447826302468616000000, var = 0,0000312704298856626600000
FN : Dist = 24, Mean = 0,0014187500218395144000000, var = 0,0000300600656699498960000
FN : Dist = 25, Mean = 0,0013908000218681990000000, var = 0,0000289332759063907170000
FN : Dist = 26, Mean = 0,0013888461747690320000000, var = 0,0000279891838073639240000
FN : Dist = 27, Mean = 0,0013559259468241146000000, var = 0,0000270070209448086900000
FN : Dist = 28, Mean = 0,0013828571646757025000000, var = 0,0000264484209146188100000
FN : Dist = 29, Mean = 0,0013420689869110055000000, var = 0,0000255885065546983200000
FN : Dist = 30, Mean = 0,0012986666874106353000000, var = 0,0000247914653647868160000
FN : Dist = 31, Mean = 0,0012958064720019577000000, var = 0,0000241160473913013540000
FN : Dist = 32, Mean = 0,0012759375204768730000000, var = 0,0000234122964449818520000
FN : Dist = 33, Mean = 0,0012712121413399776000000, var = 0,0000228043232088750200000
FN : Dist = 34, Mean = 0,0012450000200667144000000, var = 0,0000221685048359060660000
FN : Dist = 35, Mean = 0,0012442857339712125000000, var = 0,0000216440391875009830000
FN : Dist = 36, Mean = 0,0012413889084321758000000, var = 0,0000211358984727965700000
FN : Dist = 37, Mean = 0,0012105405596840020000000, var = 0,0000206013487485311200000
FN : Dist = 38, Mean = 0,0011813158082383637000000, var = 0,0000200931775988536700000
FN : Dist = 39, Mean = 0,0011528205311892984000000, var = 0,0000196104924186986700000
FN : Dist = 40, Mean = 0,0011245000179333146000000, var = 0,0000191520001156550360000
FN : Dist = 41, Mean = 0,0011004878225361519000000, var = 0,0000187108781683694460000
FN : Dist = 42, Mean = 0,0010809523985067027000000, var = 0,0000182877327761370700000
FN : Dist = 43, Mean = 0,0010604651336460700000000, var = 0,0000178842512888732180000
FN : Dist = 44, Mean = 0,0010381818352404727000000, var = 0,0000175008152114124050000
FN : Dist = 45, Mean = 0,0010504444614311474000000, var = 0,0000172563445771581900000
FN : Dist = 46, Mean = 0,0010710869737870425000000, var = 0,0000171142948008394600000
FN : Dist = 47, Mean = 0,0010878723576427140000000, var = 0,0000169384489906877600000
FN : Dist = 48, Mean = 0,0011070833507983479000000, var = 0,0000168047834853697000000
FN : Dist = 49, Mean = 0,0010985714461350320000000, var = 0,0000164917125653433300000
FN : Dist = 50, Mean = 0,0011142000175546854000000, var = 0,0000163431586779335850000
FN : Dist = 51, Mean = 0,0010972549194040908000000, var = 0,0000160407378747145400000
FN : Dist = 52, Mean = 0,0010769230940674717000000, var = 0,0000157540831471577870000
